date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Down 3,Aroon Up 3,Aroon Up 5,Aroon Down 5,Aroon Down 7,Aroon Up 7,Aroon Down 14,Aroon Up 14,Aroon Up 21,Aroon Down 21,Aroon Up 42,Aroon Down 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Upper Band 3,Real Lower Band 3,Real Middle Band 3,Real Middle Band 5,Real Lower Band 5,Real Upper Band 5,Real Lower Band 7,Real Middle Band 7,Real Upper Band 7,Real Lower Band 14,Real Middle Band 14,Real Upper Band 14,Real Lower Band 21,Real Upper Band 21,Real Middle Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD,MACD_Signal,MACD_Hist,SlowK,SlowD,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2006-01-26,30.25,841019.0,AAL,30.7567,30.186,30.3314,32.9693,34.6362,34.4548,30.6283,30.426,30.3582,31.3747,32.8953,34.2468,30.4344,30.1083,29.7731,30.2866,31.7029,34.7842,31.0906,30.9794,31.0015,32.5769,34.5985,36.4334,37.9392,34.3125,32.9932,36.5598,41.5301,52.4267,40.9639,53.0767,50.0425,34.5502,32.3131,34.16,0.83,-0.14,0.25,-9.46,-7.48,-2.79,-89.9281,26.3527,32.2941,-55.5605,-83.1555,-117.3005,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-24.1215,-31.3751,-34.0136,-26.8804,-16.9398,4.8534,1.0282,0.9954,1.0083,0.7618,0.8017,0.9156,0.0,66.6667,80.0,20.0,42.8571,0.0,71.4286,7.1429,28.5714,80.9524,64.2857,90.4762,30.9603,41.6447,44.206,34.1838,23.1239,0.9727,30.3398,33.522,35.1729,34.6099,32.5642,27.5569,15.9946,13.8105,13.6086,16.9759,20.3325,27.026,1.2861,2.7048,4.1257,7.7996,10.2667,14.9702,0.678,1.1144,1.5963,3.8256,6.4103,14.6818,31.4734,30.0399,30.7567,30.186,28.6776,31.6944,28.9375,30.3314,31.7253,26.1859,32.9693,39.7527,27.2796,41.9928,34.6362,34.4548,28.9001,40.0094,4.6712,5.3348,5.5395,5.3222,4.9682,4.3045,2.7942,16.5828,-1.3247,-0.6444,-0.6802,74.4986,57.4585,-8.4804,51.0648,37.1165,48338957.0276,84110726.0
2006-01-27,28.89,1390349.0,AAL,30.0467,30.116,30.03,32.2471,34.2281,34.3605,29.695,29.994,29.9979,30.8308,32.3729,33.9879,29.2658,29.3186,29.1659,29.7071,31.1029,34.3351,30.1126,30.9501,30.8256,31.8507,33.9876,36.2852,20.01,24.8054,26.4836,32.641,38.3146,50.1001,50.6293,54.9626,51.2603,35.1637,32.2295,33.5006,-2.13,-0.35,-2.11,-10.11,-8.57,-3.96,-100.0,-103.0676,-100.2954,-78.6408,-98.7796,-149.9267,-0.6895,-0.6895,-0.6895,-0.6895,-0.6895,-0.6895,-59.9801,-50.3892,-47.0329,-34.7181,-23.3708,0.2002,0.9313,0.988,0.9319,0.7408,0.7712,0.8795,100.0,33.3333,60.0,100.0,100.0,71.4286,100.0,0.0,23.8095,100.0,61.9048,100.0,69.9599,62.5062,58.5672,43.1385,30.5567,6.466,53.5465,45.9707,43.621,39.0911,35.8948,29.6715,9.4642,10.6065,11.3979,15.5289,19.0925,26.0674,2.5574,3.8639,5.2363,8.9425,11.4778,16.3138,0.452,0.8915,1.3682,3.5524,6.1051,14.3322,31.7933,28.3,30.0467,30.116,28.418,31.814,28.4453,30.03,31.6147,26.0591,32.2471,38.4352,26.5976,41.8586,34.2281,34.3605,28.5706,40.1503,5.5107,5.8187,5.9359,5.6568,5.2758,4.5605,2.8637,16.7059,-1.4712,-0.8098,-0.6614,52.5184,62.7124,-9.9743,43.2479,36.6907,47812087.9328,82720377.0
2006-01-30,29.0,2459249.0,AAL,29.38,30.032,29.8314,31.5607,33.8257,34.2555,29.1717,29.622,29.7404,30.3978,31.8976,33.7386,28.9622,28.9811,28.8552,29.2847,30.6078,33.925,29.7027,30.917,30.732,31.32,33.47,36.1213,24.3475,26.8544,27.8273,33.2641,38.7175,50.2829,57.0728,56.4713,52.3041,35.7333,32.1498,32.8569,-2.0,-0.42,-1.39,-9.61,-8.45,-4.41,-51.4458,-84.4482,-75.0683,-76.9739,-88.7978,-141.7608,0.3176,0.3176,0.3176,0.3176,0.3176,0.3176,-51.305,-46.2912,-44.3454,-33.4719,-22.5649,0.5658,0.9355,0.9857,0.9543,0.7511,0.7744,0.868,66.6667,0.0,40.0,80.0,85.7143,57.1429,92.8571,0.0,19.0476,95.2381,59.5238,97.619,69.9599,62.5062,58.5672,43.1385,30.5567,6.466,42.264,40.8116,40.2924,37.587,34.9202,29.2089,7.4701,9.4161,10.5282,14.9314,18.5741,25.6611,1.705,3.0911,4.4883,8.3037,10.9313,15.9253,0.3013,0.7132,1.1728,3.2986,5.8144,13.991,30.6136,28.1464,29.38,30.032,28.1708,31.8932,28.1327,29.8314,31.5302,26.2832,31.5607,36.8382,26.0279,41.6235,33.8257,34.2555,28.2448,40.2662,4.6369,5.2235,5.4873,5.4422,5.1451,4.5048,2.9336,16.8288,-1.5605,-0.9599,-0.6005,32.296,53.1043,-10.7415,41.1192,36.1872,46915185.3564,85179626.0
2006-01-31,29.34,1315282.0,AAL,29.0767,29.696,29.8457,30.9564,33.4429,34.1707,29.1517,29.3913,29.6175,30.1017,31.4898,33.51,29.1507,29.0221,28.8382,29.047,30.2443,33.5725,29.6537,30.5882,30.7235,31.0072,33.0824,35.9997,39.5462,33.8218,32.2901,35.2575,39.9898,50.853,39.6746,50.7139,49.8901,35.5309,31.7664,32.1585,-0.91,-1.68,0.1,-8.46,-8.04,-3.56,100.0,-26.925,-34.982,-62.6907,-72.5654,-122.1102,0.1214,0.1214,0.1214,0.1214,0.1214,0.1214,-20.9075,-32.3564,-35.4198,-29.4849,-20.0203,1.706,0.9699,0.9458,1.0034,0.7762,0.7849,0.8918,33.3333,0.0,20.0,60.0,71.4286,42.8571,85.7143,0.0,14.2857,90.4762,57.1429,95.2381,4.8783,27.6843,35.4058,32.8998,24.0982,3.5238,27.7271,33.1075,35.1079,35.1697,33.3432,28.4551,25.1477,18.7508,16.7479,17.7569,20.3936,26.518,1.1366,2.4729,3.8471,7.7106,10.4107,15.5462,1.0309,1.4005,1.8352,3.893,6.3675,14.4878,29.4598,28.6936,29.0767,29.696,28.0791,31.3129,28.1655,29.8457,31.5259,26.8726,30.9564,35.0403,25.5914,41.2943,33.4429,34.1707,27.988,40.3534,4.6573,5.0915,5.3355,5.3382,5.0722,4.461,3.0037,16.9539,-1.5855,-1.085,-0.5005,24.1952,36.3365,-11.3985,39.9754,35.714,46219964.8706,86494908.0
2006-02-01,29.38,2189812.0,AAL,29.24,29.372,29.84,30.5693,33.0733,34.0705,29.3033,29.286,29.5011,29.8915,31.1205,33.2872,29.2752,29.0979,28.8776,28.8836,29.9434,33.2464,29.5321,30.3546,30.7169,30.8311,32.7486,35.8541,41.6161,34.736,32.8599,35.5016,40.1433,50.9208,38.0172,48.6476,48.9221,35.6196,31.5446,31.5273,0.49,-1.62,-0.04,-5.42,-7.76,-4.21,-47.9021,-55.5556,-68.6941,-82.1318,-74.5327,-126.6926,0.2205,0.2205,0.2205,0.2205,0.2205,0.2205,-16.7677,-30.5279,-34.2802,-28.9967,-19.7133,1.8416,1.017,0.9477,0.9986,0.8443,0.7911,0.8747,0.0,66.6667,0.0,40.0,57.1429,28.5714,78.5714,0.0,9.5238,85.7143,54.7619,92.8571,34.7023,40.3823,43.1143,36.7728,27.1088,5.6477,35.4181,36.4135,37.1161,36.1561,34.1061,29.002,17.1691,15.4641,14.7531,16.7142,19.5583,25.9012,1.4178,2.6383,3.9575,7.8198,10.575,15.836,0.6873,1.1204,1.5731,3.6149,6.0643,14.1429,29.581,28.899,29.24,29.372,28.4159,30.3281,28.1538,29.84,31.5262,27.0242,30.5693,34.1144,25.2222,40.9244,33.0733,34.0705,27.7191,40.4218,4.5415,4.9322,5.1845,5.2589,5.0299,4.4518,3.074,17.0782,-1.5838,-1.1848,-0.3991,30.2719,28.921,-11.7975,45.4286,35.2692,47582131.3903,88684720.0
2006-02-02,30.01,2056836.0,AAL,29.5767,29.324,29.6957,30.2136,32.719,33.9688,29.6883,29.4987,29.5436,29.817,30.842,33.0983,29.805,29.5129,29.2067,28.9265,29.7995,32.9988,29.7445,30.3494,30.6721,30.7576,32.5231,35.7232,67.7242,48.6907,41.8519,39.3784,42.5727,51.9898,26.9079,42.4547,45.8637,35.196,31.1197,30.8623,1.01,-0.24,-1.01,-4.98,-7.44,-4.27,70.6422,102.4465,-1.653,-39.7557,-58.3834,-104.3941,0.525,0.525,0.525,0.525,0.525,0.525,35.4484,-2.6186,-16.2963,-21.2432,-14.8545,3.9795,1.0348,0.9921,0.9674,0.8577,0.8013,0.8754,66.6667,33.3333,0.0,20.0,42.8571,14.2857,71.4286,7.1429,4.7619,80.9524,52.381,90.4762,4.6893,17.6831,27.513,29.6886,22.6209,3.5946,24.4318,30.1679,32.8084,34.1175,32.7742,28.3635,26.8359,21.1018,18.6505,18.497,20.682,26.3951,0.9452,2.1106,3.3922,7.2613,10.0714,15.459,1.0382,1.4764,1.9283,3.9367,6.3555,14.3862,30.1904,28.963,29.5767,29.324,28.5405,30.1075,28.2883,29.6957,31.1032,27.6509,30.2136,32.7762,25.0199,40.4182,32.719,33.9688,27.4985,40.4391,4.297,4.6627,4.9218,5.0664,4.8802,4.3498,3.1447,17.2075,-1.5142,-1.2507,-0.2636,50.0172,34.8281,-11.0159,43.5331,34.851,48987635.9903,90741556.0
2006-02-03,29.55,1065952.0,AAL,29.6467,29.456,29.4886,29.8921,32.2595,33.8562,29.675,29.574,29.5071,29.7285,30.5539,32.8928,29.6437,29.497,29.2408,28.8635,29.6024,32.7255,29.7384,30.2696,30.5704,30.6596,32.1099,35.5702,45.4596,40.7402,37.5661,37.6013,41.288,51.1564,19.5017,37.5004,43.2422,34.8026,30.715,30.213,0.21,0.66,-1.45,-4.5,-9.65,-4.73,29.3578,42.3699,9.1607,-38.1293,-57.5522,-102.1336,-0.5679,-0.5679,-0.5679,-0.5679,-0.5679,-0.5679,-9.0809,-18.5197,-24.8679,-24.7975,-17.424,2.3128,1.0072,1.0228,0.9532,0.8678,0.7538,0.862,33.3333,0.0,40.0,0.0,28.5714,0.0,64.2857,0.0,0.0,76.1905,50.0,88.0952,4.6893,17.6831,27.513,29.6886,22.6209,3.5946,18.5925,26.354,30.0608,32.7742,31.8916,27.9381,20.422,18.4341,17.0886,17.7687,20.125,25.9993,0.6301,1.6885,2.9076,6.7426,9.5918,15.0909,0.6921,1.1811,1.6529,3.6555,6.0529,14.0436,30.1789,29.1144,29.6467,29.456,28.797,30.115,28.567,29.4886,30.4101,28.4518,29.8921,31.3325,25.0246,39.4945,32.2595,33.8562,27.2483,40.4641,3.823,4.3364,4.676,4.9735,4.8507,4.3776,3.2156,17.3309,-1.4792,-1.2964,-0.1828,58.6351,46.3081,-10.5659,44.2113,34.458,48842877.0767,89675604.0
2006-02-06,29.27,1476944.0,AAL,29.61,29.51,29.3486,29.84,31.7624,33.7829,29.4867,29.512,29.4525,29.6455,30.2821,32.6795,29.37,29.3403,29.1568,28.7587,29.3904,32.4447,29.7325,30.2448,30.4905,30.6409,31.6507,35.4662,34.9644,36.238,35.0194,36.5208,40.5067,50.6501,24.6946,36.6721,42.252,34.7033,30.4584,29.622,-0.11,0.27,-0.98,-0.73,-10.44,-3.08,-100.0,-69.6401,-39.1499,-71.5213,-63.2105,-106.9936,0.0673,0.0673,0.0673,0.0673,0.0673,0.0673,-30.0712,-27.524,-29.9612,-26.9583,-18.9865,1.3002,0.9963,1.0093,0.9676,0.9757,0.7371,0.9048,0.0,33.3333,20.0,40.0,14.2857,0.0,57.1429,0.0,4.7619,71.4286,47.619,85.7143,35.0804,33.3588,36.3113,33.4127,25.3272,5.3909,29.0987,30.6669,32.4976,33.7629,32.5934,28.402,13.9848,15.3247,15.1839,16.8513,19.4199,25.4964,0.9601,1.8908,3.0322,6.801,9.6751,15.2716,0.4614,0.9449,1.4167,3.3944,5.7646,13.7093,30.2201,28.9999,29.61,29.51,28.9771,30.0429,28.6653,29.3486,30.0319,28.3666,29.84,31.3134,25.2443,38.2804,31.7624,33.7829,27.0427,40.523,3.7574,4.2129,4.5539,4.9162,4.8331,4.3988,3.2868,17.4503,-1.4571,-1.3285,-0.1286,61.3184,56.6569,-9.996,49.6989,34.0885,49098501.9998,88198660.0
2006-02-07,29.0,1313137.0,AAL,29.2733,29.442,29.3643,29.6971,31.2862,33.6729,29.1817,29.342,29.3654,29.5335,30.031,32.457,29.074,29.1128,28.9985,28.6219,29.1674,32.158,29.4069,30.2015,30.4769,30.5623,31.2356,35.2925,26.2115,31.9783,32.5379,35.4627,39.7453,50.1598,29.033,36.2404,41.4978,34.6311,30.2237,29.0483,-1.01,-0.34,0.11,-2.0,-10.0,-4.62,-79.7872,-79.3408,-81.741,-85.4254,-67.3422,-105.215,-0.4217,-0.4217,-0.4217,-0.4217,-0.4217,-0.4217,-47.577,-36.0433,-34.9243,-29.0747,-20.5095,0.3196,0.9663,0.9884,1.0038,0.9355,0.7436,0.8626,100.0,0.0,0.0,20.0,0.0,28.5714,50.0,35.7143,0.0,66.6667,45.2381,83.3333,37.7097,34.5135,36.9724,33.6928,25.5298,5.5245,22.447,26.9439,29.8952,32.5331,31.8012,28.0349,10.1535,13.1174,13.7562,16.1353,18.866,25.0995,0.6801,1.5527,2.639,6.3552,9.2543,14.948,0.3076,0.7559,1.2143,3.152,5.4901,13.3828,29.7224,28.8242,29.2733,29.442,28.7708,30.1132,28.7199,29.3643,30.0086,28.3164,29.6971,31.0779,25.537,37.0354,31.2862,33.6729,26.7767,40.569,3.4823,3.9742,4.3486,4.812,4.7821,4.4022,3.3582,17.5658,-1.4448,-1.3518,-0.093,46.0159,55.3231,-9.1694,50.9472,33.7412,48987755.5058,86885523.0
2006-02-08,29.99,2331635.0,AAL,29.42,29.564,29.5057,29.6686,30.8757,33.5786,29.54,29.5247,29.5218,29.5726,29.9132,32.2857,29.724,29.5492,29.3427,28.7722,29.1536,31.9805,29.4396,30.1927,30.4433,30.5572,31.0908,35.1768,68.9554,55.7943,48.2307,42.0884,43.8119,51.9085,37.3341,33.2535,35.8447,33.3302,29.4902,28.3746,0.44,0.61,0.99,-0.4,-8.62,-3.96,100.0,93.4566,107.2873,30.3202,-37.8846,-80.3364,0.5086,0.5086,0.5086,0.5086,0.5086,0.5086,37.9109,11.5886,-3.5386,-15.8232,-12.3762,3.817,1.0149,1.0208,1.0341,0.9868,0.7767,0.8834,66.6667,100.0,100.0,0.0,28.5714,100.0,42.8571,28.5714,0.0,61.9048,42.8571,80.9524,53.9364,21.306,1.9259,16.4176,14.8185,0.7522,11.9947,19.4995,24.2537,29.6557,29.9023,27.118,40.0842,30.0582,25.2063,21.2914,22.1839,26.7131,0.4534,1.2421,2.262,5.9013,8.8137,14.5921,1.5151,1.9147,2.3509,4.2368,6.5387,14.3742,30.2557,28.5843,29.42,29.564,28.7715,30.3565,28.8107,29.5057,30.2007,28.3305,29.6686,31.0067,26.1341,35.6173,30.8757,33.5786,26.5924,40.5647,4.2011,4.2481,4.4427,4.74,4.6835,4.2953,3.4299,17.6901,-1.3397,-1.3494,0.0096,47.938,51.7575,-8.2518,52.5087,33.4147,49267551.7058,89217158.0
