date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Up 5,Aroon Down 5,Aroon Up 7,Aroon Down 7,Aroon Down 14,Aroon Up 14,Aroon Up 21,Aroon Down 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Upper Band 3,Real Middle Band 3,Real Lower Band 3,Real Middle Band 5,Real Lower Band 5,Real Upper Band 5,Real Middle Band 7,Real Lower Band 7,Real Upper Band 7,Real Lower Band 14,Real Upper Band 14,Real Middle Band 14,Real Lower Band 21,Real Upper Band 21,Real Middle Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,MAMA,FAMA,MACD_Signal,MACD_Hist,MACD,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2015-06-11,95.9,435809.0,AENA.MC,95.47,94.92,94.89,94.4557,94.2057,91.0707,95.6167,95.246,95.0671,94.8912,94.5284,92.5407,95.8239,95.6189,95.5436,95.7039,95.7047,95.5191,95.1505,94.1063,93.6322,93.1267,92.5723,94.6002,79.7585,67.922,64.0409,59.8649,59.0194,60.3647,42.0612,23.856,18.5286,13.5445,17.5224,23.3904,1.92,1.54,1.9,3.65,6.74,-2.6,98.5296,118.2024,140.7978,117.6986,137.253,104.7249,0.0248,0.0248,0.0248,0.0248,0.0248,0.0248,59.5169,35.8441,28.0819,19.7298,18.0388,20.7295,1.0204,1.0163,1.0202,1.0396,1.0756,0.9736,100.0,0.0,100.0,40.0,100.0,57.1429,14.2857,100.0,100.0,0.0,40.4762,0.0,64.3771,44.4443,33.9948,19.9449,17.841,21.8303,4.8349,7.952,10.0033,14.384,16.2955,17.523,22.31,20.675,20.3073,21.5513,23.3727,27.3102,0.3401,0.9694,1.776,5.6071,9.9089,21.5714,1.5692,2.5204,3.6055,8.401,14.2124,33.6197,96.1891,95.47,94.7509,94.92,93.4549,96.3851,94.89,93.5563,96.2237,91.1717,97.7397,94.4557,91.2912,97.1203,94.2057,91.0707,83.7438,98.3976,2.4448,2.5423,2.6448,2.9046,3.0256,3.0824,46.2503,8.1202,1.4747,-0.0498,1.4249,57.793,68.5568,2.2147,51.6446,89.881,14183449.5125,51532708.0
2015-06-12,94.69,275430.0,AENA.MC,95.36,95.016,94.8071,94.7693,94.25,91.1202,95.2267,95.1693,95.0171,94.9225,94.5724,92.709,95.0605,95.193,95.2661,95.6051,95.698,95.6305,95.1388,94.1195,93.654,93.2183,92.5903,94.6008,38.9349,47.9408,51.6985,55.2783,56.337,59.1278,28.6809,21.665,17.9694,13.517,17.3533,23.3119,-0.33,0.48,-0.58,4.39,0.93,2.08,-80.7226,1.5322,23.0477,43.1605,61.9184,82.2211,-0.3966,-0.3966,-0.3966,-0.3966,-0.3966,-0.3966,-22.1302,-4.1184,3.397,10.5565,12.674,18.2557,0.9965,1.0051,0.9939,1.0486,1.0099,1.0225,66.6667,0.0,80.0,20.0,85.7143,42.8571,7.1429,92.8571,95.2381,38.0952,38.0952,0.0,1.9203,12.901,14.614,13.1592,13.9713,20.0917,15.5379,13.4765,13.5365,15.7596,17.1134,17.9053,16.1463,17.4687,18.1701,20.5357,22.672,26.9094,1.0067,1.5555,2.3023,5.9866,10.217,21.8378,1.0461,2.0163,3.0904,7.8009,13.5356,32.8193,96.3649,95.36,94.3551,95.016,93.6937,96.3383,94.8071,93.5065,96.1078,92.4299,97.1087,94.7693,91.3356,97.1644,94.25,91.1202,83.7246,98.5159,2.2808,2.4379,2.566,2.8667,3.0084,3.0924,46.7347,8.3133,1.4454,-0.117,1.3284,61.7978,59.6936,1.8296,49.0904,90.3202,13997264.9874,51257278.0
2015-06-15,93.15,375004.0,AENA.MC,94.58,94.85,94.6343,94.8864,94.1952,91.1864,94.1217,94.5473,94.6029,94.7066,94.4724,92.8034,93.622,94.0923,94.4002,95.1313,95.4168,95.5898,94.6207,94.091,93.632,93.2171,92.5956,94.5879,19.6924,32.6569,40.1957,50.025,53.1112,57.5893,34.6981,21.6236,16.7999,12.7725,16.9081,23.1698,-2.34,-0.83,-1.21,1.64,-1.15,2.78,-100.0,-138.2919,-118.1369,-121.0178,-39.66,51.2184,-0.4364,-0.4364,-0.4364,-0.4364,-0.4364,-0.4364,-60.6151,-34.6861,-19.6087,0.0501,6.2224,15.1787,0.9755,0.9912,0.9872,1.0179,0.9878,1.0308,33.3333,100.0,60.0,0.0,71.4286,28.5714,0.0,85.7143,90.4762,33.3333,35.7143,95.2381,46.7326,21.4577,9.783,3.0936,8.0033,17.3426,32.1833,22.9183,19.8627,18.4407,18.7673,18.6961,11.6833,14.8204,16.3227,19.6181,22.0326,26.5415,1.9211,2.4944,3.2234,6.809,10.9805,22.5678,0.6974,1.613,2.6489,7.2437,12.891,32.0379,96.8308,94.58,92.3293,94.85,92.9618,96.7382,94.6343,92.8944,96.3741,93.1167,96.6562,94.8864,91.2437,97.1468,94.1952,91.1864,83.7691,98.6038,2.1361,2.3368,2.4888,2.8324,2.9968,3.1109,47.1989,8.5077,1.3793,-0.2645,1.1148,55.2406,37.4713,1.2724,45.8438,90.733,13622260.9874,50882274.0
2015-06-16,95.75,485627.0,AENA.MC,94.53,94.996,94.8543,94.955,94.2452,91.3186,94.7067,94.8473,94.8818,94.8217,94.6137,93.0157,95.0944,94.9428,94.9725,95.3874,95.617,95.7838,94.6281,94.1213,93.707,93.2447,92.622,94.6051,64.3331,59.7425,58.4188,57.3878,57.432,59.4157,27.4795,19.5053,16.0215,12.6641,16.7037,23.0743,-0.15,0.73,1.54,0.96,1.05,5.55,33.4659,-22.8292,-3.2542,-4.7313,40.5074,70.6217,0.8939,0.8939,0.8939,0.8939,0.8939,0.8939,28.6662,19.4849,16.8376,14.7757,14.8641,18.8313,0.9984,1.0077,1.0163,1.0101,1.0111,1.0615,0.0,100.0,40.0,100.0,57.1429,100.0,0.0,78.5714,85.7143,28.5714,33.3333,92.8571,13.0422,11.0324,11.3513,11.2548,12.6157,19.1624,17.5939,16.6195,16.0541,16.8216,17.718,18.1868,22.8714,20.7413,20.1654,21.0883,22.8339,26.8091,1.2808,1.9955,2.7629,6.3226,10.4576,22.0305,1.6649,2.4904,3.4705,7.9263,13.4772,32.4751,96.6649,94.53,92.3951,94.996,92.9699,97.0221,94.8543,92.999,96.7095,93.1319,96.7781,94.955,91.2264,97.2641,94.2452,91.3186,83.7795,98.8577,2.5342,2.508,2.5677,2.8049,2.9407,3.0364,47.6844,8.7036,1.3318,-0.1897,1.1421,44.6191,36.6923,0.9963,52.5824,91.121,14034308.2058,51367901.0
2015-06-17,93.77,1256219.0,AENA.MC,94.2233,94.652,94.8243,94.7421,94.2176,91.3964,94.3267,94.4387,94.6107,94.6637,94.5705,93.1297,94.1414,94.3105,94.4767,95.0933,95.4399,95.7801,94.6075,94.1074,93.7074,93.2632,92.629,94.5972,39.348,43.2019,45.9728,51.2013,53.4906,57.4845,23.3868,18.0553,15.4718,12.5873,16.5181,22.983,-0.92,-1.72,-0.21,-2.98,-0.58,3.27,24.3008,-38.5012,-51.8519,-40.1041,18.3514,61.3667,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-21.304,-13.5962,-8.0545,2.4026,6.9811,14.9691,0.9903,0.982,0.9978,0.9692,0.9939,1.0361,0.0,66.6667,20.0,80.0,42.8571,85.7143,92.8571,71.4286,80.9524,23.8095,30.9524,90.4762,15.2013,12.255,12.1732,11.5889,12.8069,19.2383,11.7721,13.2972,13.8076,15.7393,16.9925,17.825,15.9928,17.0115,17.6353,19.8655,21.9842,26.3173,0.8538,1.5964,2.3682,5.871,9.9597,21.5059,1.16,2.0423,3.0247,7.4101,12.8854,31.7518,96.4409,94.2233,92.0057,94.652,92.4982,96.8058,94.8243,92.9077,96.7409,93.1226,96.3617,94.7421,91.1925,97.2427,94.2176,91.3964,83.8253,98.9676,2.5783,2.5607,2.613,2.8423,2.9817,3.0876,48.1453,8.9008,1.264,-0.2714,0.9926,34.894,30.5185,0.6383,46.8287,91.4857,12903705.8192,50111682.0
2015-06-18,92.35,470079.0,AENA.MC,93.9567,93.942,94.4429,94.5243,94.1733,91.4881,93.39,93.6713,93.9921,94.3448,94.4007,93.1741,92.7453,93.1805,93.5325,94.4955,95.0333,95.6434,94.5602,93.9398,93.6347,93.2302,92.6269,94.5732,27.753,34.6114,39.0176,47.2659,50.8621,56.1439,32.7255,20.6882,16.085,11.8952,15.9225,22.7968,-0.8,-3.55,-2.67,-3.05,-0.93,3.85,-100.0,-131.8213,-157.6568,-237.6873,-112.2135,20.8715,-0.6604,-0.6604,-0.6604,-0.6604,-0.6604,-0.6604,-44.494,-30.7772,-21.9648,-5.4681,1.7241,12.2878,0.9914,0.963,0.9719,0.968,0.99,1.0435,66.6667,100.0,0.0,100.0,28.5714,100.0,100.0,64.2857,76.1905,19.0476,28.5714,88.0952,51.403,31.2199,19.7646,2.8986,4.0108,15.1625,35.454,26.9543,23.2269,19.9241,19.6005,19.0699,11.38,14.1283,15.5607,18.8016,21.2385,25.8865,2.4092,3.1171,3.8699,7.2917,11.3254,22.8339,0.7733,1.6339,2.5926,6.8808,12.2718,30.9958,96.7453,93.9567,91.1681,93.942,91.5722,96.3118,94.4429,91.8801,97.0056,92.5382,96.5104,94.5243,91.0684,97.2782,94.1733,91.4881,83.9664,99.0098,2.4528,2.5045,2.5774,2.8315,2.9845,3.111,48.5873,9.0992,1.1614,-0.4105,0.7508,33.9463,34.6281,0.3611,42.5904,97.2,12752924.9593,49641603.0
2015-06-19,94.75,5213794.0,AENA.MC,93.6233,93.954,94.3371,94.4779,94.2424,91.6083,93.7867,93.9407,94.0689,94.3749,94.4532,93.3258,94.0974,93.9194,93.9774,94.6057,95.0916,95.7301,94.5656,93.9436,93.6465,93.2418,92.6465,94.5755,58.6468,53.9548,53.0296,53.7379,54.8035,57.846,31.9317,20.6943,16.2695,12.0079,15.8112,22.7064,-1.0,0.06,-0.74,-0.65,1.45,5.05,38.8182,26.6296,-16.7117,-36.8095,0.4576,52.9068,0.7062,0.7062,0.7062,0.7062,0.7062,0.7062,17.2936,7.9096,6.0593,7.4758,9.6069,15.692,0.9896,1.0006,0.9923,0.9932,1.0155,1.0563,33.3333,66.6667,0.0,80.0,14.2857,85.7143,92.8571,57.1429,71.4286,14.2857,26.1905,85.7143,30.3443,20.7189,17.376,13.4729,13.5852,19.0007,19.0976,18.9901,18.2646,17.8824,18.3095,18.4573,35.7366,28.9157,25.9468,23.4512,24.0664,27.1166,1.6062,2.4937,3.3171,6.7708,10.7861,22.2902,3.0055,3.7971,4.7122,8.8794,14.1774,32.7478,95.5939,93.6233,91.6528,93.954,91.5687,96.3393,94.3371,91.8978,96.7765,92.5462,96.4095,94.4779,91.1538,97.331,94.2424,91.6083,84.0435,99.1732,2.9587,2.7718,2.7382,2.8551,2.9653,3.0575,49.0489,9.299,1.078,-0.3336,0.7443,33.4318,35.1487,0.2745,45.3981,97.1461,14902943.4223,54855397.0
2015-06-22,95.9,1795334.0,AENA.MC,94.3333,94.504,94.3371,94.6136,94.4162,91.7845,94.925,94.5893,94.4596,94.5645,94.6039,93.5254,95.4611,94.9789,94.7791,94.9772,95.3365,95.9113,94.7044,94.0543,93.6559,93.2886,92.7132,94.6007,68.3686,60.8854,58.3762,56.4932,56.5567,58.634,37.058,23.3057,17.9119,12.5067,15.8697,22.6531,2.13,2.75,0.0,1.9,3.65,7.4,100.0,130.588,137.9541,138.3683,123.3088,87.2398,-0.0704,-0.0704,-0.0704,-0.0704,-0.0704,-0.0704,36.7373,21.7707,16.7523,12.9865,13.1133,17.2681,1.0227,1.0295,1.0,1.0202,1.0396,1.0836,100.0,33.3333,100.0,60.0,0.0,71.4286,85.7143,50.0,66.6667,9.5238,23.8095,83.3333,47.3106,33.7511,27.7666,18.9915,17.0398,20.4662,13.8399,15.7888,16.0663,16.8609,17.6399,18.1297,38.694,31.8764,28.4181,24.7666,24.8862,27.4602,1.0708,1.995,2.8432,6.2872,10.2725,21.7595,2.9937,4.0277,5.0291,9.2351,14.4923,32.9581,97.2912,94.3333,91.3755,94.504,91.8597,97.1483,94.3371,91.8978,96.7765,92.5714,96.6557,94.6136,91.3854,97.447,94.4162,91.7845,84.1729,99.3962,2.6892,2.6351,2.6362,2.7781,2.896,3.0018,49.5174,9.5001,1.0269,-0.2044,0.8225,41.2966,54.113,0.3452,47.2693,97.0927,14220219.9274,56650731.0
2015-06-23,95.55,923661.0,AENA.MC,95.4,94.464,94.46,94.6336,94.6662,91.9964,95.5333,94.938,94.7629,94.6893,94.7069,93.7005,95.6493,95.3578,95.147,95.1856,95.4829,96.0442,94.9683,94.0641,93.6787,93.3014,92.8098,94.6235,61.7422,57.5878,56.1084,55.4115,55.8642,58.2943,32.3159,22.6988,17.9673,12.663,15.8007,22.5723,3.2,-0.2,0.86,0.28,5.25,8.9,34.6155,72.2109,92.0527,94.9363,96.4315,77.8435,-0.3978,-0.3978,-0.3978,-0.3978,-0.3978,-0.3978,23.4844,15.1756,12.2169,10.8231,11.7283,16.5886,1.0347,0.9979,1.0091,1.0029,1.0581,1.1027,66.6667,0.0,80.0,40.0,85.7143,57.1429,78.5714,42.8571,61.9048,4.7619,21.4286,80.9524,22.8316,20.2714,18.2994,14.6945,14.4201,19.2605,17.9946,17.9219,17.534,17.5054,18.0252,18.3078,28.6427,27.0354,25.3886,23.5363,24.0997,27.0425,1.2538,2.136,2.977,6.3781,10.3233,21.7814,1.9958,3.2221,4.3106,8.5755,13.8022,32.1734,96.3626,95.4,94.4374,94.464,91.8912,97.0368,94.46,91.8794,97.0406,92.5609,96.7063,94.6336,92.2262,97.1062,94.6662,91.9964,84.4733,99.5195,2.4308,2.4947,2.5385,2.7244,2.8584,2.9862,49.9778,9.7025,0.9908,-0.1443,0.8464,54.6181,74.5926,0.4289,47.4552,97.0399,13939552.7846,55727070.0
2015-06-24,95.25,768745.0,AENA.MC,95.5667,94.76,94.76,94.6971,94.8443,92.2143,95.4583,95.2,94.9604,94.7715,94.76,93.8518,95.4465,95.3808,95.2479,95.2739,95.5523,96.1367,94.9834,94.1232,93.7345,93.3208,92.867,94.6391,54.9007,54.4293,54.0103,54.4492,55.2552,57.9992,25.1756,18.3507,16.0537,12.3513,15.5472,22.4499,0.5,1.48,2.1,0.89,3.74,9.15,-100.0,18.4817,25.6884,24.0765,27.7448,61.0247,-0.2215,-0.2215,-0.2215,-0.2215,-0.2215,-0.2215,9.8014,8.8586,8.0206,8.8984,10.5105,15.9984,1.0053,1.0158,1.0225,1.0094,1.0409,1.1063,33.3333,0.0,60.0,20.0,71.4286,42.8571,71.4286,35.7143,57.1429,0.0,19.0476,78.5714,10.8949,0.9582,4.572,8.299,10.4773,17.4323,26.5997,22.7519,20.8995,19.0399,18.9788,18.7586,21.3731,23.1921,22.9021,22.4861,23.4212,26.6795,1.6559,2.5288,3.3717,6.7425,10.6517,22.0828,1.3305,2.5777,3.6948,7.9629,13.145,31.4074,96.0979,95.5667,95.0354,94.76,92.2346,97.2854,94.76,92.3777,97.1423,92.6074,96.7869,94.6971,92.8458,96.8428,94.8443,92.2143,84.8587,99.5698,2.1786,2.3338,2.4197,2.6562,2.8099,2.9637,50.4305,9.9061,0.9589,-0.1273,0.8316,67.6005,74.0961,0.5042,51.8047,96.9876,14289867.4915,54958325.0
