date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Up 5,Aroon Down 5,Aroon Up 7,Aroon Down 7,Aroon Up 14,Aroon Down 14,Aroon Down 21,Aroon Up 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Middle Band 3,Real Lower Band 3,Real Upper Band 3,Real Lower Band 5,Real Upper Band 5,Real Middle Band 5,Real Middle Band 7,Real Lower Band 7,Real Upper Band 7,Real Upper Band 14,Real Lower Band 14,Real Middle Band 14,Real Lower Band 21,Real Upper Band 21,Real Middle Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2010-08-24,12.9,632375.0,AMS.MC,12.8383,12.893,12.9193,13.0096,13.1133,12.9223,12.8858,12.8763,12.8975,12.9495,13.011,13.012,12.8992,12.8738,12.8629,12.9157,13.0025,13.1549,12.8722,13.0296,13.1039,13.0939,12.9046,12.9162,49.516,47.153,46.484,48.1128,49.8092,52.1215,46.8035,30.1603,22.2517,13.9852,14.4681,17.199,0.05,-0.185,-0.07,0.0,-0.53,0.06,100.0,81.2183,57.9961,-5.5261,-40.0638,20.1386,-0.155,-0.155,-0.155,-0.155,-0.155,-0.155,-0.968,-5.694,-7.032,-3.7744,-0.3816,4.243,1.0039,0.9859,0.9946,1.0,0.9605,1.0047,100.0,66.6667,100.0,80.0,100.0,85.7143,28.5714,92.8571,95.2381,14.2857,14.2857,57.1429,43.745,20.1065,10.6607,6.9381,9.352,13.9694,10.2619,13.9043,15.582,16.7823,16.9874,17.5547,26.2216,20.9027,19.3007,19.2847,20.4925,23.2557,0.1552,0.3179,0.477,0.9906,1.5297,3.4297,0.3967,0.478,0.5909,1.1383,1.8453,4.5435,12.8383,12.5121,13.1646,12.5662,13.2198,12.893,12.9193,12.6117,13.2269,13.3509,12.6684,13.0096,12.6458,13.5809,13.1133,12.9223,12.2042,13.6403,3.9089,3.5451,3.3902,3.2705,3.3364,3.6441,1.1783,6.6022,-0.0471,-0.0142,0.0328,35.8165,34.5502,-0.9695,47.9491,13.7777,29877066.4539,30502458.0
2010-08-25,12.9,552099.0,AMS.MC,12.9333,12.853,12.9214,12.9943,13.0895,12.9151,12.9167,12.8787,12.8927,12.9349,12.9916,13.011,12.9006,12.8817,12.8681,12.9047,12.9858,13.1431,12.877,13.025,13.1029,13.0906,12.9045,12.9161,49.516,47.153,46.484,48.1128,49.8092,52.1215,45.784,28.1495,20.5958,13.4819,14.2245,17.1221,0.285,-0.2,0.015,-0.215,-0.5,-0.3,40.3509,74.9848,33.4389,-14.2556,-42.0052,16.221,0.0,0.0,0.0,0.0,0.0,0.0,-0.968,-5.694,-7.032,-3.7744,-0.3816,4.243,1.0226,0.9847,1.0012,0.9836,0.9627,0.9773,66.6667,33.3333,80.0,60.0,85.7143,71.4286,21.4286,85.7143,90.4762,9.5238,11.9048,54.7619,43.745,20.1065,10.6607,6.9381,9.352,13.9694,7.0957,11.1591,13.301,15.509,16.1405,17.1501,18.1313,16.7759,16.4754,17.8215,19.4708,22.7197,0.1035,0.2543,0.4089,0.9198,1.4569,3.348,0.2644,0.3824,0.5065,1.057,1.7575,4.4353,12.9333,12.8391,13.0276,12.5958,13.1102,12.853,12.9214,12.6146,13.2282,13.3346,12.654,12.9943,12.632,13.5471,13.0895,12.9151,12.2023,13.6279,3.7687,3.5338,3.4042,3.2861,3.3437,3.6403,1.2058,6.6652,-0.041,-0.0184,0.0226,50.1877,39.4276,-1.2844,45.2889,13.753,29570344.7872,30502458.0
2010-08-26,13.0,891084.0,AMS.MC,12.9333,12.883,12.9093,12.9818,13.0707,12.9206,12.95,12.9277,12.9123,12.9357,12.9834,13.0149,12.9758,12.9428,12.9168,12.9212,12.9886,13.141,12.8776,13.0242,13.1016,13.0894,12.9065,12.9167,63.4564,54.9311,51.9609,50.6652,51.3573,52.756,45.1043,26.5409,19.1765,13.0145,13.9925,17.047,0.0,0.15,-0.085,-0.175,-0.395,0.23,77.7778,64.475,66.4646,9.7017,-28.4119,21.9457,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,26.9127,9.8621,3.9218,1.3304,2.7146,5.512,1.0,1.0117,0.9935,0.9867,0.9705,1.018,33.3333,0.0,60.0,40.0,71.4286,57.1429,14.2857,78.5714,85.7143,4.7619,9.5238,52.381,43.745,20.1065,10.6607,6.9381,9.352,13.9694,5.2977,9.449,11.8206,14.6322,15.5438,16.8582,13.5369,14.2051,14.6416,16.814,18.751,22.333,0.069,0.2035,0.3505,0.8541,1.3875,3.2683,0.1763,0.3059,0.4341,0.9815,1.6738,4.3297,12.9333,12.8391,13.0276,12.6005,13.1655,12.883,12.9093,12.6233,13.1953,13.3071,12.6565,12.9818,12.6329,13.5085,13.0707,12.9206,12.2088,13.6324,3.3393,3.3129,3.2581,3.2092,3.2808,3.5868,1.2334,6.7285,-0.0289,-0.0135,0.0154,47.1058,44.37,-1.4063,44.2698,13.7287,29489337.1508,31393542.0
2010-08-27,13.5,1056687.0,AMS.MC,13.1333,13.06,12.9664,12.9925,13.0707,12.9325,13.2333,13.1333,13.06,13.0048,13.0225,13.0419,13.3756,13.2541,13.1681,13.0595,13.0778,13.1843,13.1542,13.1711,13.1205,13.0938,12.909,12.9236,88.1004,76.5252,69.919,60.9964,58.1363,55.7589,57.0611,32.2825,22.075,13.6311,14.1984,17.0585,0.6,0.885,0.4,0.15,0.0,0.5,100.0,166.6667,191.0598,210.4575,96.988,90.1893,0.8729,0.8729,0.8729,0.8729,0.8729,0.8729,76.2009,53.0503,39.838,21.9928,16.2726,11.5179,1.0465,1.0702,1.0305,1.0112,1.0,1.0385,100.0,0.0,100.0,20.0,100.0,42.8571,100.0,71.4286,80.9524,0.0,7.1429,50.0,80.9748,55.2488,39.4656,21.6478,18.3174,17.5276,3.1543,7.0385,9.5933,13.1959,14.535,16.3485,30.0044,24.4177,22.1022,20.4876,21.054,23.2975,0.046,0.1628,0.3004,0.7931,1.3214,3.1905,0.4375,0.5647,0.6921,1.2314,1.9141,4.5466,13.1333,12.6084,13.6583,12.611,13.509,13.06,12.9664,12.4691,13.4638,13.3711,12.6139,12.9925,12.6329,13.5085,13.0707,12.9325,12.1994,13.6656,3.6005,3.4263,3.3136,3.1818,3.217,3.4757,1.2612,6.7962,0.012,0.0304,0.0184,66.0679,54.4538,-1.1728,48.4355,13.705,30546024.1508,32450229.0
2010-08-30,13.405,713255.0,AMS.MC,13.3017,13.141,13.0457,13.01,13.0662,12.9502,13.3692,13.2483,13.1696,13.0598,13.0529,13.0639,13.4354,13.367,13.2887,13.1475,13.1385,13.2156,13.2174,13.2034,13.1462,13.0991,12.9122,12.9321,73.8976,68.7067,64.5686,58.4902,56.5637,55.0775,67.0916,38.7581,25.8921,14.63,14.5808,17.1091,0.505,0.405,0.555,0.245,-0.095,0.745,78.6207,109.0077,141.9495,255.2436,158.5316,116.8073,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,47.7952,37.4134,29.1372,16.9803,13.1273,10.1551,1.0391,1.0312,1.0432,1.0186,0.993,1.0588,100.0,0.0,100.0,0.0,100.0,28.5714,100.0,64.2857,76.1905,4.7619,4.7619,47.619,87.1525,64.6605,48.7952,27.6159,22.2294,19.186,2.2511,5.8132,8.3762,12.334,13.9085,16.0205,32.7929,27.0858,24.3403,21.7453,21.8596,23.6274,0.0307,0.1302,0.2575,0.7365,1.2585,3.1145,0.4467,0.6068,0.7482,1.2984,1.9779,4.5934,13.3017,12.8681,13.7353,12.6236,13.6584,13.141,13.0457,12.4762,13.6152,13.4375,12.5825,13.01,12.6445,13.4879,13.0662,12.9502,12.2084,13.6921,3.3872,3.3423,3.276,3.1833,3.2241,3.4863,1.2892,6.8623,0.0308,0.0568,0.0261,76.0209,63.0649,-0.925,48.662,13.6817,30344849.6637,31736974.0
2010-08-31,13.6,1357027.0,AMS.MC,13.5017,13.281,13.1864,13.0529,13.0757,12.9814,13.5183,13.4013,13.3082,13.1384,13.1014,13.0941,13.589,13.5297,13.4491,13.2668,13.2248,13.2622,13.3216,13.3182,13.2578,13.1241,12.9189,12.9558,82.5561,75.2062,70.0559,61.9464,58.9566,56.2029,74.3091,44.4398,29.5269,15.6779,14.9984,17.17,0.6,0.7,0.985,0.6,0.2,1.31,90.3084,92.1053,110.887,198.5846,196.5426,134.8811,0.7297,0.7297,0.7297,0.7297,0.7297,0.7297,65.1122,50.4124,40.1118,23.8928,17.9131,12.4059,1.0462,1.0543,1.0781,1.0462,1.0149,1.1066,100.0,0.0,100.0,0.0,100.0,14.2857,100.0,57.1429,71.4286,0.0,2.381,45.2381,88.7441,67.1665,51.3356,29.2997,23.3485,19.6665,1.5995,4.8184,7.3448,11.5624,13.3359,15.7142,26.8204,24.532,22.8408,21.1458,21.4603,23.4082,0.0204,0.1042,0.2207,0.6839,1.1986,3.0404,0.3428,0.5304,0.6863,1.2507,1.9287,4.529,13.5017,13.3424,13.6609,12.723,13.839,13.281,13.1864,12.6254,13.7474,13.5771,12.5286,13.0529,12.6169,13.5345,13.0757,12.9814,12.2431,13.7198,3.1326,3.1796,3.1564,3.1078,3.1561,3.4193,1.3174,6.9297,0.0531,0.0925,0.0394,87.2873,76.4587,-0.5749,54.9104,12.54,30968348.5556,33094001.0
2010-09-01,13.58,2009466.0,AMS.MC,13.5283,13.417,13.2693,13.0993,13.0962,13.019,13.5575,13.501,13.4066,13.2087,13.1472,13.1219,13.6152,13.5987,13.54,13.3573,13.2957,13.3035,13.3341,13.3875,13.3121,13.1506,12.9322,12.9861,78.5476,73.2556,68.7813,61.3819,58.6088,56.0554,51.2747,38.2533,27.5428,15.5624,14.958,17.1398,0.08,0.68,0.58,0.65,0.43,1.58,-7.3684,53.9379,71.4479,130.5496,150.1792,118.5431,-0.0286,-0.0286,-0.0286,-0.0286,-0.0286,-0.0286,57.0952,46.5112,37.5626,22.7638,17.2177,12.1108,1.0059,1.0527,1.0446,1.0503,1.0327,1.1317,100.0,0.0,100.0,0.0,100.0,0.0,100.0,50.0,66.6667,100.0,0.0,42.8571,5.206,13.5071,15.6382,14.0608,14.1502,15.902,16.3413,13.3079,13.1022,14.1312,14.9197,16.3779,14.7241,17.4643,17.9597,18.7553,19.838,22.5716,0.2536,0.3233,0.4292,0.875,1.3815,3.208,0.2285,0.4243,0.5883,1.1613,1.8369,4.4212,13.5283,13.3532,13.7035,12.9779,13.8561,13.417,13.2693,12.6727,13.8659,13.6835,12.5151,13.0993,12.59,13.6024,13.0962,13.019,12.3249,13.7132,3.8097,3.5784,3.4458,3.2583,3.2557,3.4655,1.3458,6.9962,0.0627,0.1177,0.055,79.8405,81.0496,-0.1869,54.5687,12.5516,31772134.9556,31084535.0
2010-09-02,13.25,1627488.0,AMS.MC,13.4767,13.467,13.3193,13.1193,13.1129,13.0417,13.4183,13.4453,13.4018,13.2288,13.1612,13.1327,13.3654,13.444,13.4492,13.3471,13.2993,13.3117,13.3294,13.3822,13.3086,13.1523,12.9373,12.9926,35.6753,47.725,50.9399,52.8275,53.1754,53.6738,43.9747,31.4275,23.9919,15.0072,14.7312,17.0702,-0.155,0.25,0.35,0.28,0.35,0.95,-100.0,-86.357,0.0932,56.5098,68.9409,67.3071,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-28.6493,-4.55,1.8798,5.6551,6.3509,7.3476,0.9884,1.0192,1.0271,1.0216,1.0271,1.0772,66.6667,100.0,80.0,0.0,85.7143,0.0,92.8571,42.8571,61.9048,95.2381,0.0,40.4762,29.3748,4.1246,2.6863,7.7903,10.1955,14.215,16.3236,14.0782,13.7212,14.3587,15.0176,16.3751,8.911,12.9628,14.4788,16.7849,18.4275,21.802,0.2791,0.3687,0.4779,0.9225,1.4257,3.2416,0.1524,0.3395,0.5042,1.0784,1.7494,4.3159,13.4767,13.1557,13.7976,13.2101,13.7239,13.467,13.3193,12.8014,13.8372,13.7036,12.535,13.1193,12.6106,13.6151,13.1129,13.0417,12.3816,13.7017,4.3012,3.9529,3.7549,3.4648,3.4204,3.5886,1.3744,7.0587,0.0439,0.1099,0.066,68.3949,78.5076,-0.04,54.8691,12.5764,31446637.3556,29457047.0
2010-09-03,13.3,1045256.0,AMS.MC,13.3767,13.427,13.3764,13.1489,13.1217,13.0637,13.33,13.3897,13.397,13.2529,13.1782,13.1447,13.3116,13.3814,13.4076,13.3501,13.3106,13.3235,13.3216,13.3775,13.3081,13.1563,12.9408,13.0001,42.7741,50.9618,53.0908,53.8764,53.856,53.9773,39.1081,25.9669,20.9482,14.4917,14.5152,17.0022,-0.3,-0.2,0.4,0.415,0.185,0.925,-48.0176,-81.5348,-20.6642,48.7882,63.5283,64.8811,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,-14.4518,1.9236,6.1816,7.7528,7.712,7.9546,0.9779,0.9852,1.031,1.0322,1.0141,1.0747,33.3333,66.6667,60.0,0.0,71.4286,0.0,85.7143,35.7143,57.1429,90.4762,2.381,38.0952,29.3748,4.1246,2.6863,7.7903,10.1955,14.215,12.9224,12.3147,12.4682,13.6712,14.5353,16.1248,7.0543,11.3391,13.1566,15.9812,17.8357,21.4687,0.1861,0.2949,0.4096,0.8566,1.3578,3.1644,0.1016,0.2716,0.4322,1.0014,1.6661,4.2132,13.3767,13.0862,13.6671,13.1424,13.7116,13.427,13.3764,12.9829,13.77,13.7247,12.5731,13.1489,12.6131,13.6302,13.1217,13.0637,12.433,13.6944,3.6085,3.6015,3.5286,3.3663,3.3527,3.5436,1.4031,7.1212,0.0324,0.1064,0.0741,51.934,66.7232,0.1454,57.368,12.6006,31446637.3556,30502303.0
2010-09-06,13.38,652897.0,AMS.MC,13.31,13.422,13.4307,13.17,13.1314,13.0892,13.3317,13.374,13.3979,13.2837,13.2017,13.1594,13.3553,13.389,13.4125,13.3715,13.3338,13.3415,13.3278,13.3775,13.3124,13.1607,12.9454,13.011,54.7571,56.3655,56.6394,55.5782,54.9559,54.4662,27.8134,22.7348,19.5688,14.2699,14.411,16.9555,-0.2,-0.025,0.38,0.295,0.205,1.07,100.0,-9.6726,-3.4625,65.4315,85.2724,84.5311,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,9.5143,12.7309,13.2787,11.1565,9.9118,8.9324,0.9853,0.9981,1.0292,1.0225,1.0156,1.0869,0.0,33.3333,40.0,60.0,57.1429,0.0,78.5714,28.5714,52.381,85.7143,0.0,35.7143,5.224,9.8061,11.2921,11.3857,12.3265,15.0408,10.2522,10.8934,11.4515,13.108,14.138,15.9171,11.3824,13.2621,14.3669,16.4764,18.1135,21.5528,0.124,0.236,0.3511,0.7954,1.2931,3.0891,0.1377,0.2873,0.4405,0.9998,1.6568,4.1828,13.31,13.2029,13.4171,13.1351,13.7089,13.422,13.4307,13.1815,13.68,13.7564,12.5836,13.17,12.6114,13.6514,13.1314,13.0892,12.4971,13.6813,3.0141,3.2377,3.2734,3.2406,3.263,3.4831,1.432,7.1837,0.0279,0.1089,0.0811,42.5084,54.2791,0.5168,57.3128,12.6244,31368289.7156,31155200.0
