date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Up 5,Aroon Down 5,Aroon Up 7,Aroon Down 7,Aroon Down 14,Aroon Up 14,Aroon Up 21,Aroon Down 21,Aroon Up 42,Aroon Down 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Lower Band 3,Real Upper Band 3,Real Middle Band 3,Real Lower Band 5,Real Middle Band 5,Real Upper Band 5,Real Upper Band 7,Real Lower Band 7,Real Middle Band 7,Real Middle Band 14,Real Upper Band 14,Real Lower Band 14,Real Lower Band 21,Real Upper Band 21,Real Middle Band 21,Real Lower Band 42,Real Upper Band 42,Real Middle Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,MAMA,FAMA,MACD_Signal,MACD_Hist,MACD,SlowK,SlowD,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2004-11-01,3.2521,34963.0,AZM.MI,3.2397,3.2223,3.2228,3.2548,3.277,3.2661,3.2428,3.2322,3.2275,3.2396,3.2574,3.2604,3.2475,3.2362,3.2288,3.2329,3.2444,3.2569,3.2361,3.2353,3.2625,3.2391,3.2709,3.2218,75.7429,58.086,52.4857,49.6955,49.3266,46.7167,37.0216,22.7952,17.8624,11.6391,10.9702,10.2881,0.0559,0.0373,0.0186,-0.0559,0.0839,0.0839,100.0,82.3259,82.3469,-10.8525,-43.6521,-21.4201,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,51.4857,16.1719,4.9713,-0.609,-1.3468,-6.5666,1.0175,1.0116,1.0058,0.9831,1.0265,1.0265,100.0,0.0,100.0,20.0,0.0,42.8571,71.4286,0.0,23.8095,0.0,16.6667,45.2381,29.6871,7.0675,0.1429,1.4771,1.2889,7.6606,11.7614,16.641,18.7667,20.8883,21.8277,24.5222,21.693,19.1721,18.7131,20.2802,21.2721,21.0325,0.017,0.0426,0.0697,0.1656,0.2685,0.6389,0.0314,0.0491,0.0695,0.1608,0.2616,0.548,3.2221,3.2572,3.2397,3.1776,3.2223,3.267,3.2619,3.1837,3.2228,3.2548,3.3385,3.171,3.1721,3.3818,3.277,3.1357,3.3965,3.2661,1.4822,1.5753,1.6324,1.7425,1.8055,1.9259,1.6709,0.3011,-0.0027,-0.0061,-0.0088,64.8481,45.059,-0.1543,40.8469,3.1697,3739241.7994,15784750.0
2004-11-02,3.2614,100116.0,AZM.MI,3.249,3.2353,3.2268,3.2494,3.2778,3.2683,3.2537,3.2453,3.2371,3.2405,3.256,3.2602,3.26,3.2504,3.2416,3.2383,3.2467,3.2573,3.2473,3.2469,3.2624,3.2401,3.2708,3.2223,81.1632,62.7315,55.8121,51.1353,50.2137,47.1311,39.8313,21.7441,16.3262,10.9184,10.4739,10.2051,0.028,0.0652,0.028,-0.0745,0.0186,0.0932,100.0,109.4472,113.2498,39.2856,-18.1207,-3.6289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.3264,25.463,11.6243,2.2705,0.4275,-5.7378,1.0086,1.0204,1.0086,0.9777,1.0057,1.0294,100.0,33.3333,100.0,0.0,100.0,28.5714,64.2857,0.0,19.0476,76.1905,14.2857,42.8571,45.4507,17.5395,7.1088,1.5499,0.5469,6.8015,9.1171,14.6431,17.2523,20.1241,21.3188,24.2556,24.31,20.8723,19.8929,20.7578,21.5533,21.1662,0.0113,0.0341,0.0598,0.1538,0.2557,0.6237,0.0302,0.0486,0.0689,0.1586,0.2585,0.5443,3.2258,3.2722,3.249,3.1906,3.2353,3.2801,3.2743,3.1793,3.2268,3.2494,3.3204,3.1785,3.1738,3.3818,3.2778,3.1415,3.3951,3.2683,1.2711,1.4281,1.5177,1.6746,1.7554,1.8951,1.6868,0.3081,-0.0035,-0.0033,-0.0068,73.3319,60.3744,-0.299,42.7356,3.1719,3639125.7994,15884866.0
2004-11-03,3.308,105229.0,AZM.MI,3.2738,3.2577,3.2401,3.2528,3.2792,3.2696,3.2832,3.2695,3.2574,3.2483,3.2588,3.2621,3.2984,3.2838,3.2704,3.2544,3.2569,3.2619,3.2743,3.2741,3.2736,3.2418,3.2712,3.223,92.9597,77.9811,68.6233,57.6592,54.4036,49.156,50.8345,25.8008,17.6919,10.8672,10.2569,10.0632,0.0745,0.1118,0.0932,0.0466,0.0279,0.0559,100.0,130.9513,135.0191,98.5706,24.7901,30.5802,1.0,1.0,1.0,1.0,1.0,1.0,85.9193,55.9622,37.2467,15.3184,8.8073,-1.688,1.0231,1.035,1.029,1.0143,1.0085,1.0172,100.0,0.0,100.0,0.0,100.0,14.2857,57.1429,21.4286,14.2857,71.4286,11.9048,40.4762,72.8409,42.0277,25.8861,10.2011,5.9166,4.246,5.8371,11.7138,14.9129,18.8843,20.4834,23.8136,37.1471,28.6979,25.3303,23.1748,23.0596,21.8737,0.0076,0.0273,0.0512,0.1428,0.2435,0.6089,0.0481,0.0668,0.087,0.1753,0.2741,0.5593,3.2249,3.3228,3.2738,3.2029,3.2577,3.3125,3.3124,3.1678,3.2401,3.2528,3.3298,3.1758,3.1744,3.384,3.2792,3.1424,3.3969,3.2696,1.3049,1.4081,1.4838,1.6337,1.7153,1.8574,1.703,0.315,-0.0031,0.0017,-0.0014,86.6645,74.9482,-0.4357,49.488,3.1741,3744354.7994,15990095.0
2004-11-04,3.2987,167636.0,AZM.MI,3.2894,3.2707,3.2548,3.2548,3.2765,3.2703,3.2956,3.2832,3.2721,3.2544,3.2605,3.2634,3.3034,3.2962,3.2848,3.2652,3.264,3.2653,3.2803,3.2811,3.2819,3.2427,3.2717,3.2235,78.2678,70.7499,64.2787,56.0488,53.4596,48.7736,62.06,32.1858,20.8835,11.3743,10.2906,9.8653,0.0466,0.0652,0.1025,0.028,-0.0559,0.028,90.9224,109.384,127.2814,128.1352,60.8877,55.3737,-0.7499,-0.7499,-0.7499,-0.7499,-0.7499,-0.7499,56.5357,41.4998,28.5573,12.0977,6.9193,-2.4528,1.0143,1.0202,1.0321,1.0085,0.9833,1.0085,100.0,0.0,100.0,20.0,100.0,0.0,50.0,100.0,9.5238,66.6667,9.5238,38.0952,84.511,57.726,40.0333,17.9669,10.9659,1.7511,4.077,9.7612,13.2376,17.9326,19.8306,23.4632,48.567,36.4194,30.9123,25.7878,24.7155,22.6556,0.005,0.0218,0.0439,0.1326,0.2319,0.5944,0.06,0.0814,0.1026,0.1907,0.2891,0.5739,3.2491,3.3296,3.2894,3.2142,3.2707,3.3273,3.3271,3.1824,3.2548,3.2548,3.3349,3.1746,3.1768,3.3762,3.2765,3.1427,3.3979,3.2703,1.249,1.3556,1.4368,1.602,1.6921,1.8452,1.719,0.3221,-0.0021,0.0041,0.002,83.0773,81.0246,-0.6559,46.4084,3.1763,3576718.7994,15822459.0
2004-11-05,3.3826,589317.0,AZM.MI,3.3298,3.3006,3.2814,3.2621,3.2778,3.2716,3.3422,3.3204,3.304,3.2715,3.2702,3.2686,3.3664,3.3485,3.3305,3.2947,3.2848,3.2762,3.3155,3.3176,3.3196,3.2504,3.2727,3.2249,93.0688,85.6904,78.55,65.4179,60.0206,52.2044,72.2173,40.3429,25.9378,12.6324,10.6867,9.6838,0.1211,0.1491,0.1864,0.1025,0.0279,0.0559,100.0,134.1389,149.5709,177.9169,141.6828,118.5879,0.75,0.75,0.75,0.75,0.75,0.75,86.1375,71.3807,57.1,30.8358,20.0412,4.4089,1.0371,1.0461,1.0583,1.0312,1.0083,1.0168,100.0,33.3333,100.0,0.0,100.0,0.0,42.8571,100.0,4.7619,61.9048,7.1429,35.7143,92.5318,72.9709,56.2633,28.9872,18.6085,2.2424,2.0206,6.6456,10.2229,15.9809,18.4421,22.6936,52.0926,42.5278,36.5248,29.0276,26.8749,23.7348,0.0034,0.0175,0.0376,0.1231,0.2209,0.5802,0.0866,0.1117,0.1345,0.2237,0.3219,0.6068,3.2547,3.4048,3.3298,3.2082,3.3006,3.3929,3.3802,3.1826,3.2814,3.2621,3.3655,3.1587,3.1734,3.3823,3.2778,3.1406,3.4026,3.2716,1.6384,1.5534,1.5552,1.6278,1.6896,1.8157,1.7356,0.3291,0.0006,0.0108,0.0114,89.7446,86.4955,-0.7507,56.5139,3.1785,4166035.7994,16411776.0
2004-11-08,3.4198,468235.0,AZM.MI,3.367,3.3341,3.308,3.2701,3.2809,3.275,3.3872,3.3602,3.3386,3.2925,3.2831,3.2755,3.4141,3.3963,3.3758,3.3277,3.3093,3.2896,3.3507,3.3552,3.3571,3.2606,3.2753,3.2284,95.2331,88.8533,82.2309,68.6195,62.4883,53.6186,79.9428,48.3012,31.53,14.3267,11.3246,9.5791,0.1118,0.1677,0.1864,0.1118,0.0652,0.1398,97.7291,117.2472,141.9129,198.8444,201.5104,167.8907,1.0,1.0,1.0,1.0,1.0,1.0,90.4661,77.7067,64.4618,37.2391,24.9767,7.2373,1.0338,1.0516,1.0576,1.0338,1.0194,1.0426,100.0,0.0,100.0,0.0,100.0,14.2857,35.7143,100.0,100.0,57.1429,4.7619,33.3333,95.3939,80.1345,65.0831,36.3532,24.0823,5.2886,1.3431,5.2492,8.6846,14.8227,17.5804,22.1964,56.9771,47.5985,41.0597,31.7552,28.7339,24.6753,0.0022,0.014,0.0323,0.1143,0.2104,0.5664,0.095,0.1267,0.1526,0.245,0.3438,0.6297,3.2657,3.4683,3.367,3.2178,3.3341,3.4504,3.4367,3.1793,3.308,3.2701,3.4002,3.1399,3.1644,3.3975,3.2809,3.1364,3.4135,3.275,1.6253,1.5562,1.552,1.6118,1.6695,1.792,1.7524,0.3363,0.0048,0.0168,0.0216,89.7446,87.5222,-0.5705,62.7286,3.1806,4634270.7994,16880011.0
2004-11-09,3.4105,265943.0,AZM.MI,3.4043,3.3639,3.3333,3.2767,3.2836,3.2763,3.409,3.3857,3.3643,3.3112,3.2949,3.2818,3.4205,3.415,3.3999,3.3518,3.3288,3.3013,3.3708,3.3717,3.374,3.2675,3.2774,3.2301,85.2578,83.1167,78.3143,66.9521,61.4928,53.2157,85.2862,54.9718,36.6004,16.0236,11.9949,9.4948,0.1118,0.1491,0.177,0.0932,0.0559,0.0559,55.1789,82.3329,98.8727,156.2884,188.9236,164.0005,0.5001,0.5001,0.5001,0.5001,0.5001,0.5001,70.5156,66.2334,56.6287,33.9041,22.9856,6.4314,1.0339,1.0457,1.0548,1.0281,1.0167,1.0167,100.0,0.0,100.0,20.0,100.0,0.0,28.5714,100.0,100.0,52.381,100.0,30.9524,95.9729,81.6543,67.0232,38.0828,25.3996,6.0387,0.8937,4.1573,7.3876,13.7495,16.7582,21.7092,43.4888,41.165,37.4172,30.663,28.1697,24.4996,0.0015,0.0112,0.0277,0.1062,0.2003,0.5529,0.0727,0.1106,0.1401,0.2368,0.3368,0.624,3.3726,3.436,3.4043,3.2618,3.3639,3.466,3.4631,3.2035,3.3333,3.2767,3.4243,3.1292,3.1582,3.409,3.2836,3.1337,3.4189,3.2763,1.633,1.5762,1.5681,1.6179,1.6724,1.7932,1.769,0.3434,0.0096,0.019,0.0286,96.2976,91.929,-0.3173,63.9795,3.1854,4722981.8877,16614068.0
2004-11-10,3.4198,168790.0,AZM.MI,3.4167,3.3863,3.3573,3.29,3.2889,3.2778,3.4167,3.4043,3.3859,3.3303,3.3072,3.2885,3.4266,3.4279,3.4183,3.3733,3.3472,3.3129,3.3815,3.3845,3.3882,3.2971,3.2825,3.232,87.2596,84.3775,79.4559,67.7949,62.1264,53.5731,89.0613,60.6286,41.2333,17.725,12.6967,9.4306,0.0373,0.1118,0.1677,0.1864,0.1118,0.0652,100.0,69.5452,83.7911,130.2215,173.269,172.169,0.1665,0.1665,0.1665,0.1665,0.1665,0.1665,74.5191,68.755,58.9118,35.5897,24.2527,7.1462,1.011,1.0338,1.0516,1.0576,1.0338,1.0194,100.0,0.0,100.0,0.0,100.0,0.0,21.4286,100.0,100.0,47.619,100.0,28.5714,96.6117,83.2557,69.0308,39.8433,26.7345,6.7948,0.595,3.2994,6.2914,12.755,15.9738,21.2317,34.5259,36.1102,34.3386,29.6508,27.6315,24.3274,0.001,0.0089,0.0237,0.0986,0.1908,0.5398,0.0578,0.0978,0.1294,0.2292,0.3301,0.6184,3.4079,3.4255,3.4167,3.2945,3.3863,3.478,3.48,3.2346,3.3573,3.29,3.4524,3.1277,3.151,3.4269,3.2889,3.1305,3.4252,3.2778,1.6306,1.5845,1.574,1.615,1.6662,1.7846,1.7855,0.3506,0.0146,0.0199,0.0345,91.8522,92.6315,0.038,66.9492,3.1927,4779225.0946,16782858.0
2004-11-11,3.4105,322892.0,AZM.MI,3.4136,3.4087,3.3786,3.3027,3.2925,3.2792,3.4136,3.4124,3.3992,3.3464,3.3183,3.2947,3.4194,3.4276,3.4246,3.388,3.3614,3.323,3.3835,3.3915,3.3939,3.3163,3.2854,3.2335,72.4942,77.1737,74.8584,65.9827,61.0713,53.1571,91.5781,65.154,45.2044,19.3049,13.3652,9.3678,-0.0093,0.1118,0.1491,0.177,0.0745,0.0559,71.4549,73.2442,70.2776,108.2688,154.5188,168.8986,-0.7499,-0.7499,-0.7499,-0.7499,-0.7499,-0.7499,44.9884,54.3473,49.7169,31.9654,22.1426,6.3143,0.9973,1.0339,1.0457,1.0548,1.0223,1.0167,100.0,0.0,100.0,0.0,100.0,14.2857,14.2857,100.0,100.0,42.8571,100.0,26.1905,96.6117,83.2557,69.0308,39.8433,26.7345,6.7948,0.446,2.8153,5.6405,12.1253,15.4671,20.9176,25.8782,30.8121,30.786,28.1872,26.7549,23.9674,0.0007,0.0072,0.0203,0.0915,0.1817,0.5269,0.0385,0.0783,0.1109,0.2128,0.3143,0.6037,3.4048,3.4224,3.4136,3.3813,3.4087,3.436,3.4766,3.2805,3.3786,3.3027,3.4729,3.1325,3.1463,3.4387,3.2925,3.1281,3.4302,3.2792,1.4543,1.4896,1.509,1.5818,1.6433,1.7729,1.8018,0.3579,0.0193,0.0187,0.038,84.7108,90.9536,0.5138,66.2817,3.2025,4617822.4126,16459966.0
2004-11-12,3.3919,321027.0,AZM.MI,3.4074,3.4105,3.3905,3.3153,3.2987,3.2814,3.4028,3.4068,3.4025,3.3582,3.3273,3.2999,3.4014,3.4152,3.4191,3.3947,3.3703,3.3306,3.3846,3.3915,3.3936,3.3291,3.2912,3.2356,48.0673,63.587,65.9455,62.3871,58.9661,52.3239,80.0404,56.6173,39.8264,18.295,13.0075,9.181,-0.0186,0.0093,0.0839,0.177,0.1305,0.0932,-100.0,-166.6667,-36.4012,50.0609,78.8732,100.5382,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,-3.8655,27.174,31.891,24.7742,17.9322,4.6477,0.9945,1.0028,1.0254,1.0551,1.04,1.0282,66.6667,100.0,80.0,100.0,85.7143,0.0,7.1429,92.8571,95.2381,38.0952,97.619,23.8095,56.965,22.4706,7.5588,5.1671,5.8541,1.5203,46.4193,32.3529,26.8927,22.1751,21.7985,23.7186,12.7268,20.4808,23.1129,24.5916,24.5095,23.0082,0.0936,0.0989,0.1106,0.1782,0.2663,0.6075,0.0257,0.0626,0.0951,0.1976,0.2994,0.5893,3.3842,3.4307,3.4074,3.3901,3.4105,3.4309,3.4699,3.3112,3.3905,3.3153,3.4838,3.1468,3.1473,3.4501,3.2987,3.1265,3.4362,3.2814,1.9823,1.8027,1.7322,1.6927,1.7175,1.8122,1.8177,0.3652,0.0232,0.0156,0.0388,76.5092,84.3574,0.9638,67.1229,3.212,4938849.4126,16138939.0
