date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Down 3,Aroon Up 3,Aroon Down 5,Aroon Up 5,Aroon Down 7,Aroon Up 7,Aroon Up 14,Aroon Down 14,Aroon Up 21,Aroon Down 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Middle Band 3,Real Lower Band 3,Real Upper Band 3,Real Middle Band 5,Real Lower Band 5,Real Upper Band 5,Real Lower Band 7,Real Upper Band 7,Real Middle Band 7,Real Middle Band 14,Real Lower Band 14,Real Upper Band 14,Real Upper Band 21,Real Middle Band 21,Real Lower Band 21,Real Middle Band 42,Real Upper Band 42,Real Lower Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD_Signal,MACD_Hist,MACD,SlowK,SlowD,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2005-12-02,78.9,662500.0,BIDU,78.8667,78.29,79.3871,75.3179,73.6124,71.336,79.02,78.5707,78.9104,77.291,75.6251,73.2695,79.0817,79.394,79.6792,79.0775,77.4874,73.5413,78.6411,76.5596,76.5564,74.9321,71.9093,70.7995,54.7306,58.0325,59.0791,57.1246,52.9768,45.2,30.0449,34.1742,36.9122,27.6627,17.6982,11.0296,2.51,-4.87,4.18,8.849,10.4,8.51,46.1993,34.537,-0.689,66.4374,99.5035,130.8182,-0.3559,-0.3559,-0.3559,-0.3559,-0.3559,-0.3559,9.4612,16.065,18.1581,14.2491,5.9536,-9.6001,1.0329,0.9419,1.0559,1.1263,1.1518,1.1209,0.0,100.0,40.0,20.0,0.0,42.8571,71.4286,14.2857,80.9524,4.7619,16.6667,35.7143,31.6188,30.4784,32.4774,30.9795,22.4009,3.347,13.1348,14.8842,14.8295,15.4286,17.5069,22.1737,25.2816,27.9348,29.0951,29.2788,27.6144,23.7094,1.4858,3.0373,4.2983,9.4064,17.3741,53.6048,2.8599,5.7005,8.4332,17.8505,27.405,57.3173,78.8667,77.4452,80.2882,78.29,76.0715,80.5085,75.0713,83.703,79.3871,75.3179,66.2003,84.4354,82.6513,73.6124,64.5736,71.336,81.9962,60.6757,4.7791,5.1727,5.2481,5.5255,6.0151,7.3865,7.0839,38.3154,1.394,0.7355,2.1295,37.4511,40.0985,4.9142,45.6054,71.9245,-60493575.7958,6922400.0
2005-12-05,77.999,337100.0,BIDU,78.873,78.1978,79.0313,75.8892,74.0767,71.5669,78.5862,78.4737,78.5633,77.6485,76.0239,73.5794,78.3246,78.8079,79.25,79.1373,77.7775,73.8921,78.6381,76.5751,76.5933,75.0675,72.1728,70.9226,44.1603,52.6212,55.3637,55.4372,52.0128,44.8681,20.2591,30.4878,34.8515,27.5819,17.803,10.8266,0.019,-0.461,-2.491,7.999,9.749,9.699,-100.0,0.1904,-45.4956,43.8344,73.0346,106.6696,-0.7163,-0.7163,-0.7163,-0.7163,-0.7163,-0.7163,-11.6794,5.2425,10.7273,10.8744,4.0257,-10.2638,1.0002,0.9941,0.9691,1.1143,1.1428,1.142,0.0,66.6667,20.0,0.0,0.0,28.5714,64.2857,7.1429,76.1905,0.0,14.2857,33.3333,0.6875,15.7421,22.4878,26.5302,19.8987,2.5045,18.4705,17.5051,16.6433,16.2433,17.9472,22.3014,18.7262,24.0462,26.3004,27.9743,26.8641,23.4471,1.8805,3.3199,4.5743,9.6245,17.4368,53.2185,1.9066,4.5604,7.2285,16.5754,26.1,55.9526,78.873,77.4673,80.2787,78.1978,75.9769,80.4187,74.7271,83.3355,79.0313,75.8892,67.183,84.5954,82.9663,74.0767,65.187,71.5669,82.3733,60.7605,4.3511,4.8629,5.0338,5.4319,5.956,7.3745,7.242,38.7123,1.5302,0.545,2.0753,37.9757,38.1637,5.4614,37.5751,72.28,-60744102.3867,6585300.0
2005-12-06,78.18,519800.0,BIDU,78.3597,78.5558,78.2327,76.5578,74.5471,71.8031,78.2397,78.4677,78.3505,77.954,76.3969,73.887,78.1896,78.5581,79.0096,79.2071,78.0505,74.2364,78.4985,76.6925,76.7676,75.2471,72.4364,71.0493,47.2313,53.7052,56.012,55.7202,52.1963,44.9513,16.8414,26.4871,32.5813,27.3966,17.8618,10.6216,-1.54,1.79,-5.59,9.36,9.88,9.92,-53.4063,-27.4086,-23.1175,36.3839,64.2631,98.707,-0.1096,-0.1096,-0.1096,-0.1096,-0.1096,-0.1096,-5.5374,7.4105,12.024,11.4404,4.3926,-10.0975,0.9807,1.0234,0.9333,1.136,1.1447,1.1453,100.0,33.3333,0.0,60.0,28.5714,14.2857,57.1429,0.0,71.4286,0.0,11.9048,30.9524,10.006,10.4845,18.9602,24.989,19.0374,2.2167,16.005,16.338,15.9409,15.9424,17.7125,22.1525,13.0934,20.1652,23.4,26.5644,26.0422,23.1569,1.5537,2.9559,4.2208,9.2371,16.9065,52.2514,1.2711,3.6483,6.1958,15.3915,24.8572,54.6204,78.3597,77.5814,79.138,78.5558,77.2122,79.8994,76.3466,80.1189,78.2327,76.5578,68.7328,84.3828,83.2069,74.5471,65.8874,71.8031,82.7429,60.8633,4.139,4.6283,4.8383,5.299,5.8371,7.2712,7.4013,39.1069,1.6289,0.3947,2.0236,37.4463,37.6243,5.4715,33.1254,72.6284,-60971959.9209,7105100.0
2005-12-07,77.68,276500.0,BIDU,77.953,78.4958,78.1213,77.1421,74.789,72.0526,77.8998,78.1758,78.2123,78.1036,76.6817,74.1604,77.7785,78.1273,78.6038,79.1168,78.1904,74.5125,78.2696,76.7041,76.7818,75.3637,72.5491,71.1728,38.4655,49.773,53.5072,54.6871,51.6238,44.7602,19.1506,21.9506,30.0121,27.0939,17.8697,10.4136,-1.22,-0.3,-0.78,8.18,5.08,10.48,-100.0,-101.9159,-53.3448,16.2309,48.8928,83.9948,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-23.0689,-0.454,7.0145,9.3743,3.2476,-10.4797,0.9845,0.9962,0.9901,1.1177,1.07,1.156,100.0,0.0,0.0,40.0,14.2857,0.0,50.0,0.0,66.6667,0.0,9.5238,28.5714,23.7692,3.8044,14.5964,23.158,18.0285,1.8847,15.7925,16.1826,15.8724,15.9119,17.6515,22.0853,9.7268,17.4626,21.2979,25.5027,25.4159,22.9338,1.3758,2.7047,3.9578,8.9173,16.4414,51.3473,0.8474,2.9187,5.3107,14.2921,23.6735,53.3199,77.953,77.5396,78.3664,78.4958,77.0332,79.9584,76.21,80.0326,78.1213,77.1421,70.3603,83.9238,83.5014,74.789,66.0767,72.0526,83.039,61.0662,3.7383,4.3032,4.5858,5.1581,5.7323,7.2124,7.5618,39.4927,1.6871,0.233,1.9201,31.4046,35.6089,5.7822,36.9442,72.9698,-61085522.4209,6828600.0
2005-12-08,77.22,265500.0,BIDU,77.6933,77.9958,78.2399,77.4306,75.0476,72.3329,77.5333,77.7505,77.987,78.114,76.9027,74.4007,77.3061,77.6306,78.1165,78.909,78.222,74.7286,78.0321,76.884,76.791,75.4051,72.6587,71.3025,30.6226,45.9076,51.0566,53.7007,51.0825,44.5815,29.7412,20.0004,26.2782,26.4903,17.7592,10.1912,-0.779,-2.5,0.83,4.04,5.43,11.77,-100.0,-122.8988,-116.6263,-12.474,32.6943,68.1685,-0.4322,-0.4322,-0.4322,-0.4322,-0.4322,-0.4322,-38.7549,-8.1849,2.1132,7.4015,2.1651,-10.8369,0.99,0.9686,1.0109,1.0552,1.0756,1.1798,100.0,0.0,100.0,20.0,0.0,42.8571,42.8571,14.2857,61.9048,23.8095,7.1429,26.1905,50.9222,12.1994,3.8748,18.6438,15.5485,1.0735,22.278,19.4244,18.0302,16.8435,18.1683,22.2515,7.2445,15.2004,19.4838,24.5633,24.8583,22.7344,1.7372,2.9838,4.2124,9.1003,16.4785,50.9447,0.5649,2.3349,4.552,13.2712,22.5462,52.0504,77.6933,76.9093,78.4774,77.9958,76.8811,79.1105,76.7075,79.7722,78.2399,77.4306,71.0138,83.8475,83.7108,75.0476,66.3845,72.3329,83.2314,61.4343,3.3661,3.9785,4.3222,5.0023,5.6145,7.144,7.7233,39.87,1.7058,0.0747,1.7805,24.5379,31.1296,5.9465,39.7645,73.3044,-61078851.5667,6563100.0
2005-12-09,75.84,310700.0,BIDU,76.9133,77.3838,77.9341,77.7821,75.3262,72.585,76.6067,77.0319,77.387,77.9019,76.9748,74.5638,76.1315,76.5975,77.1826,78.3794,78.0003,74.805,77.0579,76.5044,76.7165,75.4178,72.7412,71.3881,15.9698,35.5533,44.003,50.7437,49.4494,44.0414,42.8909,21.534,23.5739,25.5742,17.5224,9.9525,-2.34,-3.06,-2.14,4.92,5.85,10.59,-100.0,-120.2201,-135.5335,-56.1076,14.9154,51.9544,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-68.0604,-28.8934,-11.994,1.4874,-1.1012,-11.9171,0.9701,0.9612,0.9726,1.0694,1.0836,1.1623,100.0,0.0,100.0,0.0,100.0,28.5714,35.7143,7.1429,57.1429,19.0476,4.7619,23.8095,69.1903,27.6688,7.3484,13.6646,12.7869,0.1669,26.6562,22.204,20.0157,17.7516,18.6685,22.402,4.8541,12.5798,17.2754,23.3708,24.1428,22.477,2.0681,3.297,4.5207,9.3603,16.6038,50.6417,0.3766,1.8679,3.9018,12.3233,21.4726,50.8111,76.9133,75.3496,78.477,77.3838,75.708,79.0596,75.6479,80.2204,77.9341,77.7821,72.3697,83.1945,83.692,75.3262,66.9604,72.585,83.3049,61.8651,3.41,3.9158,4.2544,4.9706,5.6052,7.1812,7.8859,40.2297,1.6728,-0.1321,1.5408,14.9852,23.6426,5.6697,35.9944,73.6324,-61256047.6604,6252400.0
2005-12-12,75.87,234100.0,BIDU,76.31,76.958,77.3841,78.0871,75.5852,72.8771,76.085,76.5273,76.871,77.647,77.0242,74.7166,75.7874,76.0709,76.5865,77.9439,77.8045,74.8795,76.5601,76.3004,76.4044,75.4293,72.8168,71.4895,17.2608,35.9459,44.1985,50.8071,49.4863,44.0565,51.6574,22.761,21.256,24.7235,17.2969,9.7195,-1.81,-2.129,-3.85,4.2701,5.44,12.27,-59.3583,-85.4908,-101.2662,-85.5792,8.6302,46.801,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-65.4784,-28.1082,-11.603,1.6143,-1.0274,-11.887,0.9767,0.9727,0.9517,1.0596,1.0772,1.1929,66.6667,0.0,80.0,0.0,85.7143,14.2857,28.5714,0.0,52.381,14.2857,2.381,21.4286,69.1903,27.6688,7.3484,13.6646,12.7869,0.1669,19.2232,19.0043,18.1415,17.0549,18.2379,22.2008,3.5006,10.767,15.6578,22.4536,23.5859,22.2751,1.3788,2.6376,3.8749,8.6917,15.8131,49.436,0.2511,1.4944,3.3444,11.443,20.4501,49.6013,76.31,75.0228,77.5972,76.958,75.0571,78.8589,75.2326,79.5357,77.3841,78.0871,73.7228,82.4513,83.6604,75.5852,67.51,72.8771,83.2653,62.4889,3.1512,3.6586,4.0218,4.802,5.4617,7.0702,8.0494,40.5861,1.6058,-0.2681,1.3377,13.9489,17.824,4.7389,32.5524,73.9537,-61375438.6604,6486500.0
2005-12-13,74.18,584800.0,BIDU,75.2967,76.158,76.7099,78.0485,75.7819,73.1619,75.02,75.6013,76.07,77.126,76.8965,74.7772,74.4546,74.8756,75.4671,77.1593,77.3333,74.7957,75.5389,75.383,75.5569,75.4218,72.8402,71.5484,7.5105,25.1554,35.949,47.1262,47.44,43.3813,63.6639,28.5201,22.0288,23.2825,16.8401,9.5237,-3.04,-4.0,-4.72,-0.54,4.129,11.96,-100.0,-136.206,-139.6817,-157.4969,-25.8423,20.1932,-0.6786,-0.6786,-0.6786,-0.6786,-0.6786,-0.6786,-84.9789,-49.6891,-28.1021,-5.7476,-5.12,-13.2374,0.9606,0.9488,0.9402,0.9928,1.0589,1.1922,100.0,0.0,100.0,0.0,100.0,0.0,21.4286,0.0,47.619,9.5238,0.0,19.0476,87.6769,51.5565,26.6658,4.5498,7.7037,1.4939,36.3048,28.0299,24.0965,19.5729,19.6781,22.7166,2.3838,8.9595,13.9509,21.4388,22.963,22.0479,2.5492,3.7401,4.9513,9.7009,16.6901,49.8889,0.1674,1.1955,2.8666,10.6257,19.4763,48.4203,75.2967,73.7173,76.8761,76.158,73.7018,78.6142,73.9962,79.4235,76.7099,78.0485,73.5582,82.5388,83.5017,75.7819,68.062,73.1619,83.0075,63.3163,3.1552,3.5975,3.9571,4.7763,5.4639,7.131,8.2137,40.922,1.4904,-0.4617,1.0286,10.1351,13.023,3.3548,32.1546,89.7,-61735717.2318,5901700.0
2005-12-14,69.4,1312900.0,BIDU,73.15,74.502,75.4814,77.2564,75.7533,73.2126,72.0717,73.3487,74.2425,75.9729,76.3163,74.6023,70.4677,71.6115,72.6657,75.3274,76.0883,74.284,72.8558,72.7583,73.0469,74.748,72.8218,71.5348,2.2112,12.2036,22.247,38.6066,42.2514,41.5368,74.6541,38.4532,27.0742,22.8136,16.3009,9.4447,-6.44,-8.28,-8.599,-11.09,-0.6,2.13,-100.0,-159.6819,-194.1097,-248.759,-118.7235,-54.4242,0.0408,0.0408,0.0408,0.0408,0.0408,0.0408,-95.5776,-75.5928,-55.506,-22.7867,-15.4971,-16.9265,0.9151,0.8934,0.8898,0.8622,0.9914,1.0317,100.0,0.0,100.0,0.0,100.0,0.0,14.2857,100.0,42.8571,4.7619,0.0,16.6667,96.6344,78.1858,57.3462,16.7179,5.5178,6.2047,65.6471,49.0567,39.6458,26.9695,24.08,24.3681,1.1236,6.0057,10.7473,19.2436,21.5616,21.5209,6.5194,7.8121,9.064,13.8279,20.7153,53.5211,0.1116,0.9564,2.4571,9.8667,18.5488,47.2675,73.15,67.6701,78.6299,74.502,69.048,79.956,69.9216,81.0413,75.4814,77.2564,71.1473,83.3654,83.5625,75.7533,67.9441,73.2126,82.9577,63.4675,4.77,4.5892,4.7061,5.281,5.9224,7.6208,8.3787,41.2068,1.271,-0.8776,0.3934,8.1676,10.7505,2.5148,27.2183,89.5405,-62544892.3339,4588800.0
2005-12-15,68.85,431700.0,BIDU,70.81,72.828,74.1486,76.1906,75.7547,73.2662,69.9217,71.4647,72.5846,74.852,75.6887,74.3993,68.7916,69.6096,70.6452,73.7091,74.9086,73.7582,71.0755,71.0436,71.2031,73.4293,72.805,71.5175,1.9712,11.3622,21.1642,37.7607,41.7004,41.3296,82.0782,46.6462,31.6473,22.4896,15.8374,9.377,-7.02,-8.37,-9.33,-14.92,0.03,2.25,-59.1675,-90.3187,-123.9884,-201.3275,-131.6184,-65.9196,-0.6231,-0.6231,-0.6231,-0.6231,-0.6231,-0.6231,-96.0577,-77.2756,-57.6717,-24.4785,-16.5992,-17.3407,0.9075,0.8916,0.8807,0.8219,1.0004,1.0338,100.0,0.0,100.0,0.0,100.0,0.0,7.1429,100.0,38.0952,0.0,0.0,14.2857,96.9264,79.4181,59.0863,18.2779,6.5672,6.6034,55.3532,45.2805,37.9366,26.7342,24.0095,24.3381,0.8639,5.1943,9.7565,18.4715,21.0503,21.323,4.7663,6.6697,8.1891,13.2602,20.1489,52.6668,0.0744,0.7651,2.1061,9.1619,17.6655,46.1421,70.81,66.023,75.597,72.828,66.6487,79.0073,67.4573,80.8399,74.1486,76.1906,69.7996,82.5817,83.5588,75.7547,67.9506,73.2662,82.8893,63.6431,4.1688,4.2788,4.479,5.1494,5.8231,7.5676,8.5442,41.4832,0.9862,-1.1389,-0.1526,5.5066,7.9364,1.8281,24.931,89.1283,-62829076.756,4157100.0
