date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Down 3,Aroon Up 3,Aroon Up 5,Aroon Down 5,Aroon Up 7,Aroon Down 7,Aroon Up 14,Aroon Down 14,Aroon Up 21,Aroon Down 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Middle Band 3,Real Lower Band 3,Real Upper Band 3,Real Upper Band 5,Real Lower Band 5,Real Middle Band 5,Real Middle Band 7,Real Lower Band 7,Real Upper Band 7,Real Upper Band 14,Real Lower Band 14,Real Middle Band 14,Real Upper Band 21,Real Lower Band 21,Real Middle Band 21,Real Lower Band 42,Real Middle Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,MAMA,FAMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2004-01-01,0.0,0.0,CPR.MI,0.3208,0.3808,0.272,0.6074,0.7212,0.7998,0.1604,0.318,0.3063,0.4595,0.5811,0.7355,0.0418,0.1311,0.1741,0.2998,0.4138,0.6128,0.4202,0.2033,0.1878,0.2214,0.2487,0.5272,28.5413,32.9495,34.015,35.5411,37.1495,41.3617,52.4556,42.8738,35.5523,19.4825,12.5452,5.6259,-0.9413,0.0,-0.9475,-0.929,-0.9625,-0.925,-50.0,-55.5556,-46.6667,-93.3333,-140.0,-233.3333,0.0,0.0,0.0,0.0,0.0,0.0,-42.9173,-34.1009,-31.9701,-28.9179,-25.7009,-17.2766,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.3333,60.0,100.0,71.4286,100.0,21.4286,100.0,0.0,100.0,100.0,50.0,42.3525,33.4003,31.2963,28.3885,25.2159,16.7497,69.4699,64.5984,63.0636,60.3346,58.0707,53.3065,28.1328,32.2506,32.9994,33.653,34.6823,38.0111,0.712,1.0021,1.1875,1.5574,1.8291,2.6731,0.2883,0.5003,0.6214,0.8687,1.0924,1.9061,0.3208,-0.5866,1.2283,1.3135,-0.552,0.3808,0.272,-0.5881,1.1321,1.513,-0.2982,0.6074,1.5277,-0.0854,0.7212,0.1459,0.7998,1.4536,0.0,0.0,0.0,0.0,0.0,0.0,0.7833,0.651,-0.1731,-0.0699,-0.1032,54.9863,33.1868,-27.9525,34.0689,0.9667,21707223.5613,140818680.0
2004-01-02,0.9675,578120.0,CPR.MI,0.3225,0.5743,0.4102,0.6092,0.7217,0.8008,0.4838,0.5136,0.4802,0.5075,0.6035,0.7433,0.6999,0.5603,0.4863,0.4401,0.4931,0.6396,0.4226,0.2573,0.2429,0.2249,0.2518,0.5293,70.5772,62.564,59.0659,54.6065,53.0973,51.6192,48.9693,39.5327,33.2199,18.8228,12.2881,5.5887,0.005,0.9675,0.9675,0.025,0.01,0.045,100.0,56.5406,78.7431,54.2255,47.0654,47.3165,0.1266,0.1266,0.1266,0.1266,0.1266,0.1266,41.1545,25.1279,18.1317,9.213,6.1946,3.2384,1.0052,0.0,0.0,1.0265,1.0104,1.0488,66.6667,100.0,100.0,80.0,100.0,85.7143,100.0,92.8571,100.0,95.2381,97.619,47.619,41.9967,26.1685,19.2253,10.2474,7.1467,4.0625,28.7142,36.2628,39.3941,42.9554,43.8841,44.4925,70.2948,61.9684,58.1466,52.7641,50.6394,48.2607,0.4746,0.8017,1.0178,1.4461,1.742,2.6095,1.162,1.37,1.5024,1.7764,2.0101,2.8305,0.3225,-0.5897,1.2347,1.5122,-0.3637,0.5743,0.4102,-0.5372,1.3576,1.5175,-0.2992,0.6092,1.5288,-0.0854,0.7217,0.146,0.8008,1.4556,56.9504,45.7012,38.1505,24.8551,19.5374,14.4333,0.7852,0.6517,-0.1219,-0.0149,-0.107,44.1096,33.256,-27.8522,59.3588,0.0,22153620.017,141396800.0
2004-01-05,0.975,1888840.0,CPR.MI,0.6475,0.581,0.5495,0.6099,0.7224,0.824,0.81,0.6472,0.6214,0.5563,0.6265,0.7514,0.9369,0.8005,0.6952,0.5568,0.5639,0.6654,0.6681,0.2613,0.2951,0.2281,0.255,0.5438,70.7771,62.7235,59.2059,54.7183,53.194,51.6863,47.023,37.0425,31.3357,18.2566,12.07,5.5617,0.975,0.0337,0.975,0.0102,0.015,0.975,51.2174,57.2563,60.7257,56.2498,49.8475,52.6102,0.1064,0.1064,0.1064,0.1064,0.1064,0.1064,41.5542,25.447,18.4119,9.4367,6.3879,3.3726,0.0,1.0359,0.0,1.0106,1.0156,0.0,33.3333,100.0,100.0,60.0,100.0,71.4286,100.0,85.7143,100.0,90.4762,95.2381,100.0,43.1304,27.0814,20.0305,10.8951,7.7085,4.4539,28.1022,35.7773,38.9718,42.6281,43.6072,44.3068,70.7282,62.352,58.4948,53.0526,50.8916,48.4375,0.3164,0.6414,0.8724,1.3428,1.659,2.5474,0.7964,1.1177,1.3095,1.6712,1.9362,2.7848,0.6475,-0.2682,1.5632,1.5298,-0.3678,0.581,0.5495,-0.4024,1.5014,1.5194,-0.2996,0.6099,1.5304,-0.0856,0.7224,0.2171,0.824,1.431,38.4954,36.7721,32.8006,23.078,18.5811,14.0399,0.7871,0.6524,-0.0798,0.0218,-0.1015,44.1591,66.0346,-27.6194,59.0518,0.0,21390046.4,143285640.0
2004-01-06,0.9738,643400.0,CPR.MI,0.9721,0.5833,0.6886,0.6123,0.7233,0.8251,0.9731,0.7781,0.7275,0.6048,0.6493,0.7584,1.0048,0.9259,0.8297,0.6516,0.6257,0.6894,0.8033,0.2646,0.3434,0.2318,0.2583,0.5459,70.6571,62.6679,59.1666,54.6942,53.1748,51.6741,45.7255,35.0502,29.7207,17.7307,11.8623,5.5353,0.9738,0.0112,0.9738,0.0338,0.0188,0.0437,27.6596,55.9169,48.4037,55.1778,48.8119,50.804,-0.1136,-0.1136,-0.1136,-0.1136,-0.1136,-0.1136,41.3142,25.3357,18.3331,9.3883,6.3495,3.3481,0.0,1.0117,0.0,1.0359,1.0196,1.047,0.0,66.6667,80.0,40.0,85.7143,57.1429,92.8571,78.5714,95.2381,85.7143,92.8571,97.619,43.1304,27.0814,20.0305,10.8951,7.7085,4.4539,27.6964,35.5049,38.7496,42.4684,43.4752,44.2201,69.7067,61.8774,58.1614,52.8538,50.7376,48.3428,0.211,0.5131,0.7478,1.2469,1.58,2.4867,0.5309,0.8942,1.1224,1.5519,1.844,2.7185,0.9721,0.9655,0.9786,1.5357,-0.3692,0.5833,0.6886,-0.1827,1.5598,1.5255,-0.3009,0.6123,1.5323,-0.0858,0.7233,0.2172,0.8251,1.4329,26.0731,29.6813,28.3122,21.5378,17.7728,13.7501,0.7889,0.6531,-0.0459,0.0445,-0.0904,66.0206,98.7712,-27.4065,59.0836,0.0198,21331555.4909,142642240.0
2004-01-07,0.97,536760.0,CPR.MI,0.9729,0.7773,0.6927,0.6149,0.7247,0.8261,0.9721,0.907,0.7979,0.6525,0.6718,0.7652,1.0112,0.9849,0.9127,0.7275,0.6789,0.7115,0.809,0.5724,0.3467,0.2354,0.2617,0.5481,70.1221,62.4601,59.0292,54.6162,53.1144,51.6365,44.2886,33.3217,28.2724,17.2242,11.6551,5.5066,0.0025,0.97,0.0287,0.0363,0.03,0.0437,-97.2028,41.47,46.9449,54.0957,47.615,49.1495,0.0645,0.0645,0.0645,0.0645,0.0645,0.0645,40.2442,24.9202,18.0584,9.2324,6.2289,3.273,1.0026,0.0,1.0305,1.0388,1.0319,1.0472,0.0,33.3333,60.0,20.0,71.4286,42.8571,85.7143,71.4286,90.4762,80.9524,90.4762,95.2381,41.4149,26.4077,19.5829,10.6396,7.5106,4.3307,28.0226,35.5473,38.7493,42.4471,43.454,44.2046,67.6419,61.0588,57.6214,52.555,50.5114,48.2066,0.1466,0.4165,0.647,1.1639,1.5108,2.4335,0.354,0.7154,0.9621,1.441,1.7562,2.6538,0.9729,0.9687,0.9772,1.5545,-0.0,0.7773,0.6927,-0.1835,1.5689,1.5319,-0.3021,0.6149,1.5354,-0.086,0.7247,0.2174,0.8261,1.4348,17.9819,24.1565,24.5897,20.1908,17.068,13.5127,0.7907,0.6538,-0.0192,0.0569,-0.0762,87.6439,98.1257,-26.9876,50.261,0.0393,21296925.8135,142105480.0
2004-01-08,0.95,1449880.0,CPR.MI,0.9646,0.9673,0.6909,0.6154,0.7247,0.827,0.9606,0.9646,0.8622,0.6972,0.6923,0.7709,0.9875,0.9984,0.9543,0.7839,0.7218,0.7304,0.8717,0.7254,0.3495,0.2385,0.2645,0.55,66.1169,61.1094,58.1886,54.1726,52.7791,51.4322,41.596,31.5879,26.8746,16.7125,11.4369,5.4723,-0.025,0.95,-0.0125,0.0075,0.0,0.0357,-100.0,-100.551,45.0257,52.1032,45.2682,44.9686,-0.7339,-0.7339,-0.7339,-0.7339,-0.7339,-0.7339,32.2338,22.2189,16.3772,8.3452,5.5583,2.8643,0.9744,0.0,0.987,1.008,1.0,1.0391,100.0,0.0,40.0,0.0,57.1429,28.5714,78.5714,64.2857,85.7143,76.1905,88.0952,92.8571,36.2109,24.6524,18.4875,10.0595,7.0719,4.0635,29.3823,35.8649,38.8995,42.4931,43.4812,44.2176,62.741,59.3337,56.5447,51.9985,50.0991,47.9634,0.1105,0.3459,0.5673,1.0935,1.4516,2.3883,0.236,0.5723,0.8246,1.3381,1.6725,2.5906,0.9646,0.9437,0.9854,0.9853,0.9492,0.9673,0.6909,-0.1832,1.5649,1.5332,-0.3023,0.6154,1.5354,-0.086,0.7247,0.2177,0.827,1.4363,13.1964,20.3057,21.9304,19.3482,16.7341,13.5369,0.7923,0.6544,0.0003,0.0612,-0.0609,87.4147,65.3471,-26.9148,49.4778,0.0583,19847045.8135,140655600.0
2004-01-09,0.947,929480.0,CPR.MI,0.9557,0.9632,0.8262,0.6168,0.7246,0.8277,0.9518,0.9578,0.9262,0.7414,0.7125,0.7765,0.9699,0.9973,0.976,0.8285,0.7586,0.7477,0.9052,0.763,0.589,0.2417,0.2674,0.5519,65.278,60.8627,58.0439,54.1016,52.7267,51.4009,38.0074,29.8825,25.5427,16.2043,11.2128,5.4339,-0.0268,-0.0205,0.947,0.0182,-0.003,0.0287,-99.7525,-120.8054,33.9774,50.1088,43.0189,40.9214,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,30.556,21.7253,16.0879,8.2032,5.4534,2.8018,0.9725,0.9788,0.0,1.0197,0.9968,1.0313,100.0,0.0,20.0,100.0,42.8571,14.2857,71.4286,57.1429,80.9524,71.4286,85.7143,90.4762,30.83,23.0609,17.5515,9.5984,6.7311,3.8605,31.2107,36.3541,39.166,42.6098,43.5642,44.2656,59.0328,58.1468,55.8412,51.658,49.8521,47.8206,0.0832,0.2862,0.4958,1.0249,1.392,2.3409,0.1573,0.4578,0.7068,1.2425,1.5929,2.5289,0.9557,0.9352,0.9761,0.9874,0.9389,0.9632,0.8262,0.1513,1.5011,1.5364,-0.3029,0.6168,1.5351,-0.086,0.7246,0.2179,0.8277,1.4374,9.3799,16.6286,19.0946,18.1419,16.0669,13.2961,0.7939,0.6551,0.0154,0.061,-0.0456,66.7772,36.8589,-16.6022,74.7879,0.077,19684755.6548,139726120.0
2004-01-12,0.9575,1476680.0,CPR.MI,0.9515,0.9597,0.963,0.6175,0.7259,0.8285,0.9528,0.9559,0.959,0.7868,0.7336,0.7825,0.9677,0.9971,0.9911,0.8667,0.7925,0.7648,0.9095,0.7853,0.7368,0.2448,0.2707,0.5539,67.4465,61.5421,58.4655,54.3272,52.8986,51.5066,35.7933,28.5504,24.4154,15.7363,11.0013,5.397,-0.0125,-0.0175,0.9575,0.01,0.0285,0.0363,-5.7971,-58.0083,-77.4001,50.6349,43.8042,42.3478,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,34.893,23.0842,16.9311,8.6544,5.7973,3.0131,0.9871,0.9821,0.0,1.0106,1.0307,1.0393,66.6667,0.0,0.0,80.0,28.5714,0.0,64.2857,50.0,76.1905,66.6667,83.3333,88.0952,31.3652,23.2221,17.6514,9.652,6.7721,3.8858,29.0065,35.5913,38.6846,42.3538,43.3718,44.1501,55.5176,57.1211,55.2687,51.4033,49.6729,47.72,0.0554,0.229,0.4249,0.9517,1.3257,2.2852,0.1061,0.3675,0.6071,1.155,1.5183,2.47,0.9515,0.9427,0.9603,0.9809,0.9384,0.9597,0.963,0.9418,0.9841,1.5381,-0.3032,0.6175,1.5379,-0.0861,0.7259,0.2181,0.8285,1.4389,6.6547,13.439,16.3888,16.762,15.2011,12.8708,0.7955,0.6558,0.0279,0.0588,-0.0309,40.2972,18.6857,-6.2023,74.8229,0.0953,21161435.6548,141202800.0
2004-01-13,0.9513,1073800.0,CPR.MI,0.9519,0.9552,0.9606,0.6854,0.7263,0.8295,0.9526,0.9531,0.9561,0.8313,0.7541,0.7882,0.9599,0.9891,0.9947,0.8954,0.8207,0.7802,0.91,0.8088,0.7504,0.2922,0.2736,0.5558,63.8842,60.7573,58.0604,54.1566,52.7787,51.4384,34.3173,27.4848,23.4491,15.3017,10.7999,5.361,0.0013,-0.0225,-0.0162,0.9513,0.0088,0.0405,36.6071,-43.9932,-63.9637,45.3058,43.479,41.7127,-0.641,-0.641,-0.641,-0.641,-0.641,-0.641,27.7684,21.5146,16.1208,8.3131,5.5573,2.8767,1.0013,0.9769,0.9832,0.0,1.0093,1.0445,33.3333,0.0,0.0,60.0,14.2857,71.4286,57.1429,42.8571,71.4286,61.9048,80.9524,85.7143,31.3652,23.2221,17.6514,9.652,6.7721,3.8858,26.9449,34.9296,38.2881,42.1568,43.227,44.0651,51.5719,56.0592,54.7022,51.1642,49.507,47.6281,0.037,0.1832,0.3642,0.8837,1.2626,2.2308,0.0707,0.294,0.5204,1.0725,1.446,2.4112,0.9519,0.9433,0.9605,0.9715,0.9388,0.9552,0.9606,0.9384,0.9828,1.5526,-0.1818,0.6854,1.5388,-0.0861,0.7263,0.2185,0.8295,1.4405,4.8072,11.0268,14.2862,15.7402,14.6212,12.6713,0.7971,0.6565,0.0368,0.0542,-0.0174,27.9075,28.178,4.1388,46.9408,0.1132,20858568.9881,140129000.0
2004-01-14,0.9563,488760.0,CPR.MI,0.955,0.9524,0.958,0.7537,0.7259,0.8306,0.9548,0.9535,0.955,0.8674,0.775,0.7941,0.9595,0.9841,0.9962,0.9192,0.846,0.7951,0.9147,0.8179,0.7679,0.337,0.2766,0.5579,66.0368,61.2514,58.3299,54.2803,52.8685,51.491,29.0678,26.1419,22.4508,14.8649,10.5929,5.3217,0.0093,-0.0137,-0.0187,0.9563,-0.0085,0.048,-100.0,-35.5666,-56.979,40.7514,43.3585,41.0049,0.5,0.5,0.5,0.5,0.5,0.5,32.0736,22.5029,16.6598,8.5605,5.7369,2.982,1.0098,0.9858,0.9808,0.0,0.9912,1.0528,100.0,100.0,0.0,100.0,0.0,100.0,50.0,35.7143,66.6667,57.1429,78.5714,83.3333,18.5688,20.7704,16.461,9.1862,6.4523,3.7084,29.7301,35.3042,38.4142,42.1758,43.2336,44.0659,43.2888,53.8146,53.5529,50.7083,49.1975,47.46,0.0324,0.1543,0.3199,0.8283,1.2102,2.1854,0.0472,0.2352,0.446,0.9959,1.3771,2.3538,0.955,0.9496,0.9604,0.9603,0.9445,0.9524,0.958,0.9391,0.9769,1.5412,-0.0337,0.7537,1.5379,-0.086,0.7259,0.2188,0.8306,1.4424,3.7981,9.1414,12.4428,14.6702,13.9393,12.3485,0.7987,0.6573,0.0438,0.049,-0.0051,28.4449,38.471,4.2168,52.7741,0.1308,21277506.1309,140617760.0
