date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Up 5,Aroon Down 5,Aroon Down 7,Aroon Up 7,Aroon Up 14,Aroon Down 14,Aroon Up 21,Aroon Down 21,Aroon Up 42,Aroon Down 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Upper Band 3,Real Middle Band 3,Real Lower Band 3,Real Middle Band 5,Real Lower Band 5,Real Upper Band 5,Real Middle Band 7,Real Upper Band 7,Real Lower Band 7,Real Middle Band 14,Real Lower Band 14,Real Upper Band 14,Real Middle Band 21,Real Upper Band 21,Real Lower Band 21,Real Upper Band 42,Real Lower Band 42,Real Middle Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,MAMA,FAMA,MACD_Signal,MACD_Hist,MACD,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2011-10-27,3.34,5588565.0,DIA.MC,3.3467,3.3362,3.3071,3.2848,3.2064,3.0628,3.3467,3.3407,3.3276,3.3021,3.268,3.1445,3.3494,3.3528,3.3557,3.3648,3.3477,3.2576,3.304,3.2552,3.2021,3.1905,3.1268,3.0886,60.4409,64.265,65.0048,63.5626,60.9588,54.1555,29.1177,30.0239,38.5937,33.6211,23.6602,7.8712,0.03,0.108,0.09,0.124,0.389,0.53,28.3133,64.8831,74.3875,102.6835,83.0368,117.9167,-0.4839,-0.4839,-0.4839,-0.4839,-0.4839,-0.4839,20.8818,28.53,30.0096,27.1251,21.9176,8.311,1.0091,1.0334,1.0277,1.0386,1.1318,1.1886,100.0,33.3333,100.0,0.0,14.2857,100.0,100.0,0.0,100.0,19.0476,100.0,0.0,33.0231,5.9085,10.5062,26.6674,25.3884,12.438,20.9646,17.8799,15.9815,14.4561,15.1946,18.2816,10.5556,15.8849,19.7338,24.97,25.5352,23.4754,0.0605,0.0862,0.1106,0.2179,0.3678,1.0183,0.0305,0.0766,0.1366,0.3764,0.6181,1.3076,3.3655,3.3467,3.3278,3.3362,3.3038,3.3686,3.3071,3.4031,3.2112,3.2848,3.1881,3.3815,3.2064,3.4664,2.9465,3.4169,2.7088,3.0628,2.881,2.8862,2.9609,3.226,3.4637,4.0155,1.5376,0.2687,0.0938,0.0039,0.0977,82.0537,82.7329,4.8732,55.1248,3.1279,-106061324.1796,-132154273.0
2011-10-28,3.33,6739663.0,DIA.MC,3.3433,3.336,3.3204,3.2874,3.2187,3.0707,3.3383,3.3387,3.3334,3.3082,3.2793,3.1569,3.3373,3.3456,3.352,3.3679,3.3558,3.2699,3.3049,3.2555,3.2167,3.1921,3.1363,3.0947,51.1853,59.8035,62.2857,62.5449,60.3733,53.9291,30.4195,25.2008,34.5812,33.1244,23.7425,7.98,-0.01,-0.001,0.093,0.036,0.257,0.33,-40.0,43.1177,65.7396,90.9969,80.5167,110.3123,-0.5217,-0.5217,-0.5217,-0.5217,-0.5217,-0.5217,2.3706,19.607,24.5714,25.0899,20.7467,7.8581,0.997,0.9997,1.0287,1.0109,1.0836,1.11,66.6667,0.0,80.0,0.0,0.0,85.7143,92.8571,0.0,95.2381,14.2857,97.619,42.8571,33.0231,5.9085,10.5062,26.6674,25.3884,12.438,15.4318,15.166,14.3166,13.7769,14.753,18.0525,7.7699,13.4738,17.6781,23.7969,24.7931,23.1812,0.0403,0.0689,0.0948,0.2023,0.3503,0.9941,0.0203,0.0613,0.1171,0.3495,0.5887,1.2765,3.3683,3.3433,3.3184,3.336,3.3035,3.3685,3.3204,3.3978,3.2431,3.2874,3.188,3.3868,3.2187,3.4765,2.9608,3.4334,2.708,3.0707,2.6171,2.7303,2.8415,3.1526,3.4074,3.981,1.5555,0.2751,0.094,0.0006,0.0945,78.8416,70.942,4.4593,52.1377,3.1551,-108893936.1651,-138893936.0
2011-10-31,3.305,3833237.0,DIA.MC,3.325,3.335,3.3309,3.2949,3.2345,3.0789,3.3192,3.3283,3.3295,3.3105,3.2871,3.1678,3.3137,3.3267,3.3375,3.3633,3.358,3.279,3.3049,3.256,3.2226,3.1972,3.1492,3.1004,32.514,49.1422,55.5131,59.9604,58.8887,53.3577,40.6111,25.4408,30.3135,32.1786,23.6333,8.0515,-0.055,-0.005,0.073,0.105,0.333,0.345,-100.0,-64.6178,-25.043,49.5625,67.021,96.6492,-0.0515,-0.0515,-0.0515,-0.0515,-0.0515,-0.0515,-34.972,-1.7156,11.0262,19.9208,17.7774,6.7153,0.9836,0.9985,1.0226,1.0328,1.112,1.1166,33.3333,33.3333,60.0,20.0,0.0,71.4286,85.7143,7.1429,90.4762,9.5238,95.2381,40.4762,60.9943,26.4008,4.7074,19.8829,21.4499,10.9859,20.6036,18.2678,16.5902,14.8473,15.3759,18.2625,4.9918,10.6367,15.0984,22.2167,23.7734,22.7703,0.0559,0.0842,0.1103,0.2169,0.3626,0.9994,0.0135,0.049,0.1004,0.3245,0.5607,1.2461,3.3544,3.325,3.2956,3.335,3.2992,3.3708,3.3309,3.3657,3.296,3.2949,3.2079,3.3818,3.2345,3.4697,2.9993,3.4468,2.711,3.0789,2.7363,2.7877,2.8733,3.1592,3.4094,3.9855,1.573,0.2816,0.093,-0.004,0.089,68.2915,51.1994,3.9603,54.4963,3.1796,-110830313.6187,-142727173.0
2011-11-01,3.199,5813825.0,DIA.MC,3.278,3.3068,3.312,3.2919,3.2477,3.085,3.2562,3.283,3.2965,3.2977,3.2839,3.1734,3.2261,3.257,3.281,3.3324,3.341,3.2777,3.2578,3.2398,3.2187,3.1972,3.1519,3.1022,9.7934,25.268,36.0972,50.4426,53.0779,51.0102,56.8095,33.461,32.1179,30.121,22.8298,7.9832,-0.141,-0.141,-0.132,-0.041,0.277,0.257,-100.0,-166.6667,-233.3333,-138.2716,-22.7223,53.6243,-0.4071,-0.4071,-0.4071,-0.4071,-0.4071,-0.4071,-80.4132,-49.4641,-27.8055,0.8853,6.1557,2.0203,0.9578,0.9578,0.9604,0.9873,1.0948,1.0874,0.0,100.0,40.0,100.0,100.0,57.1429,78.5714,100.0,85.7143,4.7619,92.8571,38.0952,89.2063,65.5418,42.9441,3.3728,6.7591,5.18,48.5675,36.6718,30.1531,21.4724,19.504,19.985,2.7706,7.6334,12.0355,20.0712,22.3317,22.1686,0.1583,0.1883,0.2155,0.3224,0.4664,1.0966,0.009,0.0392,0.086,0.3014,0.534,1.2164,3.3916,3.278,3.1644,3.3068,3.1933,3.4203,3.312,3.4106,3.2134,3.2919,3.1955,3.3883,3.2477,3.4381,3.0573,3.4521,2.7179,3.085,3.3955,3.2106,3.192,3.3545,3.5705,4.1274,1.5893,0.2881,0.0894,-0.0143,0.0752,52.0979,34.1523,3.1835,46.6814,3.4,-113405007.5473,-148540998.0
2011-11-02,3.255,5096244.0,DIA.MC,3.253,3.2858,3.3041,3.2926,3.2606,3.0932,3.2447,3.2657,3.2823,3.2928,3.2845,3.1813,3.2394,3.2507,3.2686,3.3208,3.3355,3.2815,3.2576,3.2417,3.22,3.1975,3.1572,3.106,41.9431,43.4201,47.4298,54.5475,55.5129,52.1495,53.891,35.059,31.4777,28.1037,22.2045,7.947,-0.075,-0.105,-0.055,0.009,0.271,0.343,-17.7291,-57.1705,-85.5884,-74.312,-2.7303,64.4039,0.06,0.06,0.06,0.06,0.06,0.06,-16.1138,-13.1597,-5.1403,9.0949,11.0259,4.2989,0.9775,0.9688,0.9834,1.0028,1.0908,1.1178,0.0,66.6667,20.0,80.0,85.7143,42.8571,71.4286,92.8571,80.9524,0.0,90.4762,35.7143,48.054,41.451,27.6361,1.8788,9.6976,6.4642,28.7302,26.8635,24.2226,19.3866,18.2986,19.4406,10.0802,11.1193,13.7331,20.129,22.2288,22.1277,0.1055,0.1507,0.1847,0.2994,0.4441,1.0705,0.037,0.0624,0.1047,0.3108,0.5395,1.2185,3.3396,3.253,3.1664,3.2858,3.1809,3.3907,3.3041,3.4106,3.1977,3.2926,3.1973,3.3879,3.2606,3.4101,3.1111,3.4598,2.7266,3.0932,3.7608,3.446,3.3472,3.3905,3.5614,4.0696,1.6059,0.2947,0.0851,-0.0172,0.0679,38.4857,30.1054,2.6201,48.6237,3.3976,-113472957.4673,-143444754.0
2011-11-03,3.25,5698579.0,DIA.MC,3.2347,3.2678,3.2913,3.2898,3.2708,3.1008,3.2432,3.2538,3.2687,3.2871,3.2836,3.1886,3.2429,3.2456,3.2586,3.3096,3.3294,3.2844,3.2571,3.2426,3.2225,3.1982,3.161,3.1093,40.0323,42.2741,46.5695,54.1165,55.2442,52.0388,51.9454,36.3374,30.9289,26.2305,21.6089,7.9117,-0.055,-0.09,-0.09,-0.039,0.214,0.318,55.3571,-33.2902,-57.4001,-60.6415,-16.359,62.332,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,-19.9355,-15.4517,-6.8609,8.2329,10.4883,4.0776,0.9834,0.9731,0.9731,0.9881,1.0705,1.1085,0.0,33.3333,0.0,60.0,71.4286,28.5714,64.2857,85.7143,76.1905,0.0,88.0952,33.3333,48.054,41.451,27.6361,1.8788,9.6976,6.4642,19.123,21.0836,20.3867,17.855,17.3742,19.0057,6.7095,8.7268,11.5583,18.5388,21.1058,21.6327,0.0703,0.1205,0.1583,0.278,0.423,1.045,0.0247,0.0499,0.0898,0.2886,0.5138,1.1895,3.2853,3.2347,3.1841,3.2678,3.1763,3.3593,3.2913,3.399,3.1835,3.2898,3.192,3.3876,3.2708,3.3819,3.1597,3.4669,2.7346,3.1008,3.7726,3.5179,3.4141,3.4235,3.5773,4.0689,1.6224,0.3014,0.0803,-0.0192,0.0611,32.1891,32.3097,2.2534,44.7225,3.3952,-114631205.2315,-149143333.0
2011-11-04,3.218,4951976.0,DIA.MC,3.241,3.2454,3.271,3.2826,3.2743,3.106,3.2348,3.2372,3.2504,3.2776,3.2788,3.194,3.2215,3.2261,3.2384,3.2922,3.3182,3.284,3.2557,3.2393,3.2218,3.1988,3.1617,3.111,27.8514,34.9042,41.0149,51.3215,53.5034,51.3246,53.2102,38.2344,30.9669,24.3717,20.9781,7.8645,0.019,-0.112,-0.142,-0.1,0.073,0.221,-100.0,-59.0606,-68.317,-85.2695,-67.9169,50.9687,-0.3028,-0.3028,-0.3028,-0.3028,-0.3028,-0.3028,-44.2973,-30.1916,-17.9702,2.643,7.0067,2.6491,1.0059,0.9664,0.9577,0.9699,1.0232,1.0737,33.3333,0.0,0.0,40.0,57.1429,14.2857,57.1429,78.5714,71.4286,0.0,85.7143,30.9524,55.7398,45.8223,31.1949,0.2075,8.3616,5.93,16.3439,18.968,18.9383,17.3107,17.0472,18.8283,4.6448,7.0472,9.9322,17.239,20.1582,21.2021,0.0579,0.1074,0.1467,0.2691,0.4139,1.0311,0.0165,0.0399,0.0769,0.268,0.4894,1.1611,3.2738,3.241,3.2082,3.2454,3.1729,3.3179,3.271,3.3727,3.1693,3.2826,3.1797,3.3856,3.2743,3.3733,3.1752,3.4724,2.7397,3.106,3.6691,3.5198,3.4394,3.4525,3.6021,4.0922,1.6383,0.308,0.0748,-0.0222,0.0525,32.7256,35.7616,2.0274,40.8678,3.3929,-117039046.7728,-154095309.0
2011-11-07,3.2,4233313.0,DIA.MC,3.2227,3.2244,3.251,3.2791,3.2735,3.1112,3.2143,3.2221,3.2327,3.2666,3.272,3.1984,3.2018,3.2065,3.2179,3.2733,3.3049,3.2819,3.2309,3.2343,3.2183,3.1989,3.1619,3.1124,22.1617,31.0928,38.0375,49.7646,52.5258,50.9218,63.3726,44.292,34.0187,23.6836,20.045,7.7221,-0.055,-0.105,-0.14,-0.05,-0.016,0.217,-100.0,-146.2106,-138.0017,-159.6147,-173.6361,23.8465,0.1919,0.1919,0.1919,0.1919,0.1919,0.1919,-55.6766,-37.8144,-23.925,-0.4708,5.0516,1.8437,0.9831,0.9682,0.9581,0.9846,0.995,1.0727,0.0,100.0,0.0,100.0,100.0,0.0,50.0,100.0,66.6667,100.0,83.3333,28.5714,83.6976,68.5226,52.3296,14.7377,1.383,1.8834,35.3993,30.1975,27.1228,21.5146,19.7579,19.9956,3.1415,5.6404,8.4879,15.9876,19.2189,20.7633,0.1236,0.1709,0.2108,0.3349,0.4791,1.0916,0.011,0.0319,0.066,0.2489,0.4661,1.1335,3.264,3.2227,3.1813,3.2244,3.1765,3.2723,3.251,3.3453,3.1567,3.2791,3.1686,3.3895,3.2735,3.3746,3.1725,3.4766,2.7458,3.1112,3.6369,3.5379,3.4691,3.4761,3.618,4.1013,1.6539,0.3148,0.0685,-0.0248,0.0437,34.8834,36.5789,1.6681,44.6337,3.3905,-113147819.6718,-158328622.0
2011-11-08,3.218,4950427.0,DIA.MC,3.212,3.2282,3.235,3.2777,3.2699,3.1173,3.212,3.2199,3.2244,3.2584,3.267,3.2034,3.2099,3.207,3.2131,3.2624,3.2962,3.2814,3.2294,3.234,3.2183,3.199,3.1628,3.1144,40.4191,39.3686,42.8755,51.3539,53.4194,51.3132,44.3191,37.464,30.8439,22.0614,19.4456,7.6721,-0.032,0.019,-0.112,-0.019,-0.076,0.255,51.1278,14.8068,-12.4431,-62.2816,-61.7938,47.9171,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,-19.1619,-21.2627,-14.249,2.7078,6.8388,2.6264,0.9902,1.0059,0.9664,0.9941,0.9769,1.0861,0.0,66.6667,20.0,80.0,85.7143,0.0,42.8571,92.8571,61.9048,95.2381,80.9524,26.1905,6.2122,10.1522,11.7951,0.9729,7.4579,5.6202,25.5285,25.191,23.8942,20.2535,19.0169,19.6635,28.9104,20.5475,18.8522,20.6514,22.082,22.0054,0.0824,0.1367,0.1807,0.311,0.4563,1.0656,0.0933,0.1115,0.1425,0.3171,0.5299,1.1925,3.229,3.212,3.195,3.2282,3.1863,3.2701,3.235,3.3052,3.1648,3.2777,3.1648,3.3906,3.2699,3.3732,3.1666,3.4811,2.7535,3.1173,3.3433,3.3738,3.3564,3.4096,3.5596,4.0478,1.6696,0.3215,0.0624,-0.0246,0.0378,37.2958,39.547,1.021,43.0194,3.3848,-116298091.399,-153378195.0
2011-11-09,3.133,3674269.0,DIA.MC,3.1837,3.2038,3.2104,3.2706,3.2667,3.1226,3.1725,3.1882,3.1989,3.2391,3.2545,3.2041,3.1502,3.1613,3.1736,3.2322,3.2737,3.2732,3.2065,3.2057,3.2054,3.197,3.1624,3.1147,15.187,23.037,29.9795,44.2367,48.8592,49.4074,42.6629,37.5185,31.1605,21.3617,18.6028,7.5267,-0.085,-0.122,-0.172,-0.099,-0.067,0.224,-54.3478,-86.9937,-120.5082,-135.1885,-159.6669,18.016,-0.5735,-0.5735,-0.5735,-0.5735,-0.5735,-0.5735,-69.6261,-53.926,-40.0409,-11.5266,-2.2816,-1.1851,0.9736,0.9625,0.948,0.9694,0.9791,1.077,0.0,33.3333,0.0,60.0,71.4286,0.0,35.7143,85.7143,57.1429,90.4762,78.5714,23.8095,39.3503,37.7365,33.0598,12.2652,1.7476,1.5655,40.7008,34.6145,30.9733,24.1244,21.5831,20.7925,17.7143,15.6474,15.5822,18.8531,20.8417,21.4539,0.1429,0.1974,0.2428,0.3768,0.5226,1.1282,0.0622,0.0892,0.1222,0.2944,0.5046,1.1641,3.2568,3.1837,3.1105,3.2038,3.126,3.2816,3.2104,3.2856,3.1352,3.2706,3.1367,3.4046,3.2667,3.3819,3.1515,3.4806,2.7646,3.1226,3.7363,3.6405,3.5751,3.562,3.6888,4.162,1.6842,0.3284,0.0551,-0.0292,0.0259,37.0221,34.9403,0.389,41.65,3.3792,-118945726.4137,-157052464.0
