date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Up 5,Aroon Down 5,Aroon Up 7,Aroon Down 7,Aroon Up 14,Aroon Down 14,Aroon Down 21,Aroon Up 21,Aroon Up 42,Aroon Down 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Upper Band 3,Real Lower Band 3,Real Middle Band 3,Real Upper Band 5,Real Lower Band 5,Real Middle Band 5,Real Upper Band 7,Real Middle Band 7,Real Lower Band 7,Real Upper Band 14,Real Lower Band 14,Real Middle Band 14,Real Upper Band 21,Real Middle Band 21,Real Lower Band 21,Real Upper Band 42,Real Middle Band 42,Real Lower Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD_Signal,MACD_Hist,MACD,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2007-11-14,13.29,19500.0,DIA.MI,13.15,13.202,13.2514,13.4221,13.54,13.2936,13.195,13.18,13.2061,13.3013,13.3989,13.4785,13.2278,13.174,13.1523,13.24,13.4284,13.7804,13.3983,13.471,13.6081,13.7421,13.7216,13.4351,60.4118,50.1421,47.5276,49.0145,51.2212,52.0562,46.739,34.8838,29.0234,16.7713,13.2637,6.9288,0.22,-0.01,-0.16,-0.46,-0.68,1.64,100.0,45.614,4.0636,-49.9729,-75.2367,0.4606,-0.0526,-0.0526,-0.0526,-0.0526,-0.0526,-0.0526,20.8237,0.2842,-4.9447,-1.9711,2.4425,4.1124,1.0168,0.9992,0.9881,0.9665,0.9513,1.1408,0.0,66.6667,0.0,80.0,14.2857,85.7143,14.2857,92.8571,95.2381,9.5238,54.7619,0.0,15.8854,8.1407,14.6091,11.4213,6.9123,5.4287,16.8294,19.326,20.3674,20.9605,20.9535,21.6714,23.186,16.4163,15.175,16.6634,18.2441,19.4397,0.1958,0.4052,0.6058,1.2168,1.7733,3.4556,0.2698,0.3442,0.4514,0.9673,1.544,3.0997,13.3709,12.9291,13.15,13.5427,12.8613,13.202,13.5887,13.2514,12.9141,13.9835,12.8608,13.4221,14.178,13.54,12.902,14.5227,13.2936,12.0644,2.9182,3.155,3.1972,3.121,3.0382,2.8787,1.1338,6.5606,0.0788,-0.0918,-0.0129,29.8911,40.5089,-1.9888,40.1859,13.8539,-3257634.4209,5308755.0
2007-11-15,13.14,8600.0,DIA.MI,13.19,13.132,13.2071,13.3664,13.4976,13.3231,13.19,13.1593,13.1782,13.2637,13.3626,13.4714,13.1655,13.1441,13.1279,13.2019,13.383,13.7487,13.3838,13.441,13.5862,13.7086,13.701,13.4266,41.1274,41.3223,41.8049,46.1029,49.1398,50.9327,37.8717,33.0134,28.5967,16.7977,13.1494,6.9413,0.12,-0.35,-0.31,-0.78,-0.89,1.24,0.0,2.0387,-38.9716,-81.3897,-103.8245,-22.607,-0.5909,-0.5909,-0.5909,-0.5909,-0.5909,-0.5909,-17.7452,-17.3555,-16.3902,-7.7943,-1.7203,1.8655,1.0092,0.9741,0.977,0.944,0.9366,1.1042,66.6667,33.3333,0.0,60.0,0.0,71.4286,7.1429,85.7143,90.4762,4.7619,52.381,0.0,20.1371,25.5317,26.0365,17.1412,10.8624,7.4534,26.9016,24.3359,23.719,22.5937,22.061,22.2422,17.8832,14.4366,13.9193,15.9815,17.7379,19.1566,0.2705,0.4641,0.6593,1.2698,1.8288,3.5133,0.1798,0.2753,0.3869,0.8982,1.4704,3.0259,13.3314,13.0486,13.19,13.3142,12.9498,13.132,13.5079,13.2071,12.9063,13.8711,12.8618,13.3664,14.1178,13.4976,12.8775,14.474,13.3231,12.1721,2.5511,2.9029,3.0218,3.0562,3.0099,2.8839,1.1613,6.6264,0.0576,-0.085,-0.0273,36.0475,47.5886,-2.0183,40.3749,13.8118,-3259979.8754,5300155.0
2007-11-16,13.12,29000.0,DIA.MI,13.1833,13.142,13.1814,13.3107,13.4471,13.3545,13.155,13.1553,13.1564,13.2309,13.3282,13.462,13.1286,13.1193,13.1061,13.1673,13.34,13.7167,13.3811,13.4359,13.5738,13.6758,13.6737,13.417,38.6593,40.1454,41.0363,45.713,48.8619,50.783,43.2173,35.5544,30.3126,17.4053,13.3182,7.0269,-0.02,0.05,-0.18,-0.78,-1.06,1.32,-100.0,-66.3673,-83.2374,-111.7493,-129.0758,-48.533,0.25,0.25,0.25,0.25,0.25,0.25,-22.6814,-19.7093,-17.9274,-8.5741,-2.2763,1.5661,0.9985,1.0038,0.9865,0.9439,0.9252,1.1119,33.3333,0.0,0.0,40.0,0.0,57.1429,0.0,78.5714,85.7143,0.0,50.0,0.0,53.9086,45.7182,40.608,25.3039,16.695,10.5366,41.2554,32.3868,29.2678,25.3519,23.9379,23.2172,12.3548,12.0645,12.3625,15.1127,17.0886,18.791,0.4004,0.5913,0.7851,1.3991,1.9617,3.6497,0.1199,0.2203,0.3316,0.8341,1.4004,2.9539,13.3351,13.0316,13.1833,13.3147,12.9693,13.142,13.4768,13.1814,12.886,13.7329,12.8885,13.3107,14.0065,13.4471,12.8878,14.4051,13.3545,12.3039,2.4656,2.7832,2.9207,3.0055,2.9798,2.874,1.1889,6.6913,0.0381,-0.078,-0.0399,47.2785,53.7379,-2.2196,48.8253,13.7713,-3230979.8754,5271155.0
2007-11-19,12.63,37500.0,DIA.MI,12.9633,13.064,13.0586,13.245,13.3867,13.3702,12.8783,12.9847,13.0186,13.1401,13.2539,13.4283,12.7497,12.8361,12.8804,13.0184,13.2176,13.6418,13.0473,13.3549,13.3957,13.6068,13.6147,13.406,12.0605,21.4425,26.8997,37.3733,42.6547,47.2945,52.7441,40.3348,33.369,18.4813,13.734,7.1807,-0.66,-0.39,-0.86,-0.92,-1.27,0.66,-100.0,-133.3333,-159.1731,-165.8799,-172.7715,-91.7214,-0.9804,-0.9804,-0.9804,-0.9804,-0.9804,-0.9804,-75.8789,-57.1151,-46.2005,-25.2535,-14.6905,-5.4111,0.9503,0.97,0.9362,0.9321,0.9086,1.0551,0.0,100.0,40.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,47.619,0.0,71.7975,59.4562,51.7078,32.4684,22.0506,13.489,42.0849,35.1691,31.7858,26.9616,25.1155,23.858,6.9087,8.9422,10.1182,13.7449,16.0404,18.1866,0.4869,0.693,0.8929,1.5192,2.0883,3.7828,0.0799,0.1762,0.2842,0.7745,1.3337,2.8835,13.435,12.4916,12.9633,13.5149,12.6131,13.064,13.441,13.0586,12.6762,13.7713,12.7187,13.245,14.0083,13.3867,12.7651,14.3552,13.3702,12.3853,3.0535,3.1205,3.1775,3.1875,3.1403,3.0105,1.2167,6.7507,0.0128,-0.1012,-0.0884,44.8524,33.2306,-2.3519,40.3193,13.7325,-3267009.2872,5233655.0
2007-11-20,12.71,28724.0,DIA.MI,12.82,12.978,13.0071,13.1671,13.349,13.3836,12.7517,12.8667,12.9314,13.0688,13.1924,13.3976,12.685,12.7318,12.7728,12.9197,13.1255,13.5789,12.9618,13.2734,13.3461,13.5224,13.5851,13.3974,24.7414,28.263,31.401,39.3197,43.8769,47.8931,59.0952,44.1591,35.9888,19.4803,14.1301,7.3309,-0.43,-0.43,-0.36,-1.09,-0.79,0.56,-58.1081,-88.2066,-123.161,-146.5245,-151.7349,-103.4974,-0.1579,-0.1579,-0.1579,-0.1579,-0.1579,-0.1579,-50.5172,-43.4739,-37.198,-21.3606,-12.2461,-4.2137,0.9673,0.9673,0.9725,0.921,0.9415,1.0461,0.0,66.6667,20.0,80.0,0.0,85.7143,7.1429,92.8571,95.2381,23.8095,45.2381,11.9048,71.7975,59.4562,51.7078,32.4684,22.0506,13.489,31.475,30.1901,28.6881,25.6853,24.3171,23.4638,5.167,7.6762,9.1321,13.0942,15.5305,17.8861,0.3246,0.5544,0.7654,1.4107,1.9889,3.6927,0.0533,0.141,0.2436,0.7192,1.2702,2.8149,13.2493,12.3907,12.82,13.497,12.459,12.978,13.4599,13.0071,12.5544,13.6637,12.6706,13.1671,14.0313,13.349,12.6668,14.3159,13.3836,12.4513,2.7047,2.8898,2.9986,3.0874,3.0694,2.9691,1.2447,6.8103,-0.0136,-0.1054,-0.119,36.4589,22.4081,-2.283,42.7424,13.6768,-3292709.7082,5262379.0
2007-11-21,12.39,88295.0,DIA.MI,12.5767,12.798,12.9171,13.0986,13.2905,13.3845,12.5367,12.6707,12.7771,12.9651,13.1052,13.3513,12.4351,12.5052,12.5683,12.7621,12.9904,13.4907,12.7835,12.9805,13.2291,13.4281,13.5179,13.3928,13.2647,19.7077,24.3918,34.677,40.272,45.7632,70.4351,51.9515,41.5059,21.7724,15.2527,7.7028,-0.73,-0.9,-0.63,-0.96,-1.23,0.04,-100.0,-149.0196,-163.3333,-219.4049,-218.4674,-181.5168,-0.2941,-0.2941,-0.2941,-0.2941,-0.2941,-0.2941,-73.4705,-60.5846,-51.2163,-30.6459,-19.456,-8.4736,0.9444,0.9323,0.9516,0.9281,0.9097,1.0032,33.3333,100.0,0.0,100.0,28.5714,100.0,0.0,100.0,100.0,19.0476,42.8571,9.5238,93.1148,83.1211,74.6082,51.5692,37.7051,22.9496,67.4367,54.1587,46.6733,35.4831,31.1695,27.1451,2.4043,4.992,6.7873,11.3379,14.1004,17.0114,0.9964,1.2236,1.436,2.0899,2.6742,4.3848,0.0355,0.1128,0.2088,0.6678,1.2097,2.7479,12.8486,12.3047,12.5767,13.3798,12.2162,12.798,13.5418,12.9171,12.2925,13.7237,12.4735,13.0986,14.0734,13.2905,12.5076,14.3127,13.3845,12.4564,3.9751,3.6468,3.5475,3.3963,3.3023,3.1251,1.2728,6.8661,-0.0443,-0.1229,-0.1671,23.8291,15.8486,-2.4991,48.0939,13.624,-3258949.8553,5174084.0
2007-11-22,12.4,14500.0,DIA.MI,12.5,12.65,12.8114,13.0429,13.2405,13.3821,12.4483,12.538,12.6479,12.872,13.0243,13.3055,12.3689,12.3973,12.4465,12.6396,12.8755,13.409,12.7214,12.8057,13.076,13.3594,13.4649,13.3876,15.1106,20.646,25.0022,34.9356,40.4326,45.8403,77.995,58.1854,46.2348,23.9007,16.3219,8.0658,-0.23,-0.74,-0.74,-0.78,-1.05,-0.1,-51.6014,-84.5649,-112.2297,-168.0274,-184.9799,-181.4435,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,-69.7789,-58.708,-49.9957,-30.1288,-19.1348,-8.3194,0.9818,0.9437,0.9437,0.9408,0.9219,0.992,0.0,66.6667,0.0,80.0,14.2857,85.7143,14.2857,92.8571,95.2381,14.2857,40.4762,7.1429,93.1148,83.1211,74.6082,51.5692,37.7051,22.9496,50.9008,46.012,41.6228,33.5218,29.9948,26.6052,1.8148,4.2411,6.0529,10.7112,13.569,16.673,0.6643,0.9788,1.2309,1.9406,2.5468,4.2804,0.0237,0.0902,0.179,0.6201,1.1521,2.6824,12.7971,12.2029,12.5,13.1829,12.1171,12.65,13.4969,12.8114,12.126,13.7611,12.3246,13.0429,14.106,13.2405,12.3749,14.3198,13.3821,12.4445,3.5081,3.4312,3.4069,3.3355,3.2654,3.1096,1.301,6.9215,-0.0758,-0.1263,-0.2021,22.2985,28.6389,-2.6969,49.0885,13.5218,-3244449.8553,5188584.0
2007-11-23,13.0,14200.0,DIA.MI,12.5967,12.626,12.77,13.0107,13.2048,13.3888,12.6983,12.6547,12.695,12.8663,13.0024,13.2878,12.8101,12.6829,12.6376,12.6927,12.8808,13.3871,12.7392,12.8081,13.0738,13.3498,13.452,13.3846,70.8812,57.7109,52.08,48.1865,49.0609,50.1925,57.4422,48.0724,42.0124,23.6957,16.3858,8.1828,0.29,-0.12,-0.29,-0.45,-0.75,0.28,100.0,59.3477,17.4395,-46.7623,-78.6265,-98.7821,1.0,1.0,1.0,1.0,1.0,1.0,41.7624,15.4219,4.1601,-3.627,-1.8782,0.3849,1.0228,0.9909,0.9782,0.9665,0.9455,1.022,100.0,33.3333,20.0,60.0,0.0,71.4286,7.1429,85.7143,90.4762,9.5238,38.0952,4.7619,16.3364,7.6203,16.678,21.0297,17.6646,12.9767,30.1252,34.0187,33.6562,30.156,27.923,25.6262,41.8899,29.2012,24.0345,19.6764,19.539,19.7392,0.4428,0.7831,1.055,1.802,2.4255,4.1785,0.6158,0.6722,0.7534,1.1758,1.6973,3.2186,13.1671,12.0262,12.5967,13.0765,12.1755,12.626,13.3637,12.77,12.1763,13.6925,12.3289,13.0107,14.0448,13.2048,12.3647,14.3114,13.3888,12.4662,3.7693,3.5414,3.4448,3.284,3.1862,3.0054,1.3294,6.9822,-0.0966,-0.0829,-0.1794,32.9941,54.4948,-2.5527,55.747,13.4257,-3230249.8553,5202784.0
2007-11-26,12.7,28700.0,DIA.MI,12.7,12.64,12.7071,12.9571,13.1467,13.3888,12.75,12.6793,12.6775,12.8249,12.9565,13.2557,12.7429,12.6785,12.6365,12.6634,12.8341,13.3391,12.7363,12.8071,13.0573,13.3205,13.4138,13.3818,47.4841,44.6704,43.0196,43.4245,45.5937,48.2083,43.7403,39.982,38.3932,23.5052,16.4467,8.2969,0.31,0.07,-0.44,-0.75,-1.22,0.0,47.4916,55.5556,31.2176,-40.5773,-73.7072,-101.9258,-0.8571,-0.8571,-0.8571,-0.8571,-0.8571,-0.8571,-5.0317,-10.6591,-13.9608,-13.151,-8.8127,-3.5835,1.025,1.0055,0.9665,0.9442,0.9124,1.0,100.0,0.0,0.0,40.0,0.0,57.1429,0.0,78.5714,85.7143,4.7619,35.7143,2.381,16.3364,7.6203,16.678,21.0297,17.6646,12.9767,22.1976,28.5857,29.7774,28.3667,26.7896,25.0748,30.8663,24.5375,21.2646,18.5089,18.7459,19.3145,0.2952,0.6265,0.9043,1.6733,2.31,4.079,0.4105,0.5377,0.6458,1.0918,1.6164,3.1419,13.1899,12.2101,12.7,13.0945,12.1855,12.64,13.2182,12.7071,12.196,13.6097,12.3046,12.9571,13.9487,13.1467,12.3447,14.3114,13.3888,12.4662,3.4908,3.4512,3.4161,3.3183,3.2374,3.0687,1.358,7.0394,-0.1139,-0.0695,-0.1835,50.061,67.0493,-2.7102,53.4931,13.3353,-3250749.8553,5174084.0
2007-11-27,12.79,31779.0,DIA.MI,12.83,12.656,12.66,12.9207,13.0938,13.3862,12.795,12.7293,12.6982,12.8026,12.9241,13.2279,12.7828,12.7289,12.6792,12.6644,12.81,13.3022,12.7412,12.8069,13.0496,13.3056,13.3865,13.3786,54.276,48.9926,46.29,45.1749,46.7785,48.8299,34.6056,33.5096,35.291,23.3284,16.5047,8.4083,0.39,0.08,-0.33,-0.51,-1.11,-0.11,-100.0,46.8448,35.9972,-40.2381,-72.9431,-109.7377,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,8.5519,-2.0148,-7.42,-9.6501,-6.4431,-2.3402,1.0315,1.0063,0.9748,0.9617,0.9201,0.9915,66.6667,0.0,80.0,20.0,14.2857,42.8571,0.0,71.4286,80.9524,0.0,33.3333,0.0,16.3364,7.6203,16.678,21.0297,17.6646,12.9767,18.9857,26.3327,28.155,27.6106,26.3091,24.8402,26.4002,22.6036,20.106,18.0156,18.4097,19.1338,0.1968,0.5012,0.7751,1.5538,2.2,3.9819,0.2737,0.4302,0.5535,1.0138,1.5395,3.0671,13.0814,12.5786,12.83,13.1246,12.1874,12.656,13.0586,12.66,12.2614,13.5492,12.2923,12.9207,13.8342,13.0938,12.3534,14.3149,13.3862,12.4575,2.7018,2.9761,3.0751,3.1434,3.1173,3.0025,1.3867,7.0969,-0.1266,-0.0508,-0.1774,67.4074,80.678,-2.6857,53.9299,13.2504,-3223208.0553,5205863.0
