date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Down 3,Aroon Up 3,Aroon Down 5,Aroon Up 5,Aroon Up 7,Aroon Down 7,Aroon Down 14,Aroon Up 14,Aroon Down 21,Aroon Up 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Upper Band 3,Real Middle Band 3,Real Lower Band 3,Real Middle Band 5,Real Lower Band 5,Real Upper Band 5,Real Upper Band 7,Real Lower Band 7,Real Middle Band 7,Real Middle Band 14,Real Lower Band 14,Real Upper Band 14,Real Lower Band 21,Real Upper Band 21,Real Middle Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,MAMA,FAMA,MACD,MACD_Signal,MACD_Hist,SlowK,SlowD,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2014-10-28,4.044,586550.0,FBK.MI,4.076,4.1,4.0786,4.0266,4.0778,4.1115,4.0643,4.0863,4.0855,4.0437,4.0511,4.0993,4.0566,4.0772,4.0781,4.0514,4.055,4.0935,4.0781,4.1046,4.0525,4.0591,4.1196,4.0558,36.0893,45.4678,46.9408,47.658,48.5085,49.3984,34.2621,27.7827,27.4374,22.0856,17.049,7.6978,-0.136,-0.006,0.064,-0.078,-0.144,0.084,-64.3312,-75.8929,-18.1596,32.4696,-11.7341,-37.2447,-0.5814,-0.5814,-0.5814,-0.5814,-0.5814,-0.5814,-27.8215,-9.0644,-6.1183,-4.684,-2.9831,-1.2032,0.9675,0.9985,1.0161,0.9811,0.9656,1.0212,66.6667,0.0,0.0,40.0,57.1429,0.0,42.8571,78.5714,61.9048,0.0,80.9524,40.4762,14.3616,4.3621,6.2843,8.0621,6.3326,7.5092,18.1029,18.3179,19.0559,19.6447,19.75,21.3448,13.5562,16.7866,16.8024,16.7135,17.3976,18.3631,0.0616,0.1073,0.1569,0.3064,0.439,0.8862,0.0461,0.0984,0.1384,0.2607,0.3867,0.7624,4.1338,4.076,4.0182,4.1,4.0075,4.1925,4.1854,3.9717,4.0786,4.0266,3.8391,4.214,3.8618,4.2938,4.0778,4.1115,3.9006,4.3224,2.8042,2.8976,2.9093,2.7565,2.6228,2.4639,2.0873,0.3738,-0.0126,-0.0185,0.0059,41.2788,62.5888,-2.2266,49.7827,3.7916,24389823.474,40951528.0
2014-10-29,4.07,600171.0,FBK.MI,4.0613,4.0956,4.0886,4.0267,4.0698,4.114,4.0613,4.0763,4.0834,4.0495,4.0504,4.0973,4.0638,4.0747,4.0768,4.0545,4.0561,4.0921,4.0772,4.1041,4.0531,4.0592,4.1184,4.056,49.8789,51.4401,50.8579,49.6035,49.8498,50.1149,27.6286,23.0986,24.4155,21.0839,16.5387,7.6933,-0.044,-0.022,0.07,0.002,-0.168,0.104,44.8276,-49.3721,-26.0965,44.7048,1.992,-33.3582,0.2381,0.2381,0.2381,0.2381,0.2381,0.2381,-0.2422,2.8802,1.7158,-0.7929,-0.3005,0.2299,0.9893,0.9946,1.0175,1.0005,0.9604,1.0262,33.3333,0.0,60.0,20.0,42.8571,0.0,35.7143,71.4286,57.1429,4.7619,78.5714,38.0952,14.3616,4.3621,6.2843,8.0621,6.3326,7.5092,13.2103,15.534,17.0295,18.568,18.9963,20.9114,9.8924,14.2355,15.0156,15.7974,16.7336,17.9902,0.0411,0.0859,0.1345,0.2846,0.4181,0.8651,0.0307,0.0787,0.1186,0.2421,0.3683,0.7442,4.0858,4.0613,4.0368,4.0956,4.0,4.1912,4.1754,4.0018,4.0886,4.0267,3.8391,4.2143,3.8661,4.2736,4.0698,4.114,3.9076,4.3204,2.5455,2.716,2.7726,2.6907,2.5802,2.439,2.1072,0.3825,-0.0112,-0.017,0.0059,32.111,46.035,-1.9331,49.8775,3.7999,24275505.1883,41551699.0
2014-10-30,4.054,571426.0,FBK.MI,4.056,4.0704,4.0891,4.0213,4.0617,4.1164,4.0577,4.0624,4.0747,4.0531,4.049,4.0945,4.0551,4.0642,4.0687,4.0531,4.0544,4.0892,4.0762,4.0921,4.0531,4.0591,4.1169,4.056,41.5946,47.4432,48.298,48.411,49.0246,49.6715,39.315,25.4758,24.8008,20.8926,16.3937,7.7725,-0.016,-0.126,0.004,-0.076,-0.17,0.102,-100.0,-118.295,-106.2053,18.4913,-19.7672,-64.1257,-0.3846,-0.3846,-0.3846,-0.3846,-0.3846,-0.3846,-16.8107,-5.1135,-3.404,-3.178,-1.9508,-0.6569,0.9961,0.9699,1.001,0.9816,0.9598,1.0258,100.0,0.0,100.0,0.0,28.5714,0.0,28.5714,64.2857,52.381,0.0,76.1905,35.7143,62.6878,34.9849,27.1125,18.4065,13.494,11.0208,26.504,22.8405,21.9685,21.0058,20.672,21.7466,6.0786,11.0011,12.597,14.4751,15.7564,17.4292,0.0894,0.1307,0.1773,0.3262,0.4602,0.9065,0.0205,0.0629,0.1017,0.2248,0.3508,0.7265,4.0774,4.056,4.0346,4.0704,4.0225,4.1183,4.175,4.0033,4.0891,4.0213,3.8417,4.2008,3.87,4.2535,4.0617,4.1164,3.9154,4.3175,2.7726,2.8227,2.844,2.7374,2.6197,2.4667,2.1266,0.3912,-0.0111,-0.0159,0.0047,31.6026,34.9975,-1.5303,48.3769,3.8081,24407372.7267,40980273.0
2014-10-31,4.148,957287.0,FBK.MI,4.0907,4.0772,4.0971,4.0321,4.0621,4.1206,4.1037,4.0883,4.0894,4.07,4.0568,4.096,4.1232,4.1106,4.1043,4.0754,4.0693,4.0951,4.096,4.0936,4.0555,4.062,4.1171,4.0572,76.2931,66.5372,61.5599,55.222,53.7475,52.216,26.7549,21.4056,22.3089,20.0454,15.9643,7.7788,0.104,0.034,0.056,0.152,0.008,0.176,100.0,163.9344,46.9072,80.5596,50.9091,-3.96,0.4898,0.4898,0.4898,0.4898,0.4898,0.4898,52.5863,33.0744,23.1197,10.4441,7.4949,4.4321,1.0257,1.0083,1.0137,1.038,1.0019,1.0443,66.6667,100.0,80.0,0.0,14.2857,85.7143,21.4286,57.1429,47.619,14.2857,73.8095,33.3333,1.6346,5.1248,7.3574,9.0307,7.3766,8.0388,18.4576,18.8128,19.2425,19.6692,19.7587,21.2352,17.8639,16.9785,16.6051,16.4109,17.0439,18.0752,0.0596,0.1045,0.152,0.3029,0.4383,0.8849,0.0577,0.0944,0.1311,0.2527,0.3781,0.7532,4.1728,4.0907,4.0085,4.0772,4.0037,4.1507,4.1924,4.0018,4.0971,4.0321,3.842,4.2223,3.8697,4.2545,4.0621,4.1206,3.9245,4.3167,2.594,2.6795,2.72,2.653,2.5509,2.4096,2.1469,0.4,-0.0035,-0.0134,0.0099,56.073,39.9289,-0.816,53.2988,3.8161,25364659.7267,41937560.0
2014-11-03,4.116,535411.0,FBK.MI,4.106,4.0864,4.088,4.0444,4.0587,4.1205,4.1163,4.1012,4.0941,4.0812,4.0617,4.0958,4.1224,4.1176,4.1131,4.0856,4.0768,4.0977,4.0973,4.0945,4.0577,4.0642,4.1171,4.0575,58.5353,57.6281,55.8683,52.6726,52.0245,51.3114,18.1369,17.8885,20.0476,19.2285,15.5423,7.7818,0.046,0.046,-0.064,0.172,-0.072,-0.004,52.0737,85.8792,74.375,74.1678,56.5542,-2.7865,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,17.0707,15.2562,11.7366,5.3452,4.0491,2.6227,1.0113,1.0113,0.9847,1.0436,0.9828,0.999,33.3333,100.0,60.0,0.0,0.0,71.4286,14.2857,50.0,42.8571,9.5238,71.4286,30.9524,0.901,3.8199,6.4798,8.6098,7.1011,7.9038,14.2266,16.4454,17.5804,18.8267,19.1777,20.9063,14.4853,15.2352,15.4407,15.8418,16.6346,17.8436,0.0397,0.0836,0.1303,0.2813,0.4174,0.8638,0.0404,0.0775,0.1144,0.2367,0.362,0.7373,4.184,4.106,4.028,4.0864,4.0075,4.1653,4.1589,4.0171,4.088,4.0444,3.8564,4.2325,3.8729,4.2444,4.0587,4.1205,3.9244,4.3166,2.2611,2.4713,2.5717,2.5937,2.5224,2.4076,2.1665,0.4088,-0.0,-0.0107,0.0107,71.749,53.1415,-0.2081,50.1816,3.8239,25331196.5392,41402149.0
2014-11-04,4.1,299257.0,FBK.MI,4.1213,4.0976,4.086,4.0636,4.0539,4.12,4.1133,4.1057,4.0971,4.0886,4.0655,4.0948,4.1086,4.1117,4.1112,4.0897,4.0804,4.0986,4.0975,4.0949,4.0581,4.0675,4.1168,4.0577,49.8356,53.1779,53.0094,51.3949,51.1635,50.86,23.3542,18.5076,19.683,18.8292,15.3011,7.8233,0.046,0.056,-0.014,0.268,-0.1,-0.02,-100.0,31.2722,51.0766,53.6267,46.7957,-16.4611,-0.1522,-0.1522,-0.1522,-0.1522,-0.1522,-0.1522,-0.3288,6.3558,6.0188,2.7899,2.327,1.7201,1.0113,1.0138,0.9966,1.0699,0.9762,0.9951,0.0,100.0,40.0,100.0,0.0,57.1429,7.1429,42.8571,38.0952,4.7619,69.0476,28.5714,33.7887,20.984,17.4953,13.6372,10.4778,9.5246,19.5879,19.0253,19.2069,19.5486,19.6561,21.1188,9.6939,12.4256,13.487,14.8566,15.9277,17.4457,0.0545,0.0949,0.1397,0.2892,0.4255,0.8713,0.027,0.062,0.0981,0.2198,0.3448,0.7197,4.1612,4.1213,4.0814,4.0976,4.031,4.1642,4.1546,4.0174,4.086,4.0636,3.9157,4.2115,3.878,4.2298,4.0539,4.12,3.9238,4.3163,2.2613,2.4335,2.5334,2.5782,2.5185,2.4128,2.1859,0.4177,0.0014,-0.0083,0.0097,82.2793,70.0338,0.1197,52.5999,3.8316,25305174.1914,41102892.0
2014-11-05,4.126,865872.0,FBK.MI,4.114,4.1088,4.094,4.0817,4.0528,4.121,4.1157,4.1152,4.1071,4.0969,4.072,4.0951,4.1225,4.1222,4.1208,4.0995,4.0881,4.1018,4.0992,4.0968,4.061,4.0727,4.1169,4.0581,63.1759,59.5265,57.165,53.3741,52.5048,51.5692,17.9767,15.119,17.6017,18.066,14.9048,7.8241,-0.022,0.056,0.056,0.254,-0.024,0.042,68.0,62.9454,76.953,75.0,69.9899,0.408,0.0364,0.0364,0.0364,0.0364,0.0364,0.0364,26.3517,19.0531,14.33,6.7483,5.0095,3.1383,0.9947,1.0138,1.0138,1.0656,0.9942,1.0103,0.0,100.0,20.0,100.0,100.0,42.8571,0.0,35.7143,33.3333,0.0,66.6667,26.1905,7.2218,1.5644,5.1142,8.1457,6.9782,7.8579,12.2944,14.9145,16.3255,18.0993,18.6605,20.5573,14.2084,14.4551,14.7369,15.3728,16.2261,17.5619,0.0363,0.0759,0.1197,0.2685,0.4053,0.8505,0.042,0.0736,0.1081,0.2281,0.3524,0.7266,4.1354,4.114,4.0926,4.1088,4.0458,4.1718,4.1663,4.0217,4.094,4.0817,3.9759,4.1875,3.8791,4.2264,4.0528,4.121,3.9252,4.3169,2.3867,2.4678,2.5387,2.5693,2.5104,2.404,2.2053,0.4267,0.0046,-0.0057,0.0103,76.0909,76.7064,0.483,53.8572,3.8391,25415376.0823,41968764.0
2014-11-06,4.058,832729.0,FBK.MI,4.0947,4.1096,4.096,4.0873,4.0497,4.1197,4.0877,4.0983,4.0981,4.0938,4.0725,4.0922,4.0759,4.0895,4.0968,4.0904,4.083,4.0986,4.0932,4.0966,4.061,4.0724,4.1163,4.0581,30.919,41.244,45.0175,47.8825,48.8225,49.6496,22.6217,16.3556,17.6234,17.7582,14.7041,7.8669,-0.058,0.004,0.014,0.078,-0.064,-0.058,-100.0,-147.9328,-47.5651,-17.9869,26.4528,-41.2992,-0.7647,-0.7647,-0.7647,-0.7647,-0.7647,-0.7647,-38.1619,-17.512,-9.9651,-4.2351,-2.355,-0.7009,0.9859,1.001,1.0035,1.0196,0.9845,0.9859,100.0,66.6667,0.0,80.0,85.7143,28.5714,0.0,28.5714,28.5714,52.381,64.2857,23.8095,31.9117,21.3021,17.7533,13.7561,10.6913,9.6191,18.1348,17.8181,18.1527,18.8791,19.1658,20.7754,9.3605,11.5599,12.6791,14.3131,15.4635,17.1293,0.0542,0.0907,0.1326,0.2794,0.416,0.8603,0.028,0.0589,0.0926,0.2118,0.3356,0.7093,4.1507,4.0947,4.0386,4.1096,4.0493,4.1699,4.1632,4.0288,4.096,4.0873,3.9963,4.1782,3.8788,4.2206,4.0497,4.1197,3.9228,4.3165,2.4556,2.51,2.5716,2.6053,2.5506,2.446,2.2238,0.4356,0.0016,-0.0043,0.0059,54.9113,71.0938,0.6569,53.3707,3.8465,24974519.5529,41136035.0
2014-11-07,4.122,1270686.0,FBK.MI,4.102,4.1044,4.1034,4.096,4.0523,4.12,4.1013,4.1024,4.1046,4.0984,4.0791,4.0923,4.1077,4.107,4.1089,4.0989,4.0897,4.1014,4.0938,4.0971,4.0627,4.074,4.1164,4.0584,59.856,56.8393,55.4195,52.8044,52.1396,51.394,15.3161,14.1734,16.2072,17.1638,14.3837,7.8783,0.022,-0.026,0.052,0.122,0.054,0.014,44.2748,51.3784,55.7848,58.8367,72.0399,-1.8937,0.3158,0.3158,0.3158,0.3158,0.3158,0.3158,19.712,13.6787,10.8391,5.6087,4.2791,2.7879,1.0054,0.9937,1.0128,1.0305,1.0133,1.0034,66.6667,33.3333,80.0,60.0,71.4286,14.2857,0.0,21.4286,23.8095,47.619,61.9048,21.4286,0.7048,5.4447,7.7102,9.437,7.976,8.3462,12.2393,14.4203,15.7395,17.6462,18.3151,20.2935,12.413,12.9311,13.4862,14.6028,15.6093,17.1669,0.0361,0.0726,0.1137,0.2594,0.3962,0.8398,0.0367,0.0651,0.0974,0.2147,0.3376,0.7104,4.1643,4.102,4.0397,4.1044,4.0547,4.1541,4.169,4.0379,4.1034,4.096,4.0177,4.1743,3.8787,4.2258,4.0523,4.12,3.9232,4.3168,2.388,2.4426,2.5027,2.548,2.5024,2.4061,2.2428,0.4447,0.0044,-0.0025,0.0069,52.0,61.0007,0.7355,55.611,3.8537,25175154.1845,42406721.0
2014-11-10,4.2,1502418.0,FBK.MI,4.1267,4.1212,4.1243,4.1067,4.0556,4.1207,4.1503,4.1343,4.1288,4.1123,4.0925,4.096,4.1778,4.1598,4.1506,4.1251,4.109,4.1111,4.1019,4.1043,4.0748,4.0788,4.1172,4.0592,77.2655,69.2666,64.8697,58.0091,55.8052,53.4092,26.5516,16.4622,15.91,16.0033,13.7611,7.8133,0.074,0.084,0.146,0.15,0.07,0.028,100.0,150.161,206.881,153.2389,116.4719,43.7752,0.54,0.54,0.54,0.54,0.54,0.54,54.531,38.5333,29.7394,16.0183,11.6103,6.8183,1.0179,1.0204,1.036,1.037,1.0169,1.0067,33.3333,100.0,60.0,100.0,100.0,0.0,0.0,14.2857,19.0476,42.8571,59.5238,19.0476,49.0226,25.6173,14.1265,0.9167,1.3075,5.15,8.1164,11.5519,13.5503,16.4417,17.4672,19.8033,23.7269,19.5088,18.0085,16.7459,17.0163,17.8634,0.0241,0.0581,0.0974,0.2409,0.3773,0.8198,0.0704,0.0981,0.1295,0.2453,0.3675,0.7395,4.2428,4.1267,4.0105,4.1212,4.0288,4.2136,4.2048,4.0437,4.1243,4.1067,4.0164,4.1971,3.8737,4.2375,4.0556,4.1207,3.923,4.3184,2.3561,2.394,2.4455,2.4922,2.4523,2.3619,2.2624,0.4538,0.0127,0.0005,0.0122,60.0,55.6371,0.765,59.4631,3.8608,26677572.1845,43909139.0
2014-11-11,4.2,872267.0,FBK.MI,4.174,4.1412,4.1317,4.1144,4.0653,4.1216,4.187,4.1605,4.1477,4.1247,4.1056,4.0997,4.2008,4.1877,4.1772,4.1461,4.1257,4.1201,4.1455,4.1141,4.0786,4.0822,4.1199,4.06,77.2655,69.2666,64.8697,58.0091,55.8052,53.4092,34.0419,18.2932,15.6552,14.9257,13.168,7.7499,0.142,0.1,0.052,0.108,0.204,0.04,77.6536,104.39,142.1152,165.9192,125.4269,63.3541,0.0,0.0,0.0,0.0,0.0,0.0,54.531,38.5333,29.7394,16.0183,11.6103,6.8183,1.035,1.0244,1.0125,1.0264,1.0511,1.0096,0.0,100.0,40.0,100.0,100.0,57.1429,42.8571,7.1429,14.2857,38.0952,57.1429,16.6667,49.0226,25.6173,14.1265,0.9167,1.3075,5.15,6.9265,10.6515,12.8418,16.0408,17.1832,19.638,20.2483,17.9882,17.0669,16.3376,16.7397,17.7144,0.0161,0.0465,0.0835,0.2237,0.3593,0.8003,0.047,0.0785,0.111,0.2278,0.35,0.7219,4.2475,4.174,4.1005,4.1412,4.0337,4.2487,4.2277,4.0357,4.1317,4.1144,4.0127,4.2162,3.8756,4.2551,4.0653,4.1216,3.9228,4.3204,1.8406,2.0771,2.2118,2.372,2.3741,2.3249,2.2817,0.4629,0.0191,0.0042,0.0148,87.619,66.5397,0.9411,57.5856,3.8678,27549839.1845,43909139.0
2014-11-12,4.196,559819.0,FBK.MI,4.1987,4.1552,4.1431,4.1156,4.0773,4.123,4.198,4.1788,4.1638,4.1356,4.1175,4.1032,4.2034,4.1993,4.1918,4.1619,4.1395,4.1281,4.1642,4.1197,4.0861,4.0829,4.1233,4.0609,73.5834,67.7046,63.9239,57.6311,55.5646,53.2903,36.7783,19.2651,15.2435,13.8908,12.6171,7.691,0.074,0.07,0.08,0.016,0.252,0.056,42.8571,65.5157,88.4999,146.3277,118.01,59.3384,0.6111,0.6111,0.6111,0.6111,0.6111,0.6111,47.1668,35.4092,27.8477,15.2623,11.1291,6.5805,1.018,1.017,1.0194,1.0038,1.0639,1.0135,0.0,100.0,20.0,100.0,100.0,42.8571,35.7143,0.0,9.5238,33.3333,54.7619,14.2857,42.2511,23.1527,12.7735,0.4376,1.5988,5.2775,6.6676,10.1749,12.3997,15.7571,16.9768,19.5118,16.424,16.3059,16.0314,15.8957,16.4424,17.5555,0.0127,0.0392,0.0736,0.2097,0.3442,0.7832,0.0313,0.0628,0.0951,0.2115,0.3334,0.7047,4.2024,4.1987,4.1949,4.1552,4.0413,4.2691,4.2476,4.0386,4.1431,4.1156,4.0106,4.2205,3.8879,4.2667,4.0773,4.123,3.9229,4.323,1.5142,1.8349,2.0202,2.2659,2.3041,2.2921,2.3009,0.4721,0.0235,0.0081,0.0154,99.1968,82.2719,1.155,58.8916,3.8746,27985253.9623,43349320.0
2014-11-13,4.19,619558.0,FBK.MI,4.1953,4.1816,4.156,4.121,4.0944,4.1246,4.1937,4.1904,4.1755,4.1455,4.1277,4.1063,4.1977,4.2007,4.1976,4.1728,4.1503,4.1349,4.1757,4.1439,4.0945,4.0855,4.1293,4.0618,66.4576,64.958,62.3334,57.0308,55.1898,53.1086,26.5503,17.3522,13.8486,13.0462,12.164,7.649,-0.01,0.132,0.09,0.076,0.358,0.07,-100.0,41.988,59.2321,114.7819,108.0999,52.0662,-0.1739,-0.1739,-0.1739,-0.1739,-0.1739,-0.1739,32.9152,29.9159,24.6667,14.0616,10.3795,6.2172,0.9976,1.0325,1.022,1.0185,1.0934,1.017,0.0,100.0,0.0,100.0,100.0,28.5714,28.5714,100.0,4.7619,28.5714,52.381,11.9048,6.0942,9.7009,5.4789,2.0662,3.1004,5.9252,10.6734,11.6778,13.1744,15.9718,17.0876,19.5376,12.0587,14.1869,14.7017,15.3252,16.0599,17.3518,0.0185,0.0413,0.0731,0.2047,0.3378,0.7746,0.0209,0.0502,0.0815,0.1964,0.3175,0.6879,4.2036,4.1953,4.1871,4.1816,4.1216,4.2416,4.2582,4.0538,4.156,4.121,4.0093,4.2327,3.9342,4.2546,4.0944,4.1246,3.9235,4.3257,1.3769,1.6896,1.8909,2.1855,2.2498,2.2669,2.3198,0.4813,0.0263,0.0117,0.0146,96.4645,94.4268,1.3887,61.9904,3.8812,28335438.9188,42729762.0
