date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Up 5,Aroon Down 5,Aroon Up 7,Aroon Down 7,Aroon Down 14,Aroon Up 14,Aroon Down 21,Aroon Up 21,Aroon Up 42,Aroon Down 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Middle Band 3,Real Upper Band 3,Real Lower Band 3,Real Lower Band 5,Real Upper Band 5,Real Middle Band 5,Real Lower Band 7,Real Upper Band 7,Real Middle Band 7,Real Lower Band 14,Real Middle Band 14,Real Upper Band 14,Real Lower Band 21,Real Upper Band 21,Real Middle Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2014-01-21,69.44,2502300.0,FEYE,71.3333,67.664,64.5371,59.0993,53.2033,45.0736,71.075,69.6147,67.4979,63.1694,58.8976,50.6767,71.3278,71.7614,71.4673,69.0586,65.7795,58.6331,67.9868,65.2755,63.0338,63.4575,63.5762,56.6197,60.7583,68.7549,71.413,73.3702,72.5443,68.4393,59.5174,62.793,62.1446,46.7821,33.4046,17.0135,3.99,13.8,11.54,25.75,30.08,32.17,-44.5812,41.2776,65.9883,121.3835,116.5904,176.8974,-0.4907,-0.4907,-0.4907,-0.4907,-0.4907,-0.4907,21.5165,37.5098,42.826,46.7405,45.0887,36.8785,1.061,1.248,1.1993,1.5894,1.7642,1.8632,66.6667,0.0,80.0,20.0,85.7143,42.8571,14.2857,92.8571,0.0,95.2381,97.619,4.7619,35.0367,48.3853,52.8482,55.5656,53.1119,43.646,22.1292,17.0755,15.2393,13.6114,13.7517,15.024,45.9992,49.0898,49.3999,47.6538,44.9058,38.296,3.5165,4.2086,4.911,7.166,9.5351,17.4197,7.3096,12.0991,15.9197,25.0884,31.1365,44.4027,71.3333,74.7402,67.9264,57.4138,77.9142,67.664,51.3404,77.7339,64.5371,41.4745,59.0993,76.7241,31.0835,75.3231,53.2033,45.0736,22.3963,67.7509,7.628,7.0987,6.6298,5.417,4.7628,4.0036,3.6985,22.6813,7.6664,1.7416,5.9248,89.0211,86.5164,22.8086,67.682,52.3643,2950356.9375,33753600.0
2014-01-22,73.73,1358100.0,FEYE,72.2467,70.636,66.8129,61.2507,54.801,45.9717,72.2733,71.6367,69.7961,65.1202,60.7637,52.0095,73.5397,73.7431,73.5165,71.2531,67.9621,60.4075,68.251,66.9993,64.7535,65.0573,65.1939,58.8731,74.7012,75.8952,76.4417,76.3477,74.9717,70.2669,55.9073,61.2358,61.4706,47.6007,34.4485,17.689,2.74,14.86,15.93,30.12,33.55,37.72,33.1395,73.419,72.4318,121.8507,125.0906,175.2987,0.4888,0.4888,0.4888,0.4888,0.4888,0.4888,49.4024,51.7905,52.8833,52.6954,49.9434,40.5338,1.0386,1.2524,1.2756,1.6907,1.835,2.0475,33.3333,0.0,60.0,0.0,71.4286,28.5714,7.1429,85.7143,0.0,90.4762,95.2381,2.381,48.6872,55.007,57.4263,58.2425,55.3263,45.3835,15.0723,13.6435,12.9194,12.3576,12.791,14.3932,43.6746,47.0035,47.7726,46.8299,44.4729,38.3133,2.3443,3.3669,4.2095,6.6542,9.081,17.005,6.793,11.5992,15.5655,25.2164,31.5738,45.2655,72.2467,76.218,68.2753,64.5282,76.7438,70.636,53.5542,80.0715,66.8129,44.3767,61.2507,78.1247,31.8439,77.758,54.801,45.9717,21.8591,70.0843,7.0319,6.694,6.3131,5.2179,4.5924,3.841,3.7959,23.1918,8.0684,1.7149,6.3535,88.2957,84.4127,22.1894,69.8306,54.6518,3936298.6553,35111700.0
2014-01-23,73.17,815600.0,FEYE,72.1133,72.18,69.3171,63.5393,56.4014,46.9138,72.735,72.4813,71.3854,66.7094,62.4336,53.2746,73.7202,74.3113,74.4375,72.8061,69.7165,61.9987,68.2921,67.6974,66.5095,66.5462,66.4707,60.9959,69.8422,73.1669,74.4473,75.1662,74.0741,69.727,53.5006,59.99,60.8928,48.3608,35.4426,18.3484,-0.4,7.72,17.53,32.04,33.61,39.57,61.2429,58.3217,66.8064,106.0188,119.9114,161.2961,-0.2978,-0.2978,-0.2978,-0.2978,-0.2978,-0.2978,39.6844,46.3339,48.8945,50.3325,48.1482,39.4539,0.9946,1.118,1.3151,1.779,1.8496,2.1777,0.0,33.3333,40.0,0.0,57.1429,14.2857,0.0,78.5714,0.0,85.7143,92.8571,0.0,48.6872,55.007,57.4263,58.2425,55.3263,45.3835,12.0331,12.0455,11.8117,11.7426,12.314,14.0736,34.8678,41.4983,43.6767,44.4991,42.8145,37.4626,1.5629,2.6935,3.6081,6.1789,8.6486,16.6001,4.5287,9.2794,13.3418,23.4152,30.0703,44.1877,72.1133,75.9215,68.3051,68.805,75.555,72.18,59.1946,79.4397,69.3171,49.8024,63.5393,77.2762,33.2324,79.5705,56.4014,46.9138,21.7396,72.0881,5.9169,6.112,5.964,5.138,4.5776,3.8635,3.8954,23.6916,8.2467,1.5146,6.7322,83.4734,79.4912,21.407,73.0704,56.7105,4110380.5186,34296100.0
2014-01-24,67.3,1964200.0,FEYE,71.4,71.442,70.5214,64.2736,57.7114,47.7014,70.3283,70.8547,70.8811,67.2109,63.4244,54.2228,69.2253,71.1759,72.3083,72.5181,70.1761,62.936,68.2582,67.6828,66.5537,66.5789,66.5533,61.6215,34.5287,49.7389,56.4395,63.9884,65.4496,64.4124,47.2455,48.0974,54.4775,47.2708,35.4768,18.7137,-2.14,-3.69,8.43,10.28,27.51,33.08,-100.0,-110.893,-46.0161,47.6543,82.2538,122.6911,-0.7597,-0.7597,-0.7597,-0.7597,-0.7597,-0.7597,-30.9425,-0.5221,12.8791,27.9768,30.8991,28.8247,0.9692,0.948,1.1432,1.1803,1.6914,1.9667,33.3333,100.0,20.0,0.0,42.8571,0.0,0.0,71.4286,0.0,80.9524,90.4762,4.7619,34.7353,0.527,15.9857,33.1004,36.1592,33.6889,40.3714,29.7774,25.13,19.641,18.2269,17.5486,19.5556,30.0929,34.6931,39.0768,38.8742,35.3794,6.2328,7.3457,8.2836,10.9284,13.4276,21.3957,3.0191,7.4235,11.4359,21.7427,28.6384,43.1356,71.4,77.2163,65.5837,66.2333,76.6507,71.442,64.4698,76.5731,70.5214,50.9153,64.2736,77.6319,35.3506,80.0722,57.7114,47.7014,22.0988,73.3041,7.6467,7.3309,6.997,5.9067,5.2196,4.3403,3.9966,24.1276,7.8242,0.8736,6.9506,74.3689,59.2028,20.0097,61.7136,58.5634,2874189.4719,32331900.0
2014-01-27,68.28,1024300.0,FEYE,69.5833,70.384,70.9257,64.9714,59.0533,48.4962,68.7683,69.8007,70.3207,67.745,64.3852,55.1799,68.3553,69.8962,71.2263,72.4529,70.7023,63.8867,68.2638,67.7249,66.5854,66.649,66.7293,62.2878,41.887,52.8871,58.3995,64.9262,66.1406,64.8703,44.7372,39.2046,48.4933,46.1014,35.4277,19.0446,-5.45,-5.29,2.83,9.77,28.18,33.38,-54.3307,-79.4292,-89.3916,37.4978,72.7722,112.6656,0.0498,0.0498,0.0498,0.0498,0.0498,0.0498,-16.226,5.7742,16.7989,29.8523,32.2813,29.7406,0.9261,0.9281,1.0432,1.167,1.7027,1.9564,0.0,100.0,0.0,100.0,28.5714,0.0,0.0,64.2857,0.0,76.1905,88.0952,2.381,39.7205,3.6334,12.5879,30.8994,34.4473,32.615,32.37,26.7729,23.5075,19.1048,17.9027,17.3757,13.9654,24.8956,30.278,36.1909,36.7181,34.1957,4.6653,6.3866,7.6103,10.6579,13.2983,21.3964,2.0128,5.9388,9.8022,20.1897,27.2746,42.1086,69.5833,74.7184,64.4483,65.185,75.583,70.384,66.0122,75.8393,70.9257,51.8722,64.9714,78.0707,37.7226,80.384,59.0533,48.4962,22.4637,74.5287,7.036,6.9874,6.7734,5.837,5.1871,4.3199,4.0994,24.5692,7.4822,0.4253,7.0569,59.0517,38.4611,19.2614,57.657,60.2309,3043248.6952,33356200.0
2014-01-28,69.84,1120300.0,FEYE,68.4733,70.464,70.7614,65.6386,60.311,49.3564,68.8967,69.6193,70.0493,68.3942,65.3658,56.1727,69.2889,70.0145,71.1161,72.718,71.3879,64.9023,68.4085,67.7394,66.6175,66.7744,67.0277,63.1394,54.1825,58.1082,61.6075,66.425,67.236,65.5923,31.3278,33.3737,44.5044,45.2612,35.4977,19.4056,-3.33,0.4,-1.15,9.34,26.41,36.13,100.0,-21.6727,-34.0126,48.6627,77.0361,113.8769,0.2216,0.2216,0.2216,0.2216,0.2216,0.2216,8.365,16.2164,23.2151,32.85,34.472,31.1845,0.9545,1.0058,0.9838,1.1544,1.6081,2.0718,0.0,66.6667,20.0,80.0,14.2857,85.7143,35.7143,57.1429,0.0,71.4286,85.7143,0.0,4.5089,10.0501,20.5708,34.3379,36.8969,34.207,23.2134,22.3369,20.6827,17.8023,16.9923,16.8446,21.2104,27.3283,31.3955,36.4218,36.8635,34.3602,3.1102,5.1093,6.5231,9.8967,12.6651,20.887,2.8418,6.2511,9.9019,20.2475,27.4758,42.606,68.4733,70.5652,66.3815,65.3135,75.6145,70.464,65.7909,75.732,70.7614,52.5668,65.6386,78.7103,39.7114,80.9105,60.311,49.3564,22.95,75.7628,6.3948,6.5504,6.4513,5.6867,5.0881,4.252,4.204,25.0219,7.2534,0.1572,7.0962,41.9914,28.3102,18.5483,53.54,61.7317,3182177.719,34476500.0
2014-01-29,68.31,807400.0,FEYE,68.81,69.38,70.01,66.4493,61.51,50.0931,68.815,68.9013,69.4364,68.7504,66.0929,57.0542,68.5126,69.1977,70.3049,72.4851,71.6762,65.6972,68.404,67.8198,66.7085,66.8593,67.1385,63.6147,41.3208,51.1578,56.6122,63.5564,65.0683,64.2653,22.7058,28.6126,41.0365,44.4672,35.5575,19.756,1.01,-5.42,-5.26,11.35,25.18,30.94,9.7276,-29.7339,-46.1777,34.8497,64.1736,103.3456,-0.1111,-0.1111,-0.1111,-0.1111,-0.1111,-0.1111,-17.3585,2.3156,13.2243,27.1127,30.1366,28.5306,1.015,0.9265,0.9285,1.1993,1.5838,1.8279,66.6667,33.3333,0.0,60.0,0.0,71.4286,28.5714,50.0,14.2857,66.6667,83.3333,0.0,5.4619,9.5679,20.2292,34.1462,36.7538,34.1204,17.2357,19.0828,18.5461,16.7963,16.2848,16.4257,15.4504,23.1208,27.9523,34.2146,35.2117,33.4402,2.1135,4.1275,5.6312,9.2297,12.102,20.4297,1.8946,5.0008,8.4873,18.8013,26.1675,41.5916,68.81,70.2668,67.3532,65.2562,73.5038,69.38,65.3868,74.6332,70.01,54.2525,66.4493,78.646,42.1566,80.8634,61.51,50.0931,23.3413,76.8449,5.9836,6.3326,6.3499,5.7469,5.1865,4.3598,4.3103,25.4548,6.8694,-0.1814,7.0508,33.7965,34.6182,17.8421,50.789,63.0825,2685129.6709,33669100.0
2014-01-30,69.34,610800.0,FEYE,69.1633,68.614,69.9957,67.2664,62.7314,50.8336,69.08,68.888,69.2689,69.1358,66.8048,57.9494,69.0404,69.3083,70.1746,72.4924,72.0654,66.5191,68.449,67.9345,66.7208,66.9976,67.3322,64.1436,52.6668,55.6244,59.2098,64.6627,65.8466,64.757,17.1809,25.5856,38.3665,43.7889,35.6415,20.1065,1.06,-3.83,-0.1,11.44,25.65,31.1,70.894,94.9412,-7.1164,40.8118,65.3031,101.9974,-0.2895,-0.2895,-0.2895,-0.2895,-0.2895,-0.2895,5.3335,11.2487,18.4197,29.3255,31.6933,29.514,1.0155,0.9477,0.9986,1.1976,1.5871,1.8133,33.3333,0.0,0.0,40.0,14.2857,57.1429,21.4286,42.8571,9.5238,61.9048,80.9524,0.0,6.1311,13.4778,22.3467,34.9707,37.3213,34.4776,12.586,16.2472,16.6178,15.8578,15.6183,16.0271,14.2302,21.3089,26.1822,32.9134,34.2179,32.8938,1.409,3.302,4.8268,8.5705,11.5257,19.9432,1.593,4.3307,7.6048,17.7883,25.2514,40.9313,69.1633,70.4373,67.8894,66.834,70.394,68.614,65.3649,74.6265,69.9957,55.9706,67.2664,78.5622,44.8491,80.6138,62.7314,50.8336,23.716,77.9512,5.3816,5.8619,5.9841,5.5683,5.0736,4.2965,4.4182,25.8936,6.5725,-0.3827,6.9552,36.2263,45.7505,17.4879,51.2356,64.2981,2229708.6183,34279900.0
2014-01-31,72.99,1899900.0,FEYE,70.2133,69.752,69.89,68.3514,64.1305,51.6579,70.9933,70.3467,70.0175,69.899,67.7374,58.98,71.9847,71.3887,71.646,73.3502,72.9979,67.6042,69.0705,68.9862,66.776,67.4471,67.9001,65.0469,76.6578,68.4178,67.3031,68.3317,68.4614,66.4336,36.5599,31.4499,39.904,44.0252,36.1336,20.5833,3.15,5.69,-0.74,15.19,29.38,34.62,100.0,164.7045,111.2318,80.8574,84.5496,110.2257,0.5144,0.5144,0.5144,0.5144,0.5144,0.5144,53.3155,36.8356,34.6062,36.6635,36.9228,32.8671,1.0451,1.0845,0.99,1.2628,1.6737,1.9023,100.0,33.3333,100.0,20.0,100.0,42.8571,14.2857,100.0,4.7619,100.0,100.0,14.2857,75.3179,54.907,49.1292,47.0964,45.9745,40.1296,5.8151,10.588,12.3182,13.5172,13.8997,14.9571,41.3047,36.3729,36.1111,37.584,37.5563,35.0078,0.9393,2.6416,4.1372,7.9583,10.9769,19.4684,6.672,9.0745,12.1284,22.1277,29.659,45.5668,70.2133,74.2292,66.1975,66.2985,73.2055,69.752,65.5825,74.1975,69.89,58.0247,68.3514,78.6782,47.9333,80.3277,64.1305,51.6579,24.0064,79.3093,7.3769,6.8362,6.5736,5.7624,5.1573,4.2679,4.5279,26.3646,6.5561,-0.3192,6.8754,44.0183,51.6861,16.9489,48.7046,65.3922,2402426.8001,36179800.0
2014-02-03,66.52,2369200.0,FEYE,69.6167,69.4,68.94,69.1286,65.3395,52.3586,69.1467,69.2693,69.175,69.6548,67.9546,59.6712,68.1196,68.8968,69.727,72.3778,72.6457,68.0144,69.0043,68.9385,66.7595,67.4096,67.7989,65.153,32.6527,41.7487,47.7218,57.0285,59.9227,61.1512,26.7488,28.2011,37.2147,43.1557,36.0667,20.8871,-1.79,-1.76,-6.65,10.88,25.39,29.43,-86.4937,-103.7218,-73.8521,-21.5841,33.2562,82.0044,-0.636,-0.636,-0.636,-0.636,-0.636,-0.636,-34.6947,-16.5025,-4.5565,14.057,19.8453,22.3024,0.9738,0.9742,0.9091,1.1955,1.6173,1.7935,66.6667,100.0,80.0,100.0,85.7143,100.0,7.1429,92.8571,0.0,95.2381,97.619,11.9048,7.1265,15.2058,21.0785,31.852,34.7298,33.3454,20.5788,19.1316,18.4345,16.9538,16.451,16.4663,23.7369,25.9932,28.2814,32.802,33.9579,32.9415,3.8562,5.3433,6.7762,10.6199,13.6841,22.2349,4.448,7.2596,10.3958,20.5472,28.2466,44.4818,69.6167,74.9139,64.3195,65.151,73.649,69.4,65.0302,72.8498,68.94,61.4462,69.1286,76.8109,52.8166,77.8625,65.3395,52.3586,24.7277,79.9894,9.3901,8.3972,7.8942,6.727,5.96,4.8568,4.6391,26.7661,5.9524,-0.7383,6.6908,47.8606,46.1451,15.1482,44.2029,76.94,953900.3753,33810600.0
