date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Down 3,Aroon Up 3,Aroon Up 5,Aroon Down 5,Aroon Up 7,Aroon Down 7,Aroon Down 14,Aroon Up 14,Aroon Down 21,Aroon Up 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Lower Band 3,Real Middle Band 3,Real Upper Band 3,Real Middle Band 5,Real Lower Band 5,Real Upper Band 5,Real Lower Band 7,Real Upper Band 7,Real Middle Band 7,Real Upper Band 14,Real Middle Band 14,Real Lower Band 14,Real Upper Band 21,Real Lower Band 21,Real Middle Band 21,Real Middle Band 42,Real Upper Band 42,Real Lower Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,MAMA,FAMA,MACD_Signal,MACD_Hist,MACD,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2006-09-11,3.83,2689646.0,GRF.MC,3.6667,3.598,3.5736,3.4207,3.335,3.2938,3.7217,3.654,3.6193,3.5164,3.4365,3.3361,3.7926,3.75,3.7204,3.6279,3.5586,3.4778,3.6508,3.5767,3.5609,3.4578,3.3912,3.3169,95.4416,89.8062,85.5922,76.0896,71.3777,66.6182,74.0672,67.761,57.4539,33.9189,26.2614,21.0898,0.34,0.305,0.465,0.59,0.7,0.595,95.2542,126.1053,167.9605,169.892,186.6667,278.7631,0.4576,0.4576,0.4576,0.4576,0.4576,0.4576,90.8832,79.6124,71.1844,52.1792,42.7553,33.2365,1.0974,1.0865,1.1382,1.1821,1.2236,1.1839,0.0,100.0,100.0,20.0,100.0,0.0,28.5714,100.0,14.2857,100.0,57.1429,100.0,94.3987,88.8182,83.8166,68.5293,57.7114,40.5071,1.6411,3.003,4.1395,7.4218,9.633,13.3171,56.9545,50.7099,47.0174,39.7449,35.9253,31.4516,0.0105,0.0277,0.0489,0.1489,0.2726,0.7298,0.3636,0.4676,0.5552,0.7974,1.0168,1.7236,3.3972,3.6667,3.9362,3.598,3.3299,3.8661,3.3338,3.8134,3.5736,3.8026,3.4207,3.0388,3.7365,2.9335,3.335,3.2938,3.6139,2.9738,5.5568,4.8157,4.4045,3.7432,3.5264,3.4377,1.6515,0.2874,0.0768,0.0467,0.1235,63.0921,66.2363,4.9116,54.3382,3.1519,52449153.4346,125886116.0
2006-09-12,3.96,3542894.0,GRF.MC,3.82,3.69,3.6393,3.4754,3.3764,3.3114,3.8683,3.7747,3.7159,3.5883,3.4933,3.3671,3.9398,3.8916,3.85,3.7283,3.6405,3.5301,3.7882,3.7345,3.6985,3.5689,3.5021,3.3552,97.1768,92.5453,88.6552,79.1689,74.0664,68.345,81.276,72.3283,61.5125,36.5678,27.8749,21.5951,0.46,0.46,0.46,0.765,0.87,0.74,96.9112,112.0079,140.579,189.0099,199.5629,301.1443,0.6176,0.6176,0.6176,0.6176,0.6176,0.6176,94.3537,85.0907,77.3105,58.3377,48.1328,36.6899,1.1314,1.1314,1.1314,1.2394,1.2816,1.2298,0.0,100.0,100.0,0.0,100.0,0.0,21.4286,100.0,9.5238,100.0,54.7619,100.0,95.6936,90.5977,85.8641,71.0041,60.1454,42.3136,1.1255,2.3752,3.4708,6.7186,8.9831,12.8488,51.1443,48.1493,45.6353,39.6233,36.0964,31.6982,0.007,0.0222,0.0419,0.1383,0.2597,0.7124,0.3174,0.4491,0.5509,0.8155,1.0434,1.7575,3.5828,3.82,4.0572,3.69,3.3223,4.0577,3.2893,3.9892,3.6393,3.9253,3.4754,3.0254,3.8426,2.9103,3.3764,3.3114,3.6895,2.9333,5.2244,4.7109,4.3548,3.7135,3.4827,3.3629,1.6746,0.2943,0.0916,0.0594,0.151,67.5065,76.1045,5.902,55.7478,3.1839,53282775.5522,129429010.0
2006-09-13,3.985,2091720.0,GRF.MC,3.925,3.789,3.705,3.535,3.4186,3.3301,3.9508,3.873,3.8023,3.6562,3.5487,3.3985,4.0004,3.976,3.9407,3.814,3.7152,3.5809,3.8757,3.8458,3.7973,3.6794,3.5972,3.3961,97.4562,92.9976,89.1717,79.71,74.5492,68.6643,86.4136,76.2588,65.2204,39.1692,29.5061,22.1245,0.315,0.495,0.46,0.835,0.885,0.785,75.3846,88.6726,106.902,168.5739,185.5162,282.1106,-0.0938,-0.0938,-0.0938,-0.0938,-0.0938,-0.0938,94.9124,85.9953,78.3435,59.42,49.0983,37.3285,1.0858,1.1418,1.1305,1.2651,1.2855,1.2453,0.0,100.0,100.0,0.0,100.0,14.2857,14.2857,100.0,4.7619,100.0,52.381,100.0,96.6888,91.9804,87.4674,72.9867,62.129,43.8279,0.8116,1.9559,3.006,6.1996,8.4897,12.4799,48.2109,46.8208,44.9643,39.7007,36.3452,31.9545,0.0047,0.0177,0.0359,0.1284,0.2473,0.6955,0.2766,0.4243,0.5372,0.8222,1.0587,1.7807,3.7891,3.925,4.0609,3.789,3.4235,4.1545,3.2975,4.1125,3.705,4.0169,3.535,3.0531,3.9345,2.9027,3.4186,3.3301,3.7586,2.9017,4.7994,4.5481,4.2829,3.7134,3.4873,3.3578,1.6977,0.3013,0.1079,0.065,0.1728,75.0321,82.7555,6.6983,54.4399,3.2259,52629113.0522,131520730.0
2006-09-14,3.875,2152068.0,GRF.MC,3.94,3.864,3.7586,3.5871,3.4557,3.3457,3.9258,3.9017,3.8448,3.7016,3.5902,3.4238,3.9292,3.9534,3.9464,3.854,3.7601,3.6179,3.8757,3.8516,3.8117,3.7147,3.6364,3.4188,58.956,69.7287,72.2798,70.9734,68.6455,65.6781,67.7923,71.2722,64.0586,40.3841,30.5117,22.5117,0.045,0.375,0.375,0.73,0.78,0.655,-88.764,27.1669,55.0692,107.1849,138.2014,215.4353,-0.7222,-0.7222,-0.7222,-0.7222,-0.7222,-0.7222,17.9121,39.4575,44.5595,41.9469,37.291,31.3563,1.0117,1.1071,1.1071,1.2321,1.252,1.2034,0.0,66.6667,80.0,0.0,85.7143,0.0,7.1429,92.8571,0.0,95.2381,50.0,97.619,30.5497,51.326,57.0879,56.1787,50.6245,38.3889,17.4404,12.0645,10.4467,10.186,11.1882,13.7706,32.7837,37.508,38.2423,36.3029,34.1306,30.931,0.0981,0.1092,0.1258,0.2142,0.3305,0.7739,0.1844,0.3394,0.4605,0.7635,1.0083,1.7383,3.8458,3.94,4.0342,3.864,3.6399,4.0881,3.3751,4.142,3.7586,4.0464,3.5871,3.1279,3.9852,2.9262,3.4557,3.3457,3.8037,2.8878,4.8388,4.6708,4.4388,3.8778,3.6367,3.4815,1.7195,0.3084,0.1221,0.0571,0.1792,78.9878,78.1032,7.3438,51.2388,3.2778,51433519.7189,129368662.0
2006-09-15,3.875,766990.0,GRF.MC,3.9117,3.905,3.8136,3.63,3.4876,3.3621,3.8933,3.9053,3.8739,3.74,3.6283,3.4484,3.8978,3.9347,3.9451,3.8844,3.7981,3.6522,3.8755,3.8545,3.8244,3.7399,3.666,3.4425,58.956,69.7287,72.2798,70.9734,68.6455,65.6781,55.3781,67.283,63.0628,41.5123,31.4695,22.8898,-0.085,0.205,0.385,0.6,0.67,0.69,-68.75,-36.7965,32.5203,81.9421,116.9412,184.3851,-0.5714,-0.5714,-0.5714,-0.5714,-0.5714,-0.5714,17.9121,39.4575,44.5595,41.9469,37.291,31.3563,0.9785,1.0559,1.1103,1.1832,1.209,1.2166,66.6667,33.3333,60.0,0.0,71.4286,0.0,0.0,85.7143,0.0,90.4762,47.619,95.2381,30.5497,51.326,57.0879,56.1787,50.6245,38.3889,14.697,11.0008,9.7832,9.8336,10.9166,13.5971,27.6268,34.2012,35.8132,35.0467,33.3021,30.5413,0.0654,0.0873,0.1078,0.1989,0.3148,0.7555,0.1229,0.2715,0.3947,0.709,0.9603,1.6969,3.808,3.9117,4.0154,3.905,3.7889,4.0211,3.495,4.1321,3.8136,4.0765,3.63,3.1835,4.0334,2.9419,3.4876,3.3621,3.8447,2.8796,3.828,4.0979,4.0628,3.7299,3.5495,3.4416,1.741,0.3156,0.1341,0.048,0.1821,75.4183,65.3962,7.4677,50.4686,3.3265,51214379.7189,129368662.0
2006-09-18,3.895,737368.0,GRF.MC,3.8817,3.918,3.87,3.6739,3.5217,3.3788,3.885,3.902,3.8943,3.7753,3.6653,3.4732,3.8993,3.9308,3.9488,3.9121,3.8336,3.6856,3.88,3.8562,3.8388,3.7646,3.6979,3.4664,64.6664,71.7377,73.5211,71.6291,69.1354,65.9606,47.1019,64.0916,62.2092,42.5599,32.3816,23.2588,-0.09,0.065,0.395,0.615,0.715,0.7,-28.5714,-63.1399,14.4928,71.7705,104.3069,169.2816,0.6429,0.6429,0.6429,0.6429,0.6429,0.6429,29.3327,43.4754,47.0422,43.2583,38.2709,31.9212,0.9774,1.017,1.1129,1.1875,1.2248,1.2191,33.3333,0.0,40.0,0.0,57.1429,0.0,7.1429,78.5714,28.5714,85.7143,45.2381,92.8571,30.5497,51.326,57.0879,56.1787,50.6245,38.3889,11.8913,9.9088,9.1082,9.4803,10.6452,13.4238,22.3527,30.8062,33.3423,33.7876,32.4743,30.1522,0.0436,0.0699,0.0924,0.1847,0.2998,0.7375,0.082,0.2172,0.3383,0.6583,0.9145,1.6565,3.8628,3.8817,3.9005,3.918,3.8264,4.0096,3.6794,4.0606,3.87,4.0943,3.6739,3.2535,4.0755,2.9678,3.5217,3.3788,3.8849,2.8727,3.138,3.6209,3.7212,3.574,3.4487,3.3852,1.7625,0.3228,0.1441,0.0398,0.1839,62.987,45.4616,7.8317,50.8162,3.3723,51425056.2903,130106030.0
2006-09-19,3.925,1067378.0,GRF.MC,3.8983,3.911,3.9064,3.7068,3.5545,3.3936,3.9067,3.9043,3.908,3.8088,3.702,3.4986,3.9211,3.9418,3.9606,3.94,3.8687,3.7192,3.9,3.8584,3.8518,3.785,3.7286,3.4878,73.0901,74.8653,75.4453,72.628,69.8768,66.3856,52.1272,63.8122,62.4547,43.7896,33.3845,23.6617,0.05,-0.035,0.255,0.46,0.69,0.62,100.0,26.3789,41.5377,75.8759,103.144,168.4534,-0.7222,-0.7222,-0.7222,-0.7222,-0.7222,-0.7222,46.1802,49.7306,50.8907,45.2559,39.7536,32.7713,1.0129,0.9912,1.0695,1.1328,1.2133,1.1876,0.0,0.0,20.0,40.0,42.8571,0.0,0.0,71.4286,23.8095,80.9524,42.8571,90.4762,62.1778,62.695,63.9277,59.7756,53.4425,40.1807,8.5633,8.4807,8.2112,9.0073,10.2811,13.1902,36.7187,36.986,37.3152,35.778,33.8841,30.9099,0.0291,0.0559,0.0792,0.1715,0.2855,0.7199,0.1246,0.2438,0.36,0.6813,0.941,1.6871,3.8572,3.8983,3.9394,3.911,3.8284,3.9936,3.8069,4.006,3.9064,4.1286,3.7068,3.2849,4.1183,2.9908,3.5545,3.3936,3.9257,2.8614,2.8828,3.3587,3.511,3.4663,3.3747,3.337,1.7842,0.3301,0.1524,0.0333,0.1856,49.108,36.4661,7.8543,46.9658,3.4154,50950666.0681,131173408.0
2006-09-20,3.855,1123870.0,GRF.MC,3.8917,3.885,3.91,3.7418,3.5838,3.4056,3.885,3.8857,3.8952,3.8285,3.7293,3.5201,3.875,3.9059,3.9344,3.9433,3.886,3.7438,3.8988,3.8578,3.8518,3.7954,3.7418,3.5005,39.8437,56.5974,62.9852,66.725,65.9931,64.4616,35.9661,56.2354,58.9932,44.0046,33.9265,23.9584,-0.02,-0.13,0.025,0.49,0.615,0.505,-73.2394,-87.6068,-89.2791,45.4133,75.4367,135.422,-0.7368,-0.7368,-0.7368,-0.7368,-0.7368,-0.7368,-20.3126,13.1948,25.9705,33.45,31.9863,28.9233,0.9948,0.9674,1.0065,1.1456,1.1898,1.1507,100.0,66.6667,0.0,100.0,28.5714,0.0,0.0,64.2857,19.0476,76.1905,40.4762,88.0952,3.644,25.928,38.2242,46.7994,44.7672,36.1254,27.8179,18.4344,14.9585,12.305,12.4795,14.2499,25.8619,31.3399,33.4697,33.9538,32.7092,30.3684,0.0894,0.1147,0.1379,0.2293,0.3419,0.7728,0.0831,0.195,0.3085,0.6326,0.8962,1.6469,3.8343,3.8917,3.949,3.885,3.8377,3.9323,3.8204,3.9996,3.91,4.1238,3.7418,3.3597,4.143,3.0246,3.5838,3.4056,3.9558,2.8554,2.7782,3.2286,3.4161,3.4532,3.3897,3.3754,1.8049,0.3375,0.1578,0.0215,0.1793,35.3467,24.1123,7.7454,44.308,3.4559,50418306.5944,130049538.0
2006-09-21,3.88,1023870.0,GRF.MC,3.8867,3.886,3.8986,3.7689,3.6164,3.4158,3.8792,3.884,3.8877,3.847,3.7562,3.5421,3.8772,3.8982,3.9256,3.9505,3.9044,3.7686,3.8984,3.858,3.8534,3.8056,3.7593,3.5117,51.6304,60.8609,65.3684,67.7336,66.6874,64.8345,34.9261,45.9453,53.7442,43.5877,34.1623,24.1809,-0.015,0.005,-0.08,0.38,0.685,0.43,-67.7419,-104.6748,-96.1283,32.6024,63.4532,121.3305,0.1739,0.1739,0.1739,0.1739,0.1739,0.1739,3.2608,21.7219,30.7367,35.4673,33.3749,29.669,0.9961,1.0013,0.9798,1.1086,1.2144,1.1246,100.0,33.3333,0.0,100.0,14.2857,100.0,0.0,57.1429,14.2857,71.4286,38.0952,85.7143,32.846,4.7851,22.2503,38.1677,38.8783,33.3036,33.2886,23.1338,18.5819,14.2478,13.788,14.8713,16.8275,25.459,29.2174,31.8376,31.3285,29.7227,0.1096,0.1418,0.1682,0.2629,0.3756,0.8044,0.0554,0.156,0.2645,0.5875,0.8535,1.6077,3.8287,3.8867,3.9446,3.886,3.8394,3.9326,3.8174,3.9798,3.8986,4.1319,3.7689,3.4059,4.1608,3.072,3.6164,3.4158,3.9846,2.8471,2.8282,3.159,3.3327,3.3975,3.3486,3.3444,1.8256,0.3449,0.1611,0.0132,0.1743,30.9069,32.1422,7.721,45.085,3.4939,51175080.0727,131073408.0
2006-09-22,3.915,485722.0,GRF.MC,3.8833,3.894,3.8886,3.7968,3.6529,3.429,3.8933,3.8937,3.8918,3.8664,3.7834,3.5653,3.9047,3.9122,3.9331,3.9633,3.9255,3.7947,3.8987,3.8602,3.8561,3.819,3.7833,3.5288,65.7309,66.6022,68.6637,69.1438,67.6581,65.3558,25.1925,40.7387,50.447,43.4387,34.4947,24.4279,-0.01,0.04,-0.07,0.39,0.765,0.555,93.5484,-5.2083,-13.7731,40.6173,65.8777,120.8864,0.25,0.25,0.25,0.25,0.25,0.25,31.4617,33.2045,37.3274,38.2877,35.3162,30.7116,0.9975,1.0103,0.9824,1.1106,1.2429,1.1652,66.6667,0.0,40.0,80.0,0.0,85.7143,7.1429,50.0,9.5238,66.6667,35.7143,83.3333,5.7252,19.9124,30.6638,41.5016,41.1409,34.5543,20.3238,17.9953,15.7414,13.1716,13.0821,14.4872,22.7923,26.9437,29.6646,31.8607,31.3702,29.7852,0.0731,0.1134,0.1442,0.2441,0.3578,0.7852,0.0819,0.1698,0.2717,0.5905,0.8579,1.6144,3.8341,3.8833,3.9325,3.894,3.844,3.944,3.843,3.9342,3.8886,4.1399,3.7968,3.4536,4.1692,3.1365,3.6529,3.429,4.0175,2.8406,3.0606,3.2198,3.3419,3.3821,3.3309,3.3207,1.8465,0.3524,0.1631,0.0081,0.1711,32.6869,41.8061,7.8893,51.1465,3.5297,51487329.9298,131559130.0
