date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Down 5,Aroon Up 5,Aroon Down 7,Aroon Up 7,Aroon Down 14,Aroon Up 14,Aroon Down 21,Aroon Up 21,Aroon Up 42,Aroon Down 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Upper Band 3,Real Middle Band 3,Real Lower Band 3,Real Upper Band 5,Real Lower Band 5,Real Middle Band 5,Real Middle Band 7,Real Lower Band 7,Real Upper Band 7,Real Lower Band 14,Real Upper Band 14,Real Middle Band 14,Real Middle Band 21,Real Lower Band 21,Real Upper Band 21,Real Lower Band 42,Real Middle Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2011-05-23,2.699,6228366.0,IAG.MC,2.7913,2.7834,2.786,2.7969,2.7509,2.6493,2.7682,2.7783,2.7828,2.7962,2.7835,2.7036,2.7359,2.7587,2.7753,2.8128,2.8081,2.7368,2.8006,2.7609,2.7321,2.742,2.7158,2.6029,20.6064,31.5544,38.3901,47.5306,48.5648,44.8722,46.4488,27.1165,23.4426,20.7013,19.8568,29.2271,-0.076,-0.125,-0.129,0.034,0.174,0.139,-100.0,-134.4367,-183.5518,-108.6909,-18.9937,47.4236,-0.6118,-0.6118,-0.6118,-0.6118,-0.6118,-0.6118,-58.7871,-36.8913,-23.2199,-4.9388,-2.8704,-10.2556,0.9726,0.9557,0.9544,1.0128,1.0689,1.0543,66.6667,100.0,100.0,80.0,100.0,0.0,7.1429,50.0,9.5238,66.6667,83.3333,35.7143,54.2315,34.2152,20.2813,2.8388,3.2147,15.754,42.8591,33.2699,28.8766,24.1083,23.9051,26.4576,12.7185,16.3071,19.1385,22.7773,22.4161,19.2559,0.1183,0.144,0.1711,0.2783,0.4184,0.9869,0.0351,0.0706,0.1134,0.263,0.3924,0.7183,2.9219,2.7913,2.6608,2.8865,2.6803,2.7834,2.786,2.6922,2.8798,2.6835,2.9102,2.7969,2.7509,2.5656,2.9362,2.3968,2.6493,2.9017,3.4099,3.2072,3.1361,3.0574,3.0978,3.3255,0.25,1.3806,-0.0069,0.0431,0.05,56.9682,57.1877,3.7646,44.1443,2.6763,-195962563.3681,-271815147.0
2011-05-24,2.64,8590420.0,IAG.MC,2.7253,2.7578,2.7687,2.7947,2.7573,2.6526,2.6925,2.7305,2.7463,2.7753,2.7735,2.7032,2.6577,2.6888,2.7148,2.7748,2.784,2.7286,2.7292,2.7459,2.7262,2.7411,2.7144,2.6034,14.2426,24.9894,32.3778,43.551,45.8062,43.6084,56.098,32.9951,26.0109,20.4594,19.5358,29.007,-0.198,-0.128,-0.121,-0.03,0.135,0.141,-89.7611,-127.6839,-172.1914,-222.6087,-103.7471,-1.3903,-0.2874,-0.2874,-0.2874,-0.2874,-0.2874,-0.2874,-71.5148,-50.0213,-35.2443,-12.8981,-8.3876,-12.7833,0.9302,0.9538,0.9562,0.9888,1.0539,1.0564,33.3333,100.0,100.0,60.0,100.0,71.4286,100.0,42.8571,4.7619,61.9048,80.9524,33.3333,75.3963,56.5099,41.4209,17.3148,13.116,19.984,61.3415,46.7926,39.3804,29.8652,27.7206,28.1929,8.6047,13.0025,16.3121,21.0494,21.2921,18.8015,0.1669,0.2032,0.2347,0.3465,0.4865,1.0514,0.0234,0.0565,0.0972,0.2442,0.3737,0.7012,2.8904,2.7253,2.5602,2.9136,2.602,2.7578,2.7687,2.6294,2.9081,2.6712,2.9183,2.7947,2.7573,2.5992,2.9155,2.4046,2.6526,2.9007,3.4352,3.2898,3.2244,3.1406,3.175,3.3982,0.2557,1.3931,-0.0167,0.0291,0.0458,30.7496,51.4523,2.9263,46.05,2.89,-198826036.7014,-280405567.0
2011-05-25,2.71,7170360.0,IAG.MC,2.683,2.7448,2.7524,2.7904,2.763,2.656,2.6848,2.7146,2.7316,2.764,2.7692,2.7058,2.6862,2.6912,2.7068,2.7613,2.7751,2.7273,2.7269,2.7447,2.7253,2.7407,2.7143,2.6046,44.6587,42.6767,44.4251,49.0062,49.3876,45.4749,57.4785,35.9886,27.3945,20.0554,19.1523,28.7723,-0.127,-0.065,-0.114,-0.06,0.12,0.14,-12.0968,-60.4691,-83.5209,-154.3244,-87.333,16.0883,0.908,0.908,0.908,0.908,0.908,0.908,-10.6825,-14.6466,-11.1498,-1.9875,-1.2247,-9.0503,0.9552,0.9766,0.9596,0.9783,1.0463,1.0545,0.0,66.6667,80.0,40.0,85.7143,57.1429,92.8571,35.7143,0.0,57.1429,78.5714,30.9524,60.2395,47.9624,35.6963,14.803,11.483,19.1483,41.4563,37.4212,33.6487,27.6334,26.3491,27.5349,10.2866,13.1608,15.9454,20.5072,20.9211,18.6846,0.1113,0.1626,0.2011,0.3217,0.4633,1.0264,0.0276,0.0572,0.0953,0.2387,0.3679,0.6965,2.7445,2.683,2.6215,2.9035,2.5861,2.7448,2.7524,2.6161,2.8888,2.6598,2.9211,2.7904,2.763,2.6217,2.9044,2.4087,2.656,2.9033,3.3011,3.2059,3.151,3.0702,3.0985,3.3081,0.2615,1.4063,-0.018,0.0234,0.0413,16.9312,34.883,2.2565,45.8735,2.8872,-191655676.7014,-273235207.0
2011-05-26,2.733,5455072.0,IAG.MC,2.6943,2.7238,2.7474,2.7805,2.7644,2.659,2.7098,2.7107,2.7267,2.7564,2.7664,2.7094,2.7165,2.7071,2.7125,2.7559,2.7713,2.7281,2.7271,2.7438,2.7254,2.7404,2.7144,2.6061,52.8932,47.738,47.9778,50.6924,50.5159,46.0756,45.3263,34.0693,26.5335,19.2333,18.5933,28.4934,0.034,-0.105,-0.035,-0.139,0.028,0.127,100.0,5.0076,-20.9219,-72.7776,-41.2591,43.4466,0.1,0.1,0.1,0.1,0.1,0.1,5.7865,-4.5239,-4.0443,1.3847,1.0317,-7.8488,1.0126,0.963,0.9874,0.9516,1.0104,1.0487,0.0,33.3333,60.0,20.0,71.4286,42.8571,85.7143,28.5714,0.0,52.381,76.1905,28.5714,21.022,26.3918,21.367,8.5458,7.4126,17.0603,35.5033,34.4475,31.7874,26.8873,25.8854,27.3098,23.1692,20.0616,20.5949,22.6536,22.3127,19.3495,0.0742,0.13,0.1724,0.2987,0.4413,1.002,0.0484,0.0757,0.1117,0.2517,0.3804,0.7099,2.7734,2.6943,2.6152,2.8526,2.595,2.7238,2.7474,2.6112,2.8837,2.6551,2.9059,2.7805,2.7644,2.6248,2.904,2.4111,2.659,2.9069,2.5481,2.7627,2.8349,2.9053,2.9784,3.2283,0.2673,1.4196,-0.0167,0.0204,0.0372,33.0688,26.9165,1.588,48.531,2.8844,-188746304.9681,-267780135.0
2011-05-27,2.72,2532965.0,IAG.MC,2.721,2.7004,2.7396,2.7711,2.7665,2.6614,2.7227,2.7094,2.7199,2.7483,2.7624,2.7122,2.7185,2.7098,2.7114,2.7483,2.7655,2.7277,2.7252,2.7417,2.7253,2.7396,2.7145,2.6072,46.9681,44.9349,46.0372,49.6922,49.8563,45.7835,30.2779,30.1678,24.664,18.2203,17.9521,28.1931,0.08,-0.117,-0.055,-0.131,0.044,0.099,53.1469,58.7456,-11.7042,-58.1087,-43.251,42.8079,-0.2667,-0.2667,-0.2667,-0.2667,-0.2667,-0.2667,-6.0638,-10.1302,-7.9257,-0.6156,-0.2874,-8.4329,1.0303,0.9588,0.9802,0.9541,1.0164,1.0378,100.0,0.0,40.0,0.0,57.1429,28.5714,78.5714,21.4286,85.7143,47.619,73.8095,26.1905,0.1811,14.5618,13.447,5.0517,5.1287,15.8814,26.8336,29.9805,28.9819,25.7635,25.1873,26.9709,26.7366,22.3589,22.1114,23.2857,22.7298,19.5782,0.0494,0.104,0.1478,0.2774,0.4203,0.9781,0.0493,0.0776,0.1127,0.2507,0.3793,0.71,2.7398,2.721,2.7022,2.7648,2.636,2.7004,2.7396,2.6043,2.8749,2.6487,2.8936,2.7711,2.7665,2.631,2.902,2.4131,2.6614,2.9096,2.2583,2.5516,2.6779,2.8289,2.9289,3.2059,0.2731,1.4326,-0.0162,0.0169,0.0331,50.2347,33.4116,0.9721,46.5289,2.8817,-190378660.1903,-270313100.0
2011-05-30,2.73,567796.0,IAG.MC,2.7277,2.7066,2.7241,2.764,2.7683,2.6643,2.7272,2.7193,2.7175,2.7428,2.7591,2.7154,2.7268,2.7177,2.7156,2.7445,2.762,2.7283,2.7257,2.7413,2.7257,2.7393,2.7146,2.6085,53.0381,47.8778,47.9274,50.5012,50.3796,46.053,21.227,27.2786,23.1713,17.3073,17.3533,27.9024,0.02,0.031,-0.108,-0.1,0.038,0.122,-80.0,52.6005,2.6873,-51.4049,-50.8811,39.1492,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,6.0763,-4.2445,-4.1451,1.0024,0.7591,-7.894,1.0074,1.0115,0.9619,0.9647,1.0141,1.0468,66.6667,0.0,20.0,0.0,42.8571,14.2857,71.4286,14.2857,80.9524,42.8571,71.4286,23.8095,3.1251,15.7218,14.2154,5.4374,5.3772,15.9834,22.8755,27.7068,27.5485,25.2072,24.8442,26.8003,21.489,20.1784,20.6911,22.6074,22.3086,19.4137,0.035,0.0852,0.1287,0.2596,0.4023,0.9568,0.0328,0.0621,0.0966,0.2328,0.3612,0.6931,2.7388,2.7277,2.7166,2.7751,2.6381,2.7066,2.7241,2.6152,2.8331,2.6445,2.8835,2.764,2.7683,2.6358,2.9007,2.4157,2.6643,2.9128,1.8663,2.2536,2.4439,2.6957,2.8316,3.1442,0.2789,1.4456,-0.0147,0.0147,0.0294,64.3084,49.204,0.384,44.6531,2.879,-190189394.857,-269745304.0
2011-05-31,2.699,4514913.0,IAG.MC,2.7163,2.7184,2.7044,2.7544,2.7644,2.6655,2.7128,2.7167,2.7112,2.7342,2.7528,2.7171,2.7065,2.7054,2.7053,2.7337,2.7536,2.726,2.7204,2.7374,2.7232,2.7377,2.7144,2.6091,34.6148,39.6637,42.5383,47.9281,48.7245,45.3374,23.2816,21.892,20.4303,16.1589,16.6553,27.5864,-0.034,0.059,-0.138,-0.134,-0.081,0.053,-100.0,10.2421,27.6619,-52.5973,-55.5282,33.0927,-0.6833,-0.6833,-0.6833,-0.6833,-0.6833,-0.6833,-30.7704,-20.6726,-14.9234,-4.1437,-2.551,-9.3251,0.9876,1.0223,0.9514,0.9527,0.9709,1.02,100.0,100.0,0.0,100.0,28.5714,0.0,64.2857,7.1429,76.1905,38.0952,69.0476,21.4286,27.391,0.3458,3.9844,1.2306,2.6937,14.6311,14.3979,22.2757,23.9577,23.7189,23.9137,26.3467,25.2608,22.4303,22.1217,23.1422,22.6591,19.6211,0.0233,0.0682,0.1103,0.241,0.3831,0.934,0.0409,0.0687,0.1018,0.2352,0.363,0.6956,2.7422,2.7163,2.6905,2.7437,2.6931,2.7184,2.7044,2.6461,2.7628,2.6371,2.8717,2.7544,2.7644,2.6289,2.9,2.4168,2.6655,2.9143,1.9995,2.2682,2.4364,2.6907,2.8336,3.1576,0.2848,1.4581,-0.0153,0.0103,0.0256,66.7983,60.4472,-0.0762,39.1623,2.8763,-194704307.857,-274260217.0
2011-06-01,2.671,2430388.0,IAG.MC,2.7,2.7106,2.7004,2.7432,2.7647,2.6673,2.6902,2.7009,2.7029,2.723,2.7443,2.7173,2.6785,2.6836,2.6869,2.718,2.7412,2.7213,2.7085,2.7319,2.7222,2.7347,2.7142,2.6096,23.5376,33.2275,38.0319,45.665,47.2522,44.6949,23.183,21.5321,19.9114,15.5127,16.1661,27.3131,-0.049,-0.039,-0.028,-0.157,0.006,0.074,-100.0,-166.6667,-33.5471,-81.149,-86.9037,14.4034,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-52.9248,-33.5449,-23.9362,-8.6701,-5.4955,-10.6103,0.982,0.9856,0.9896,0.9445,1.0023,1.0285,66.6667,100.0,0.0,80.0,14.2857,0.0,57.1429,0.0,71.4286,33.3333,66.6667,19.0476,22.9858,20.0922,16.7982,7.1123,6.3827,16.1077,26.0823,27.165,27.0146,25.1158,24.7902,26.7006,16.3328,18.0752,19.244,21.7804,21.8155,19.2922,0.0435,0.0825,0.1225,0.2518,0.3929,0.9398,0.0273,0.0549,0.0873,0.2184,0.3457,0.679,2.7482,2.7,2.6518,2.7568,2.6644,2.7106,2.7004,2.6375,2.7634,2.6262,2.8603,2.7432,2.7647,2.63,2.8994,2.4195,2.6673,2.9151,2.0833,2.2753,2.4258,2.6825,2.8321,3.1673,0.2908,1.4702,-0.0168,0.0046,0.0214,45.7964,58.9677,-0.6524,42.5805,2.8737,-197134695.857,-276690605.0
2011-06-02,2.65,3086141.0,IAG.MC,2.6733,2.694,2.7019,2.7353,2.7638,2.6689,2.6652,2.6807,2.6902,2.7106,2.7338,2.7165,2.6539,2.6609,2.6664,2.7001,2.7268,2.715,2.6825,2.7071,2.7215,2.7319,2.7138,2.6099,17.3069,28.8402,34.8056,43.9873,46.154,44.2134,36.3222,26.239,22.0524,15.5944,15.9961,27.1076,-0.08,-0.083,0.01,-0.111,-0.02,0.069,-100.0,-135.6784,-141.813,-124.083,-132.4844,-12.7185,0.0,0.0,0.0,0.0,0.0,0.0,-65.3863,-42.3197,-30.3888,-12.0254,-7.692,-11.5732,0.9707,0.9696,1.0038,0.9598,0.9925,1.0267,33.3333,100.0,100.0,60.0,0.0,71.4286,50.0,35.7143,66.6667,28.5714,64.2857,16.6667,62.6007,45.0668,34.8984,16.6566,12.5957,18.6807,47.5236,38.926,34.9337,28.7858,27.115,27.7122,10.9308,14.7403,16.8589,20.5655,21.0485,18.9882,0.079,0.116,0.155,0.2838,0.4241,0.9674,0.0182,0.0439,0.0748,0.2028,0.3293,0.6629,2.7135,2.6733,2.6332,2.7537,2.6343,2.694,2.7019,2.6443,2.7595,2.6094,2.8611,2.7353,2.7638,2.6261,2.9014,2.4225,2.6689,2.9153,2.0917,2.2498,2.3922,2.6588,2.8175,3.1658,0.2967,1.482,-0.0184,-0.0017,0.0168,25.6323,46.0757,-0.9335,46.1122,2.871,-196966360.8933,-279776746.0
2011-06-03,2.662,4210693.0,IAG.MC,2.661,2.6824,2.695,2.7237,2.7586,2.6718,2.6595,2.6701,2.6803,2.7008,2.7246,2.7162,2.6558,2.6562,2.659,2.6888,2.7164,2.7102,2.6787,2.6997,2.7171,2.7276,2.7127,2.6105,32.5998,34.9731,38.2953,45.2257,46.8946,44.563,48.9359,32.0342,25.081,16.0293,15.9958,26.9416,-0.037,-0.058,-0.048,-0.162,-0.108,0.122,-61.1111,-90.301,-116.1189,-120.5533,-125.7314,-18.6911,0.3704,0.3704,0.3704,0.3704,0.3704,0.3704,-34.8004,-30.0537,-23.4095,-9.5487,-6.2108,-10.8741,0.9863,0.9787,0.9823,0.9426,0.961,1.048,0.0,100.0,100.0,40.0,100.0,57.1429,100.0,28.5714,100.0,23.8095,61.9048,14.2857,74.1631,55.2148,43.2521,21.6829,15.9911,20.136,42.5752,38.1341,35.0863,29.3561,27.563,27.9,6.316,11.0031,13.8991,18.894,19.9631,18.5474,0.0817,0.1218,0.1619,0.2926,0.433,0.9734,0.0121,0.0352,0.0641,0.1883,0.3136,0.6471,2.6782,2.661,2.6438,2.7399,2.6249,2.6824,2.695,2.6318,2.7582,2.6029,2.8445,2.7237,2.7586,2.6144,2.9029,2.4287,2.6718,2.915,2.4025,2.4003,2.4759,2.6751,2.8161,3.1489,0.3027,1.4938,-0.0179,-0.0056,0.0123,20.9769,30.8019,-1.2565,43.2775,2.8684,-193899312.9057,-275566053.0
