date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Up 5,Aroon Down 5,Aroon Down 7,Aroon Up 7,Aroon Down 14,Aroon Up 14,Aroon Up 21,Aroon Down 21,Aroon Up 42,Aroon Down 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Upper Band 3,Real Lower Band 3,Real Middle Band 3,Real Upper Band 5,Real Lower Band 5,Real Middle Band 5,Real Middle Band 7,Real Lower Band 7,Real Upper Band 7,Real Lower Band 14,Real Upper Band 14,Real Middle Band 14,Real Middle Band 21,Real Lower Band 21,Real Upper Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,MAMA,FAMA,MACD_Signal,MACD_Hist,MACD,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2018-03-09,28.21,85014.0,IFRX,28.1333,28.338,28.0971,29.0721,28.4557,25.651,28.165,28.3227,28.2432,28.4064,28.681,27.0814,28.2187,28.1886,28.1747,28.8124,29.305,29.636,28.5192,28.249,28.8306,28.4017,27.3008,26.5085,48.6309,48.6306,49.8765,53.8537,55.8196,58.2214,38.2397,41.8896,42.8734,41.8607,39.548,36.2146,-1.55,0.61,2.12,-0.65,5.46,5.38,-48.5437,-78.0878,-10.3338,-53.0791,-23.5203,48.8108,-0.2218,-0.2218,-0.2218,-0.2218,-0.2218,-0.2218,-2.7381,-2.7387,-0.247,7.7074,11.6391,16.4428,0.9479,1.0221,1.0813,0.9775,1.24,1.2357,0.0,100.0,20.0,0.0,0.0,0.0,35.7143,14.2857,42.8571,4.7619,71.4286,14.2857,18.735,31.1842,35.007,39.393,40.0916,39.5415,12.0397,12.8355,13.4166,13.7429,13.805,14.1461,17.591,24.4684,27.8696,31.608,32.282,32.6499,0.9625,1.8386,2.7469,5.3714,7.5525,13.2703,1.4062,3.505,5.706,12.354,17.661,30.6285,28.2969,27.9698,28.1333,29.8402,26.8358,28.338,28.0971,26.6124,29.5819,25.2671,32.8772,29.0721,28.4557,23.705,33.2064,25.651,19.0639,32.238,9.4459,10.1558,10.3682,9.8973,9.2442,7.9692,12.3506,2.0083,1.3286,-0.3572,0.9714,39.0673,38.5041,4.5543,44.7106,34.0782,-754835.6771,-739300.0
2018-03-12,30.46,50227.0,IFRX,28.9467,28.924,28.5357,29.005,28.8324,25.8248,29.3283,29.03,28.8339,28.5914,28.8632,27.3051,29.8964,29.4375,29.154,29.2956,29.6374,29.8791,29.3818,28.5042,29.0199,28.4229,27.4835,26.6301,80.778,68.7468,63.9982,60.662,60.4133,60.66,51.9817,46.9342,45.3888,42.6413,40.0384,36.4353,2.44,2.93,3.07,-0.94,7.91,7.3,100.0,150.0622,192.1521,73.9469,87.5409,106.5335,0.3191,0.3191,0.3191,0.3191,0.3191,0.3191,61.556,37.4936,27.9965,21.324,20.8265,21.32,1.0871,1.1064,1.1121,0.9701,1.3508,1.3152,100.0,66.6667,100.0,80.0,0.0,100.0,28.5714,7.1429,38.0952,0.0,69.0476,11.9048,79.4657,67.1128,60.4807,52.789,49.8461,45.4829,5.8706,8.622,10.1709,11.9058,12.4652,13.3308,51.308,43.8118,41.3019,38.5306,37.2425,35.5743,0.6416,1.4709,2.3545,4.9878,7.1929,12.9543,5.6078,7.4743,9.5612,16.1419,21.4903,34.5696,31.0871,26.8062,28.9467,30.9147,26.9333,28.924,28.5357,26.4525,30.6189,25.3359,32.6741,29.005,28.8324,24.817,32.8477,25.8248,19.1255,32.524,11.9607,11.2016,10.8571,9.8248,9.0291,7.6426,12.5317,2.0609,1.2779,-0.2029,1.075,40.9324,41.9921,3.0467,42.3161,33.9956,-773009.1885,-689073.0
2018-03-13,29.8,46183.0,IFRX,29.49,28.932,28.85,28.8486,29.1324,25.9948,29.755,29.322,29.15,28.6974,28.9512,27.49,29.9617,29.7396,29.4978,29.515,29.8045,30.0414,29.4478,28.5104,29.0687,28.4539,27.582,26.7245,63.3377,60.1151,58.3703,57.9606,58.5386,59.6144,50.3997,47.192,45.6654,42.8814,40.2749,36.5839,1.63,0.04,2.2,-2.19,6.3,7.14,5.6883,40.2507,55.089,31.1477,17.6505,74.169,-0.3515,-0.3515,-0.3515,-0.3515,-0.3515,-0.3515,26.6754,20.2302,16.7407,15.9213,17.0772,19.2288,1.0579,1.0013,1.0797,0.9315,1.2681,1.3151,66.6667,33.3333,80.0,60.0,0.0,85.7143,21.4286,0.0,33.3333,0.0,66.6667,9.5238,47.2358,48.223,47.3254,46.0024,45.005,42.6781,12.689,12.3447,12.6767,13.1446,13.331,13.8157,35.4079,35.3395,35.4554,35.5412,35.1498,34.3882,1.3398,2.0887,2.9301,5.5435,7.7624,13.5579,3.7385,5.9795,8.1953,14.9889,20.467,33.7465,31.3787,27.6013,29.49,30.9364,26.9276,28.932,28.85,26.7625,30.9375,25.532,32.1651,28.8486,29.1324,25.8881,32.3767,25.9948,19.2631,32.7264,11.8103,11.3557,11.0807,10.1093,9.3125,7.8873,12.7044,2.1141,1.2405,-0.1494,1.0912,41.476,43.932,1.3906,42.9442,33.9139,-767758.554,-735256.0
2018-03-14,29.08,130542.0,IFRX,29.78,29.144,29.0714,28.6471,29.191,26.1193,29.55,29.3713,29.2075,28.7283,28.9464,27.6335,29.3976,29.4805,29.395,29.5056,29.8175,30.123,29.4317,28.541,29.0691,28.4721,27.5959,26.7737,46.8025,51.3271,52.495,55.0791,56.5293,58.4878,49.3451,47.3982,45.9026,43.1043,40.5002,36.729,0.87,1.06,1.55,-2.82,1.23,5.23,-56.8917,15.2639,33.2399,38.9196,5.1259,68.1553,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,-0.4441,-6.3951,2.6543,4.99,10.1582,13.0586,16.9756,1.0308,1.0378,1.0563,0.9116,1.0442,1.2193,33.3333,0.0,60.0,40.0,57.1429,71.4286,14.2857,7.1429,28.5714,0.0,64.2857,7.1429,47.2358,48.223,47.3254,46.0024,45.005,42.6781,8.9416,10.1358,11.0338,12.2238,12.6577,13.403,24.951,29.0159,30.8604,33.0515,33.3744,33.3609,0.8932,1.671,2.5116,5.1475,7.3927,13.2351,2.4924,4.7836,7.0246,13.9183,19.4924,32.943,30.9071,28.6529,29.78,30.93,27.358,29.144,29.0714,27.2836,30.8592,25.7849,31.5093,28.6471,29.191,25.9974,32.3845,26.1193,19.3575,32.8811,11.45,11.3384,11.1821,10.3442,9.5717,8.1317,12.8681,2.1679,1.1992,-0.1652,1.034,42.9467,42.916,0.7082,44.3307,33.8329,-829268.1743,-865798.0
2018-03-15,30.06,62929.0,IFRX,29.6467,29.522,29.1143,28.5086,29.2033,26.2752,29.69,29.6767,29.4546,28.9167,29.0254,27.8168,29.9122,29.8653,29.7463,29.7349,29.9923,30.284,29.4492,28.6863,29.0775,28.5004,27.6086,26.8613,65.2986,61.0217,59.0417,58.1303,58.562,59.5536,48.642,47.5631,46.1058,43.3113,40.7147,36.8707,-0.4,1.89,0.3,-1.94,0.26,6.55,100.0,25.2847,48.0687,95.9621,23.7542,72.1736,0.5699,0.5699,0.5699,0.5699,0.5699,0.5699,30.5971,22.0435,18.0834,16.2606,17.1241,19.1071,0.9869,1.0671,1.0101,0.9394,1.0087,1.2786,0.0,33.3333,40.0,20.0,42.8571,57.1429,7.1429,0.0,23.8095,38.0952,61.9048,4.7619,47.2358,48.223,47.3254,46.0024,45.005,42.6781,6.9894,8.883,10.0735,11.6687,12.2481,13.1492,19.5035,25.4296,28.1744,31.5507,32.2945,32.7294,0.5954,1.3368,2.1528,4.7799,7.0407,12.92,1.6616,3.8269,6.021,12.9241,18.5641,32.1586,30.4757,28.8176,29.6467,31.1128,27.9312,29.522,29.1143,27.2498,30.9788,26.169,30.8482,28.5086,29.2033,25.9984,32.4083,26.2752,19.4594,33.091,9.447,10.0125,10.1562,9.7342,9.1134,7.8266,13.04,2.2223,1.1705,-0.1149,1.0556,42.6252,41.0275,0.2228,42.9613,33.7528,-813028.4324,-802869.0
2018-03-16,29.72,208396.0,IFRX,29.62,29.824,29.3571,28.6093,29.2495,26.4567,29.7267,29.7427,29.6061,29.0782,29.0724,27.977,29.8228,29.8691,29.8147,29.8283,30.0783,30.3989,29.4513,28.75,29.1222,28.5201,27.6263,26.9564,55.2938,56.1699,55.9223,56.6916,57.5812,59.0151,45.4033,47.063,46.0131,43.4468,40.8936,37.002,-0.08,1.51,1.7,1.41,0.97,7.62,-16.5714,-45.4841,19.299,65.7232,10.2815,64.7684,-0.0765,-0.0765,-0.0765,-0.0765,-0.0765,-0.0765,10.5875,12.3397,11.8446,13.3831,15.1623,18.0302,0.9973,1.0535,1.0607,1.0498,1.0337,1.3448,33.3333,0.0,20.0,0.0,28.5714,42.8571,0.0,14.2857,19.0476,33.3333,59.5238,2.381,38.9261,45.0625,45.4569,45.2075,44.4718,42.3869,6.5989,8.4389,9.6676,11.396,12.0387,13.0125,15.0106,22.283,25.7817,30.2009,31.3219,32.1594,0.487,1.1594,1.9352,4.5284,6.7954,12.7023,1.1077,3.0615,5.1609,12.001,17.6801,31.393,30.4326,28.8074,29.62,30.7296,28.9184,29.824,29.3571,27.6941,31.0202,26.1924,31.0262,28.6093,29.2495,26.0441,32.455,26.4567,19.6896,33.2237,8.2767,9.2457,9.622,9.5509,9.0511,7.8638,13.2068,2.2772,1.1431,-0.1097,1.0334,40.1758,36.5838,0.3406,44.2997,33.6735,-795866.4089,-1011265.0
2018-03-19,30.57,37701.0,IFRX,30.1167,29.846,29.7,28.7471,29.3124,26.6607,30.2017,29.9913,29.9093,29.3396,29.1924,28.1683,30.4122,30.3264,30.2192,30.1081,30.2939,30.5792,29.7069,28.7625,29.2631,28.5644,27.6563,27.0934,71.6072,64.8929,61.8077,59.3971,59.3676,59.9427,54.7616,49.8587,47.3788,43.8965,41.2123,37.173,1.49,0.11,2.4,1.93,1.32,8.57,100.0,134.9505,57.5499,90.3156,37.0697,73.3653,0.2497,0.2497,0.2497,0.2497,0.2497,0.2497,43.2143,29.7859,23.6153,18.7942,18.7353,19.8853,1.0512,1.0036,1.0852,1.0674,1.0451,1.3895,100.0,100.0,0.0,20.0,14.2857,28.5714,7.1429,7.1429,14.2857,28.5714,57.1429,0.0,73.4781,61.0417,55.5732,49.7425,47.5861,44.1828,3.7729,6.32,7.9584,10.3612,11.2664,12.528,24.6781,26.1251,27.8685,30.8714,31.7236,32.3614,0.3246,0.9275,1.6588,4.205,6.4718,12.3999,2.1235,3.8342,5.8086,12.5288,18.2232,32.0305,30.8153,29.418,30.1167,30.8154,28.8766,29.846,29.7,28.1733,31.2267,26.1273,31.367,28.7471,29.3124,26.058,32.5668,26.6607,19.9267,33.3947,9.3825,9.6017,9.7402,9.4831,8.9544,7.7502,13.3805,2.3327,1.1289,-0.0569,1.072,41.7696,47.6975,0.1873,46.2668,33.5949,-785072.7711,-973564.0
2018-03-20,30.85,108650.0,IFRX,30.38,30.056,30.0771,29.0871,29.4071,26.8607,30.5683,30.326,30.1968,29.62,29.3322,28.3632,30.809,30.7123,30.5911,30.3962,30.523,30.7685,29.8791,28.908,29.4317,28.7798,27.7021,27.2328,75.9445,67.552,63.6718,60.2774,59.951,60.2463,58.2984,51.4328,48.2751,44.2593,41.492,37.3336,0.79,1.05,2.64,4.76,1.99,8.4,42.5361,75.965,23.2834,74.8785,31.4559,69.6402,0.154,0.154,0.154,0.154,0.154,0.154,51.889,35.1041,27.3437,20.5549,19.902,20.4925,1.0263,1.0352,1.0936,1.1824,1.069,1.3742,66.6667,100.0,80.0,0.0,0.0,14.2857,0.0,0.0,9.5238,23.8095,54.7619,2.381,65.372,57.7292,53.6527,48.9755,47.0858,43.9174,3.2409,5.4256,7.0588,9.6962,10.743,12.1809,15.4776,20.2452,23.4017,28.3097,29.8623,31.2582,0.2964,0.822,1.5018,3.9846,6.2436,12.1847,1.4156,3.0673,4.9788,11.6338,17.3555,31.2679,31.341,29.419,30.38,31.3082,28.8038,30.056,30.0771,28.9596,31.1947,26.7108,31.4635,29.0871,29.4071,26.0956,32.7187,26.8607,20.1399,33.5815,9.8827,9.8224,9.852,9.5153,8.977,7.7602,13.5552,2.3888,1.1256,-0.0132,1.1124,46.8405,56.2402,0.145,51.6417,33.5172,-719755.3224,-864914.0
2018-03-21,29.86,90019.0,IFRX,30.4267,30.212,29.9914,29.2636,29.3338,27.0395,30.3083,30.2607,30.1425,29.723,29.3734,28.5027,30.176,30.3491,30.3834,30.3742,30.5432,30.8509,29.8789,28.9465,29.44,28.8204,27.7284,27.3146,41.9541,50.6101,53.0007,55.6807,56.9172,58.6366,60.1775,52.5911,49.0039,44.5888,41.7552,37.4895,0.14,0.78,-0.6,2.47,-1.54,7.51,-100.0,-46.9301,-11.1089,44.1204,18.3609,60.0368,-0.4823,-0.4823,-0.4823,-0.4823,-0.4823,-0.4823,-16.0918,1.2202,6.0013,11.3613,13.8343,17.2732,1.0047,1.0268,0.9803,1.0902,0.951,1.336,33.3333,100.0,60.0,100.0,14.2857,0.0,0.0,50.0,4.7619,19.0476,52.381,0.0,63.9357,57.2239,53.3766,48.8728,47.0204,43.8834,2.1883,4.3043,5.9986,8.9291,10.14,11.7821,9.9473,15.8205,19.7334,25.9999,28.1389,30.2094,0.2076,0.6676,1.2973,3.71,5.9563,11.9046,0.9438,2.4539,4.2676,10.8029,16.529,30.5234,31.26,29.5933,30.4267,31.0719,29.3521,30.212,29.9914,28.9131,31.0698,27.0567,31.4705,29.2636,29.3338,26.1357,32.5319,27.0395,20.4093,33.6698,10.5912,10.389,10.3464,9.9396,9.3736,8.0969,13.7182,2.4455,1.1109,-0.0586,1.0523,55.2248,61.7367,0.5423,53.5917,33.4402,-716834.3519,-954933.0
2018-03-22,30.61,43726.0,IFRX,30.44,30.322,30.1071,29.4786,29.2681,27.2193,30.4,30.3933,30.2971,29.9026,29.4894,28.6688,30.5012,30.55,30.5619,30.5352,30.6844,30.9918,29.8831,28.9933,29.4714,28.903,27.7605,27.4179,61.5234,60.0889,59.0644,58.2766,58.5843,59.4768,61.4302,53.5176,49.6286,44.8948,42.0059,37.6418,0.04,0.55,0.81,3.01,-1.38,7.55,53.2067,53.2787,75.612,65.8873,48.9661,65.7673,0.5231,0.5231,0.5231,0.5231,0.5231,0.5231,23.0467,20.1778,18.1288,16.5532,17.1687,18.9537,1.0013,1.0183,1.0272,1.1091,0.9569,1.3274,0.0,66.6667,40.0,80.0,0.0,57.1429,0.0,42.8571,0.0,14.2857,50.0,2.381,63.9357,57.2239,53.3766,48.8728,47.0204,43.8834,1.6094,3.6374,5.3428,8.4319,9.7438,11.5165,7.3159,13.3693,17.5763,24.5522,27.0393,29.5284,0.1384,0.5341,1.1119,3.445,5.6727,11.6211,0.6292,1.9631,3.6579,10.0312,15.7419,29.7967,31.2833,29.5967,30.44,31.216,29.428,30.322,30.1071,28.9639,31.2504,27.3779,31.5792,29.4786,29.2681,26.2388,32.2974,27.2193,20.621,33.8175,9.3652,9.594,9.7128,9.5343,9.0624,7.8874,13.8871,2.5027,1.0994,-0.0462,1.0532,59.8915,61.6976,0.6766,55.4507,33.364,-692136.3695,-911207.0
