date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Down 5,Aroon Up 5,Aroon Up 7,Aroon Down 7,Aroon Up 14,Aroon Down 14,Aroon Up 21,Aroon Down 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Lower Band 3,Real Middle Band 3,Real Upper Band 3,Real Lower Band 5,Real Upper Band 5,Real Middle Band 5,Real Middle Band 7,Real Lower Band 7,Real Upper Band 7,Real Middle Band 14,Real Lower Band 14,Real Upper Band 14,Real Lower Band 21,Real Middle Band 21,Real Upper Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD_Hist,MACD,MACD_Signal,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2017-03-03,3.83,1408585.0,IG.MI,3.8227,3.8028,3.7877,3.7949,3.7742,3.7429,3.826,3.8128,3.8025,3.7953,3.7905,3.7523,3.8316,3.8243,3.8187,3.8145,3.8112,3.8136,3.7991,3.7822,3.7729,3.7397,3.7055,3.7731,74.0647,66.1265,62.8704,57.8418,54.6683,50.0138,56.7236,37.2202,29.433,17.5286,10.7172,10.0276,0.076,0.08,0.04,0.036,0.178,0.01,100.0,117.1875,123.9673,146.7645,108.5814,103.5637,0.05,0.05,0.05,0.05,0.05,0.05,48.1293,32.2531,25.7408,15.6836,9.3367,0.0277,1.0202,1.0213,1.0106,1.0095,1.0487,1.0026,100.0,0.0,0.0,100.0,100.0,28.5714,100.0,64.2857,100.0,0.0,42.8571,100.0,74.1844,54.2329,44.4753,27.6129,16.8858,0.0967,4.4263,7.8286,9.5616,13.0437,15.7114,20.9337,29.865,26.3819,24.8794,22.995,22.0954,20.8933,0.0069,0.0218,0.0391,0.1192,0.2324,0.7163,0.0466,0.0735,0.1017,0.2102,0.3268,0.715,3.8047,3.8227,3.8407,3.7468,3.8588,3.8028,3.7877,3.7205,3.8549,3.7949,3.7413,3.8484,3.677,3.7742,3.8714,3.7429,3.5816,3.9041,1.3576,1.4539,1.5251,1.7063,1.8457,2.1512,0.3357,1.8967,0.0018,0.0287,0.027,67.4455,86.0718,1.6378,49.4521,3.6266,-88912370.0283,21303623.0
2017-03-06,3.858,1569946.0,IG.MI,3.8387,3.816,3.8031,3.7983,3.782,3.7439,3.8437,3.8312,3.8201,3.8037,3.7981,3.7577,3.8546,3.8464,3.8389,3.8286,3.8226,3.8217,3.8253,3.7911,3.7878,3.7421,3.7139,3.7737,84.1564,73.4911,68.3408,60.4542,56.3096,50.7285,66.9831,43.6686,33.4812,18.8203,11.2746,9.8496,0.048,0.066,0.108,0.048,0.164,0.044,100.0,113.8306,128.1893,181.2346,146.5207,126.8539,0.4,0.4,0.4,0.4,0.4,0.4,68.3128,46.9822,36.6816,20.9084,12.6192,1.457,1.0126,1.0174,1.0288,1.0126,1.0444,1.0115,100.0,0.0,20.0,100.0,100.0,14.2857,100.0,57.1429,100.0,0.0,40.4762,100.0,87.5022,69.4621,57.7702,35.6116,22.422,2.5535,2.5017,5.7598,7.7846,11.9202,14.8669,20.4441,37.5327,31.9625,29.0834,25.1057,23.4608,21.5156,0.0046,0.0174,0.0335,0.1107,0.2213,0.6993,0.0691,0.0968,0.1252,0.2332,0.3492,0.7359,3.8113,3.8387,3.8661,3.7468,3.8852,3.816,3.8031,3.7285,3.8778,3.7983,3.7359,3.8607,3.6855,3.782,3.8785,3.7439,3.5802,3.9076,1.5897,1.5694,1.594,1.721,1.8438,2.1341,0.3436,1.9163,0.004,0.032,0.028,79.3719,86.0718,1.4676,54.8836,3.6377,-88519883.5283,22873569.0
2017-03-07,3.882,1981277.0,IG.MI,3.8567,3.8416,3.822,3.8057,3.793,3.7454,3.8653,3.8532,3.8398,3.8149,3.8072,3.7641,3.8792,3.8709,3.862,3.8457,3.8365,3.8314,3.8505,3.8315,3.8066,3.7499,3.7305,3.7745,89.4396,78.4995,72.4062,62.5939,57.6883,51.3394,73.8228,48.8273,36.9511,20.0196,11.8054,9.6759,0.054,0.128,0.132,0.104,0.232,0.062,89.6552,107.1133,119.2897,176.3917,176.8246,142.0236,0.037,0.037,0.037,0.037,0.037,0.037,78.8792,56.999,44.8125,25.1878,15.3766,2.6787,1.0141,1.0341,1.0352,1.0275,1.0636,1.0162,66.6667,0.0,0.0,80.0,85.7143,0.0,92.8571,50.0,95.2381,9.5238,38.0952,97.619,87.5022,69.4621,57.7702,35.6116,22.422,2.5535,1.737,4.7097,6.7908,11.2178,14.3214,20.1188,26.0601,26.1352,25.3703,23.6264,22.5999,21.1732,0.0031,0.0139,0.0287,0.1028,0.2107,0.6826,0.046,0.0774,0.1073,0.2165,0.3326,0.7184,3.8142,3.8567,3.8992,3.7909,3.8923,3.8416,3.822,3.7439,3.9001,3.8057,3.7312,3.8803,3.7069,3.793,3.8792,3.7454,3.5779,3.9128,1.5169,1.526,1.5565,1.6876,1.8114,2.1036,0.3515,1.9359,0.0065,0.0361,0.0296,85.7568,85.1269,1.2202,60.1756,3.6527,-86832129.0468,24854846.0
2017-03-08,3.856,1733460.0,IG.MI,3.8653,3.8508,3.8311,3.8083,3.8019,3.7479,3.865,3.858,3.8483,3.8216,3.8129,3.7692,3.8665,3.8686,3.8649,3.8527,3.8438,3.8379,3.8509,3.8345,3.81,3.7516,3.7391,3.7754,58.0071,62.5072,62.2957,58.8773,55.6893,50.6426,56.2096,46.2566,36.9111,20.579,12.115,9.4746,0.026,0.046,0.064,0.036,0.186,0.106,-50.0,35.3376,61.9469,110.7143,139.5212,118.6636,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,16.0142,25.0145,24.5913,17.7547,11.3786,1.2852,1.0068,1.0121,1.0169,1.0094,1.0507,1.0283,33.3333,33.3333,0.0,60.0,71.4286,14.2857,85.7143,42.8571,90.4762,4.7619,35.7143,95.2381,20.9831,35.9741,36.6713,27.8506,18.3066,1.2214,10.6754,9.4998,9.8532,12.3196,14.8634,20.2346,16.3452,20.1751,21.2645,21.8307,21.5248,20.735,0.02,0.0292,0.0426,0.1135,0.2187,0.6844,0.0307,0.0619,0.092,0.2011,0.3167,0.7013,3.8417,3.8653,3.889,3.8108,3.8908,3.8508,3.8311,3.7543,3.908,3.8083,3.7296,3.887,3.7314,3.8019,3.8724,3.7479,3.5771,3.9187,1.6232,1.5921,1.6025,1.7073,1.8232,2.1105,0.3596,1.9551,0.0058,0.0368,0.031,84.184,81.3533,1.0148,60.932,3.6669,-86485437.0468,23121386.0
2017-03-09,3.89,2000160.0,IG.MI,3.876,3.8632,3.8506,3.814,3.8083,3.7505,3.8773,3.8711,3.863,3.8325,3.8209,3.7759,3.8862,3.885,3.8808,3.8665,3.8558,3.847,3.8543,3.843,3.83,3.7568,3.7465,3.7767,75.1427,71.8736,68.9174,62.0506,57.7018,51.5239,55.3992,47.3727,38.4348,21.4897,12.5847,9.3191,0.032,0.062,0.136,0.08,0.134,0.108,64.7059,92.9339,88.6724,127.5542,167.8822,132.7324,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,50.2854,43.7473,37.8347,24.1012,15.4037,3.0478,1.0083,1.0162,1.0362,1.021,1.0357,1.0286,100.0,0.0,0.0,100.0,100.0,0.0,100.0,35.7143,100.0,0.0,33.3333,100.0,53.7785,51.8369,47.5768,33.3293,21.9786,2.9434,6.042,6.8298,7.8266,11.0763,13.9105,19.6629,20.1017,21.5312,22.0328,22.1505,21.7476,20.8555,0.0134,0.0233,0.0365,0.1054,0.2083,0.6681,0.0445,0.0735,0.1028,0.2107,0.3257,0.7086,3.847,3.876,3.905,3.8207,3.9057,3.8632,3.8506,3.796,3.9051,3.814,3.7247,3.9033,3.7316,3.8083,3.885,3.7505,3.5745,3.9265,1.8953,1.7561,1.7141,1.7477,1.8387,2.101,0.3676,1.9745,0.0069,0.0397,0.0328,82.926,82.2978,0.829,68.185,3.6801,-85235337.0468,25121546.0
2017-03-10,3.876,1840732.0,IG.MI,3.874,3.8724,3.86,3.82,3.8127,3.754,3.8773,3.8753,3.8694,3.8408,3.8271,3.7817,3.8816,3.8851,3.8842,3.8738,3.8637,3.854,3.8545,3.8457,3.8352,3.7617,3.7505,3.7782,60.0164,63.6848,63.5554,59.9976,56.5906,51.1387,61.3413,50.8222,41.1628,22.7502,13.2259,9.2145,-0.006,0.046,0.066,0.084,0.092,0.146,100.0,148.5507,135.2055,139.9469,190.9289,149.6484,-0.3333,-0.3333,-0.3333,-0.3333,-0.3333,-0.3333,20.0328,27.3697,27.1107,19.9952,13.1812,2.2775,0.9985,1.012,1.0173,1.0222,1.0243,1.0391,100.0,66.6667,20.0,100.0,100.0,0.0,100.0,28.5714,100.0,52.381,30.9524,100.0,73.2255,64.62,57.531,39.1361,26.0503,4.9242,4.1738,5.501,6.7183,10.3062,13.2952,19.2792,27.0038,25.5959,24.9204,23.5601,22.6622,21.2763,0.0089,0.0187,0.0313,0.0978,0.1984,0.6522,0.0576,0.0868,0.1161,0.2236,0.3381,0.7197,3.8461,3.874,3.9019,3.8457,3.8991,3.8724,3.86,3.8147,3.9053,3.82,3.7263,3.9137,3.7316,3.8127,3.8937,3.754,3.574,3.9339,1.8357,1.7505,1.7178,1.7504,1.8386,2.099,0.3758,1.9935,0.0061,0.0403,0.0343,77.3211,68.3121,0.7889,60.9531,3.6961,-86741390.5014,23280814.0
2017-03-13,3.908,4620752.0,IG.MI,3.8913,3.8824,3.8714,3.8267,3.8187,3.7579,3.8943,3.8872,3.8814,3.8525,3.8357,3.7889,3.903,3.9019,3.8996,3.8873,3.8758,3.8634,3.8657,3.8511,3.845,3.7684,3.7573,3.7803,76.3435,72.6032,69.8175,63.0101,58.5084,51.9793,55.7129,45.0819,36.662,21.5406,12.9039,9.0417,0.052,0.05,0.08,0.094,0.126,0.166,-16.9492,38.3412,63.8143,92.7885,132.5349,125.9494,-0.1364,-0.1364,-0.1364,-0.1364,-0.1364,-0.1364,52.687,45.2063,39.635,26.0202,17.0167,3.9586,1.0135,1.013,1.0209,1.0246,1.0333,1.0444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.4286,100.0,47.619,28.5714,100.0,44.4559,22.1209,9.6574,5.8159,6.4649,1.9572,31.3975,24.3474,20.9976,17.4801,17.7158,21.0062,12.0725,15.5268,17.2991,19.6389,20.1648,20.1997,0.0999,0.1089,0.1208,0.1848,0.2829,0.7307,0.0384,0.0695,0.0996,0.2077,0.322,0.7026,3.8651,3.8913,3.9175,3.8483,3.9165,3.8824,3.8714,3.8239,3.9189,3.8267,3.7227,3.9307,3.7293,3.8187,3.908,3.7579,3.572,3.9438,2.715,2.2897,2.1037,1.9337,1.9511,2.1394,0.384,2.0127,0.0069,0.043,0.036,73.5505,70.0417,0.917,62.39,3.7153,-84431014.5014,27901566.0
2017-03-14,3.912,2904180.0,IG.MI,3.8987,3.8884,3.8831,3.8354,3.8243,3.7606,3.9047,3.8971,3.8915,3.8639,3.8442,3.796,3.9126,3.9123,3.9105,3.8988,3.8867,3.8724,3.8707,3.8543,3.8541,3.7789,3.7635,3.7819,78.026,73.6156,70.5553,63.3814,58.7476,52.0848,51.9605,40.4897,32.8042,20.4174,12.5973,8.873,0.022,0.03,0.082,0.122,0.118,0.112,46.6667,78.7037,99.8073,100.4566,137.7534,134.1463,0.2143,0.2143,0.2143,0.2143,0.2143,0.2143,56.0519,47.2312,41.1106,26.7627,17.4951,4.1697,1.0057,1.0077,1.0214,1.0322,1.0311,1.0295,66.6667,66.6667,80.0,80.0,85.7143,85.7143,92.8571,14.2857,95.2381,42.8571,26.1905,97.619,44.4559,22.1209,9.6574,5.8159,6.4649,1.9572,24.8418,21.0534,18.8568,16.537,17.0867,20.6654,9.5518,13.4262,15.5354,18.5793,19.4487,19.872,0.0666,0.0871,0.1036,0.1716,0.2695,0.7133,0.0256,0.0556,0.0853,0.1928,0.3067,0.6859,3.8664,3.8987,3.9309,3.847,3.9298,3.8884,3.8831,3.8423,3.924,3.8354,3.725,3.9459,3.7274,3.8243,3.9212,3.7606,3.5692,3.952,2.2853,2.1161,2.0058,1.896,1.9245,2.1204,0.3922,2.0316,0.0071,0.0449,0.0378,68.9399,68.4659,1.0044,65.7782,3.7366,-81526834.5014,30805746.0
2017-03-15,3.892,1529490.0,IG.MI,3.904,3.8956,3.888,3.8456,3.8282,3.7643,3.9013,3.8983,3.8937,3.8714,3.8504,3.8021,3.8999,3.9057,3.908,3.9026,3.8925,3.8788,3.8719,3.8571,3.8556,3.7903,3.7667,3.7837,50.8844,59.8033,61.7499,60.1318,57.0217,51.505,49.459,36.8159,29.4975,19.3744,12.3053,8.7083,0.016,0.036,0.034,0.142,0.082,0.156,53.3333,57.1429,78.252,89.6594,119.7974,127.0395,-0.5882,-0.5882,-0.5882,-0.5882,-0.5882,-0.5882,1.7688,19.6065,23.4998,20.2636,14.0434,3.01,1.0041,1.0093,1.0088,1.0379,1.0215,1.0418,33.3333,33.3333,60.0,60.0,71.4286,71.4286,85.7143,7.1429,90.4762,38.0952,23.8095,95.2381,44.4559,22.1209,9.6574,5.8159,6.4649,1.9572,20.8728,19.0929,17.5868,15.9735,16.7085,20.4589,8.0257,12.176,14.4891,17.9462,19.0182,19.6734,0.0444,0.0697,0.0888,0.1594,0.2566,0.6963,0.0171,0.0445,0.0731,0.1791,0.2921,0.6695,3.8867,3.904,3.9213,3.8695,3.9217,3.8956,3.888,3.8525,3.9235,3.8456,3.7425,3.9486,3.7273,3.8282,3.929,3.7643,3.5689,3.9596,1.8226,1.8763,1.8529,1.832,1.8839,2.1014,0.4005,2.0502,0.0051,0.0442,0.0391,70.4116,72.7273,0.9968,65.9868,3.756,-81796744.5014,29276256.0
2017-03-16,3.966,3428871.0,IG.MI,3.9233,3.9108,3.9,3.861,3.8371,3.7699,3.9323,3.9217,3.9132,3.8875,3.8629,3.8115,3.9502,3.9424,3.938,3.9238,3.9102,3.8914,3.8885,3.873,3.8664,3.8157,3.7806,3.7883,83.2403,78.4788,75.1417,66.8948,61.4244,53.4684,45.5253,34.1033,28.2918,19.3924,12.4443,8.5489,0.058,0.076,0.084,0.216,0.188,0.236,100.0,166.6667,189.9074,159.4561,174.7541,165.3294,0.8065,0.8065,0.8065,0.8065,0.8065,0.8065,66.4807,56.9577,50.2835,33.7897,22.8488,6.9368,1.0148,1.0195,1.0216,1.0576,1.0498,1.0633,100.0,0.0,40.0,100.0,100.0,57.1429,100.0,0.0,100.0,33.3333,21.4286,100.0,37.658,23.2525,21.0573,19.6262,15.2246,2.0114,13.7175,15.2338,15.0183,14.792,15.9039,20.0131,30.2898,24.4646,23.0304,22.016,21.6162,20.8348,0.0296,0.0558,0.0761,0.148,0.2444,0.6797,0.0654,0.0896,0.1167,0.2203,0.3322,0.7076,3.8608,3.9233,3.9858,3.85,3.9716,3.9108,3.9,3.8357,3.9643,3.861,3.7552,3.9668,3.7232,3.8371,3.9511,3.7699,3.5655,3.9744,1.8143,1.8462,1.8251,1.8027,1.8495,2.0575,0.4088,2.0694,0.008,0.0491,0.0411,74.0846,81.0606,1.2452,68.4649,3.7736,-78367873.5014,32705127.0
