date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Down 5,Aroon Up 5,Aroon Down 7,Aroon Up 7,Aroon Down 14,Aroon Up 14,Aroon Down 21,Aroon Up 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Lower Band 3,Real Upper Band 3,Real Middle Band 3,Real Middle Band 5,Real Lower Band 5,Real Upper Band 5,Real Middle Band 7,Real Lower Band 7,Real Upper Band 7,Real Middle Band 14,Real Lower Band 14,Real Upper Band 14,Real Lower Band 21,Real Upper Band 21,Real Middle Band 21,Real Middle Band 42,Real Upper Band 42,Real Lower Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD,MACD_Signal,MACD_Hist,SlowK,SlowD,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2014-09-19,28.35,12505800.0,JD,28.6667,28.534,28.72,29.1964,29.9943,29.4674,28.7083,28.5813,28.6314,28.8287,29.3435,29.6263,28.5909,28.5284,28.4333,28.6054,29.0749,29.9867,28.6277,29.0074,29.1443,29.6203,29.0812,29.3775,41.5853,41.7832,41.545,44.1638,47.4969,53.657,49.3398,38.0847,31.3885,17.7793,14.6962,17.7195,0.55,-0.9,0.0,-3.57,-2.58,-0.38,21.374,29.3441,6.1207,-50.265,-69.5205,-47.3129,-0.6445,-0.6445,-0.6445,-0.6445,-0.6445,-0.6445,-16.8294,-16.4335,-16.91,-11.6724,-5.0063,7.314,1.0198,0.9692,1.0,0.8882,0.9166,0.9868,100.0,0.0,40.0,100.0,57.1429,100.0,78.5714,7.1429,85.7143,23.8095,92.8571,61.9048,43.8822,17.2063,5.7443,2.1003,0.1788,8.8582,11.5482,18.2952,21.0663,22.6523,21.9606,19.8666,29.6087,25.8994,23.6341,21.7204,22.0392,23.7283,0.6036,1.3827,2.0773,4.0663,5.8037,10.7653,1.5475,1.9574,2.3305,3.899,5.8245,12.858,27.4009,29.9325,28.6667,28.534,27.2991,29.7689,28.72,27.52,29.92,29.1964,27.3355,31.0574,27.1889,32.7997,29.9943,29.4674,32.1324,26.8023,6.1452,5.3318,4.9689,4.5251,4.4517,4.5965,2.6325,14.8773,-0.2992,-0.0695,-0.2297,55.4233,47.3903,-3.7274,48.2483,32.5558,-47619654.4457,88579100.0
2014-09-22,26.97,8113800.0,JD,28.29,28.154,28.4129,28.9036,29.811,29.4457,27.86,28.06,28.1939,28.5318,29.0685,29.5101,27.3669,27.6309,27.7309,28.1363,28.6889,29.7503,28.5374,28.8517,28.9694,29.346,28.9688,29.359,24.1403,29.2992,31.6803,37.9224,42.7943,51.0334,37.4979,33.2223,29.1445,17.4628,14.3684,17.405,-1.13,-1.9,-2.15,-4.1,-3.85,-0.91,-100.0,-105.1873,-121.3896,-164.1958,-128.69,-129.6015,-0.4303,-0.4303,-0.4303,-0.4303,-0.4303,-0.4303,-51.7194,-41.4016,-36.6393,-24.1552,-14.4114,2.0669,0.9598,0.9342,0.9262,0.868,0.8751,0.9674,66.6667,100.0,100.0,80.0,100.0,85.7143,100.0,0.0,100.0,19.0476,100.0,59.5238,13.8142,13.7723,15.6809,13.3474,7.8126,4.5077,26.4317,26.7769,27.0749,25.8244,24.171,21.0179,20.0154,20.2941,19.7348,19.7424,20.6679,23.0021,1.3624,2.0662,2.7405,4.7358,6.4873,11.469,1.0317,1.5659,1.9976,3.6205,5.5471,12.5518,26.1817,30.3983,28.29,28.154,26.4765,29.8315,28.4129,26.7632,30.0625,28.9036,27.0238,30.7833,26.7535,32.8685,29.811,29.4457,32.176,26.7154,6.3704,5.7221,5.3615,4.8592,4.7515,4.864,2.6943,14.9982,-0.443,-0.1442,-0.2988,45.8455,50.5794,-4.2678,42.0412,32.4457,-52881330.8094,80465300.0
2014-09-23,26.57,5964700.0,JD,27.2967,27.908,28.03,28.6007,29.6019,29.3867,27.0,27.532,27.7332,28.2207,28.7739,29.3764,26.6616,26.9363,27.1132,27.6636,28.2863,29.4931,27.663,28.7402,28.715,29.0499,28.8183,29.3117,20.4165,26.4373,29.3256,36.3202,41.5425,50.3031,39.5097,33.1997,29.2856,17.7734,14.356,17.0118,-2.98,-1.23,-2.68,-4.24,-4.39,-2.48,-83.3795,-116.5289,-142.4585,-196.1113,-152.2741,-167.9503,-0.3409,-0.3409,-0.3409,-0.3409,-0.3409,-0.3409,-59.167,-47.1254,-41.3488,-27.3596,-16.915,0.6063,0.8992,0.9558,0.9084,0.8624,0.8582,0.9146,33.3333,100.0,100.0,60.0,100.0,71.4286,100.0,0.0,100.0,14.2857,100.0,57.1429,43.5332,33.1095,30.1319,21.8117,14.1076,0.8934,36.7572,33.2702,31.9029,28.5446,26.1089,22.0484,14.4605,16.719,17.1287,18.3221,19.653,22.4459,1.7482,2.4929,3.189,5.2375,7.0184,12.036,0.6878,1.2528,1.7122,3.3619,5.283,12.253,25.7716,28.8217,27.2967,27.908,25.7917,30.0243,28.03,26.1129,29.9471,28.6007,26.6813,30.5201,26.2969,32.9069,29.6019,29.3867,32.2525,26.5208,5.9669,5.6402,5.3745,4.9349,4.8299,4.938,2.7564,15.114,-0.5826,-0.2319,-0.3507,22.0839,41.1176,-4.5839,43.8477,32.2727,-52248711.1124,74500600.0
2014-09-24,27.18,2860614.0,JD,26.9067,27.724,27.7886,28.3807,29.4038,29.3426,26.9417,27.2893,27.5207,28.0312,28.5537,29.2737,26.9199,26.9258,26.9987,27.4409,28.0453,29.3084,27.6007,28.6927,28.6385,28.9294,28.7255,29.2848,41.1739,37.9847,37.5801,40.4521,44.1581,51.3898,33.9785,30.9633,28.2745,17.7748,14.2207,16.6549,-1.17,-0.92,-1.69,-3.08,-4.16,-1.85,29.9784,-45.206,-64.2564,-114.1708,-114.4424,-125.4675,0.2688,0.2688,0.2688,0.2688,0.2688,0.2688,-17.6522,-24.0307,-24.8398,-19.0958,-11.6838,2.7797,0.9587,0.9673,0.9415,0.8982,0.8673,0.9363,0.0,66.6667,80.0,40.0,85.7143,57.1429,92.8571,0.0,95.2381,9.5238,97.619,54.7619,22.9162,22.0176,22.2079,17.7934,11.5148,2.0191,28.8976,29.0857,28.9855,27.1694,25.2581,21.6973,18.1224,18.5889,18.4509,18.9612,20.0419,22.5915,1.1655,1.9944,2.7335,4.8634,6.6842,11.7494,0.7309,1.2746,1.74,3.3941,5.3038,12.2336,26.4006,27.4127,26.9067,27.724,25.5473,29.9007,27.7886,25.9307,29.6464,28.3807,26.5695,30.1919,26.0411,32.7665,29.4038,29.3426,32.2849,26.4003,4.9463,5.0455,4.9566,4.7062,4.6478,4.7878,2.8188,15.2346,-0.6366,-0.3128,-0.3238,18.5719,28.8338,-4.7777,46.1094,32.0154,-51671522.0764,77361214.0
2014-09-25,26.57,5451344.0,JD,26.7733,27.128,27.6129,28.205,29.1448,29.2731,26.7733,26.9047,27.2161,27.7898,28.2961,29.1448,26.592,26.6105,26.6788,27.1172,27.7331,29.0804,27.5538,28.1794,28.5646,28.8091,28.5413,29.2321,29.5952,31.754,33.0734,37.81,42.1766,50.2639,39.4897,32.4859,29.1338,18.2706,14.3369,16.2813,-0.4,-2.98,-1.23,-2.46,-5.44,-2.92,-11.9872,-60.0223,-72.0702,-117.8157,-124.9685,-136.051,-0.5723,-0.5723,-0.5723,-0.5723,-0.5723,-0.5723,-40.8097,-36.492,-33.8531,-24.3799,-15.6468,0.5278,0.9852,0.8992,0.9558,0.9153,0.8301,0.901,0.0,33.3333,60.0,20.0,71.4286,42.8571,85.7143,0.0,90.4762,4.7619,95.2381,52.381,50.5121,38.5763,34.2896,24.7153,16.6609,0.9632,34.9215,32.6752,31.6237,28.7236,26.4249,22.3728,11.4821,14.4833,15.4741,17.3391,18.8772,21.9459,1.482,2.3005,3.048,5.221,7.0709,12.1746,0.4873,1.0197,1.4914,3.1517,5.0513,11.9423,26.1982,27.3484,26.7733,27.128,25.8184,28.4376,27.6129,25.5692,29.6565,28.205,26.2117,30.1983,25.7869,32.5026,29.1448,29.2731,32.3338,26.2124,5.3241,5.2995,5.1821,4.8884,4.8068,4.9204,2.8815,15.348,-0.7203,-0.3943,-0.326,21.4067,20.6875,-5.0289,45.606,31.7684,-53792462.9895,71909870.0
2014-09-26,26.93,2482668.0,JD,26.8933,26.844,27.4457,28.0479,28.8729,29.209,26.8517,26.8387,27.0454,27.6198,28.0948,29.0358,26.7745,26.6658,26.6495,26.9539,27.5279,28.9004,27.5284,28.0523,28.5106,28.7302,28.3882,29.1915,43.6286,39.1208,38.178,40.2887,43.741,50.9141,43.1639,33.7039,29.8703,18.7309,14.4476,15.9165,0.36,-1.42,-1.17,-2.2,-5.71,-2.69,-39.3892,-25.2516,-54.5682,-96.5031,-115.0694,-125.5026,0.7021,0.7021,0.7021,0.7021,0.7021,0.7021,-12.7429,-21.7585,-23.644,-19.4226,-12.5181,1.8282,1.0135,0.9499,0.9584,0.9245,0.8251,0.9092,66.6667,0.0,40.0,0.0,57.1429,28.5714,78.5714,64.2857,85.7143,0.0,92.8571,50.0,50.5121,38.5763,34.2896,24.7153,16.6609,0.9632,29.9466,30.1586,29.9214,27.9454,25.9464,22.1766,9.8463,13.3678,14.6411,16.8693,18.5354,21.7535,0.988,1.8404,2.6125,4.8481,6.7342,11.8848,0.3249,0.8157,1.2784,2.9266,4.8107,11.658,26.3926,27.3941,26.8933,26.844,26.3654,27.3226,27.4457,25.3974,29.494,28.0479,26.0244,30.0714,25.7766,31.9691,28.8729,29.209,32.3496,26.0685,4.0837,4.532,4.6318,4.6032,4.5998,4.7806,2.9444,15.4638,-0.749,-0.4653,-0.2838,30.4174,23.4653,-4.9343,46.4066,31.5313,-52049313.1172,74392538.0
2014-09-29,26.33,3475760.0,JD,26.61,26.716,26.9857,27.8529,28.6295,29.1438,26.57,26.6673,26.7664,27.3908,27.8636,28.9019,26.409,26.3865,26.3881,26.6815,27.2493,28.678,27.3457,27.9735,28.0879,28.6039,28.2124,29.1401,29.1185,31.9383,33.2473,37.599,41.7637,49.8026,51.8349,37.1308,31.7889,19.5261,14.7355,15.6137,-0.85,-0.64,-3.22,-2.73,-5.11,-2.74,-100.0,-109.573,-91.3924,-112.7195,-127.5015,-139.9961,-0.2143,-0.2143,-0.2143,-0.2143,-0.2143,-0.2143,-41.763,-36.1233,-33.5055,-24.802,-16.4726,-0.3949,0.9687,0.9763,0.891,0.9061,0.8375,0.9057,33.3333,100.0,20.0,0.0,42.8571,14.2857,71.4286,57.1429,80.9524,9.5238,90.4762,47.619,69.1771,50.8383,43.3002,29.8643,20.4933,3.1956,37.983,34.452,32.9132,29.5306,27.072,22.7846,6.9203,11.2287,13.0228,15.9486,17.8633,21.3735,1.1887,2.0023,2.7693,5.0318,6.9435,12.1318,0.2166,0.6526,1.0957,2.7175,4.5816,11.3804,26.1168,27.1032,26.61,26.716,26.1142,27.3178,26.9857,25.7487,28.2228,27.8529,25.7332,29.9725,25.5756,31.6834,28.6295,29.1438,32.4047,25.8829,3.9619,4.4146,4.5651,4.6241,4.6488,4.8573,3.0075,15.5725,-0.8108,-0.5344,-0.2765,29.1967,27.0069,-5.1682,41.3206,31.3036,-52247927.9743,70916778.0
2014-09-30,25.82,5397283.0,JD,26.36,26.566,26.6243,27.6721,28.339,29.0781,26.175,26.3687,26.475,27.1197,27.6082,28.7473,25.9154,25.9727,26.0143,26.3437,26.9229,28.4243,27.1348,27.8572,27.7153,28.4686,27.9427,29.0801,20.4478,26.7251,29.4726,35.4336,40.1441,48.8735,62.0095,42.3096,34.8463,20.7087,15.2366,15.3862,-0.75,-0.75,-2.53,-2.53,-6.1,-2.76,-100.0,-127.0314,-148.3841,-123.2751,-138.5885,-155.4604,-0.4857,-0.4857,-0.4857,-0.4857,-0.4857,-0.4857,-59.1044,-46.5499,-41.0548,-29.1328,-19.7118,-2.253,0.9718,0.9718,0.9108,0.9108,0.8089,0.9034,0.0,100.0,100.0,40.0,100.0,0.0,100.0,50.0,100.0,4.7619,100.0,45.2381,82.3587,63.0246,53.1907,36.0821,25.2598,6.0606,47.586,40.3868,37.2029,31.8417,28.7039,23.6535,4.6034,9.1601,11.3678,14.9561,17.1271,20.9503,1.4924,2.3018,3.0737,5.3724,7.3129,12.5429,0.1444,0.5221,0.9392,2.5234,4.3635,11.1095,25.4527,27.2673,26.36,26.566,25.6187,27.5133,26.6243,25.7754,27.4732,27.6721,25.3328,30.0114,25.4356,31.2425,28.339,29.0781,32.4896,25.6666,4.0489,4.4148,4.5712,4.6691,4.7085,4.9321,3.0709,15.6749,-0.8907,-0.6056,-0.2851,30.9915,30.2019,-5.5072,44.3784,31.0851,-52299330.6696,65519495.0
2014-10-01,25.02,4900208.0,JD,25.7233,26.134,26.3457,27.3793,28.051,29.0086,25.505,25.8533,26.0739,26.7661,27.3065,28.5585,25.1681,25.3274,25.4419,25.8816,26.5052,28.1154,26.1949,27.1014,27.3535,28.1233,27.6155,29.0029,12.0236,20.2454,24.4024,32.2919,37.7339,47.4511,70.126,47.3701,38.0361,21.9978,15.8135,15.1947,-1.91,-2.16,-1.95,-4.1,-6.05,-2.92,-94.3567,-112.4911,-143.4905,-129.7865,-144.4118,-166.0625,-0.4237,-0.4237,-0.4237,-0.4237,-0.4237,-0.4237,-75.9529,-59.5093,-51.1952,-35.4162,-24.5321,-5.0977,0.9291,0.9205,0.9277,0.8592,0.8053,0.8955,0.0,100.0,100.0,20.0,100.0,0.0,100.0,42.8571,100.0,0.0,100.0,42.8571,86.359,67.6122,57.1749,38.7552,27.3504,7.3447,40.2022,37.659,35.7626,31.5109,28.6303,23.7308,2.9427,7.2769,9.7442,13.9085,16.3328,20.4834,1.315,2.1615,2.9546,5.3087,7.2846,12.5643,0.0963,0.4177,0.805,2.3432,4.1557,10.845,24.645,26.8016,25.7233,26.134,24.8068,27.4612,26.3457,24.9994,27.6921,27.3793,24.8219,29.9366,25.0886,31.0133,28.051,29.0086,32.623,25.3942,4.3577,4.588,4.7172,4.8111,4.8523,5.0809,3.1344,15.7684,-1.0069,-0.6859,-0.321,16.8992,25.6958,-5.8239,42.3268,30.7958,-56867321.178,60619287.0
2014-10-02,25.69,4961265.0,JD,25.51,25.958,26.22,27.125,27.8071,28.9586,25.4883,25.7053,25.91,26.5409,27.0918,28.4042,25.4468,25.3786,25.3866,25.6859,26.264,27.8888,26.161,27.0168,27.2923,27.9435,27.4577,28.9581,42.0277,36.3908,35.2809,37.3055,40.8565,48.7312,74.2439,51.0967,40.6317,23.1669,16.3517,15.0056,-0.64,-0.88,-0.88,-3.56,-5.12,-2.1,4.4776,-54.1262,-76.6025,-104.3045,-120.0731,-147.6194,0.563,0.563,0.563,0.563,0.563,0.563,-15.9447,-27.2183,-29.4382,-25.3891,-18.2871,-2.5375,0.9757,0.9669,0.9669,0.8783,0.8338,0.9244,0.0,66.6667,80.0,0.0,85.7143,28.5714,92.8571,35.7143,95.2381,0.0,97.619,40.4762,82.4798,66.0031,56.2054,38.3657,27.117,7.2509,26.0086,29.9079,30.6175,29.2833,27.2902,23.1967,2.4971,6.125,8.5841,13.0441,15.6469,20.0602,0.8766,1.7292,2.5325,4.9295,6.9378,12.2652,0.0842,0.3541,0.71,2.1958,3.9778,10.6067,24.809,26.211,25.51,25.958,24.6762,27.2398,26.22,24.8177,27.6223,27.125,24.6558,29.5942,24.9524,30.6619,27.8071,28.9586,32.695,25.2221,4.3734,4.5011,4.5996,4.6818,4.7213,4.9409,3.198,15.8676,-1.0331,-0.7553,-0.2777,19.5914,22.4941,-5.6379,43.1244,30.4469,-55991803.8251,65580552.0
