date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Down 3,Aroon Up 3,Aroon Up 5,Aroon Down 5,Aroon Up 7,Aroon Down 7,Aroon Down 14,Aroon Up 14,Aroon Down 21,Aroon Up 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Lower Band 3,Real Middle Band 3,Real Upper Band 3,Real Middle Band 5,Real Upper Band 5,Real Lower Band 5,Real Upper Band 7,Real Lower Band 7,Real Middle Band 7,Real Middle Band 14,Real Lower Band 14,Real Upper Band 14,Real Upper Band 21,Real Lower Band 21,Real Middle Band 21,Real Middle Band 42,Real Upper Band 42,Real Lower Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,MAMA,FAMA,MACD_Signal,MACD_Hist,MACD,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2016-05-02,39.0,1635778.0,RACE.MI,39.3567,39.132,38.9129,38.7593,37.8452,37.4633,39.2317,39.2007,39.0782,38.9816,38.5333,37.8253,39.1477,39.2396,39.3158,39.349,39.1578,38.5555,39.1428,38.9454,38.768,38.1187,37.2197,37.2584,44.6016,52.7641,55.9792,57.4314,55.2138,48.5815,67.2365,47.9982,41.2594,21.809,14.5793,15.3267,0.11,0.87,-0.17,2.98,3.1,3.08,71.6101,89.8465,105.5672,109.9643,94.6134,149.0906,-0.4279,-0.4279,-0.4279,-0.4279,-0.4279,-0.4279,-10.7968,5.5281,11.9583,14.8627,10.4275,-2.837,1.0028,1.0228,0.9957,1.0827,1.0864,1.0857,33.3333,100.0,100.0,0.0,100.0,28.5714,0.0,100.0,14.2857,100.0,0.0,100.0,89.1107,75.8912,67.1418,45.3278,28.6146,0.508,2.466,5.3267,7.1197,11.599,15.4914,23.1374,42.8267,38.862,36.2161,30.832,27.9108,23.3737,0.0969,0.3014,0.5318,1.6902,3.5844,12.7669,1.6833,2.1988,2.7052,4.4929,6.4581,12.8972,38.7421,39.3567,39.9712,39.132,39.8695,38.3945,39.8782,37.9475,38.9129,38.7593,37.2834,40.2352,40.7283,34.9622,37.8452,37.4633,39.8766,35.05,3.3593,2.9015,2.7361,2.6711,2.8359,3.4111,18.7931,3.3055,0.6111,0.075,0.6861,68.7947,63.6669,3.7565,48.0034,37.0119,2792165.1399,1783568.0
2016-05-03,38.06,1019944.0,RACE.MI,38.7933,39.004,38.8357,38.835,37.9295,37.51,38.5833,38.8433,38.865,38.8884,38.5529,37.8531,38.3333,38.616,38.824,39.115,39.0438,38.5506,38.6616,38.9081,38.752,38.1173,37.2399,37.2696,21.7391,35.1066,42.2009,50.3825,51.0115,47.1016,49.5686,38.9111,36.8361,21.419,14.451,15.0789,-1.69,-0.64,-0.54,1.06,1.77,1.96,-100.0,-134.3586,-97.6477,-78.7367,16.2926,47.84,-0.5548,-0.5548,-0.5548,-0.5548,-0.5548,-0.5548,-56.5217,-29.7867,-15.5981,0.7649,2.0231,-5.7967,0.9575,0.9835,0.986,1.0286,1.0488,1.0543,100.0,66.6667,80.0,100.0,85.7143,100.0,0.0,92.8571,9.5238,95.2381,54.7619,97.619,14.2329,2.5631,10.2961,16.3492,11.886,4.9191,36.4517,27.8224,23.9243,19.9816,20.5973,25.1025,27.3683,29.2861,29.4163,27.7922,26.1542,22.7486,1.4946,1.6711,1.8858,2.9995,4.8438,13.8929,1.1222,1.759,2.3188,4.172,6.1505,12.5902,37.7238,38.7933,39.8628,39.004,40.1213,37.8867,39.9617,37.7098,38.8357,38.835,37.6472,40.0228,40.728,35.131,37.9295,37.51,39.8916,35.1284,3.5911,3.1562,2.9587,2.8193,2.9527,3.5047,18.9857,3.3839,0.6055,-0.0225,0.583,57.8333,35.3616,3.4527,46.5507,37.3389,2526701.6604,763624.0
2016-05-04,38.56,594489.0,RACE.MI,38.54,38.938,38.8971,38.9107,38.0805,37.5729,38.4667,38.6953,38.7961,38.8517,38.6102,37.9019,38.4364,38.5549,38.7184,39.045,39.0281,38.5904,38.6509,38.9023,38.7486,38.1276,37.3114,37.2935,44.4558,46.9178,49.8595,53.6418,53.009,47.9653,37.79,31.6415,33.0446,21.0569,14.3289,14.837,-0.76,-0.33,0.43,1.06,3.17,2.64,-33.2921,-65.3564,-65.3064,-58.9587,27.5768,64.8648,0.631,0.631,0.631,0.631,0.631,0.631,-11.0884,-6.1645,-0.2811,7.2836,6.018,-4.0694,0.9807,0.9915,1.0113,1.0283,1.0896,1.0735,66.6667,33.3333,60.0,80.0,71.4286,85.7143,0.0,85.7143,4.7619,90.4762,52.381,95.2381,14.2329,2.5631,10.2961,16.3492,11.886,4.9191,27.8833,23.6824,21.2788,18.8459,19.8528,24.7182,20.935,24.9283,26.1635,26.2126,25.2088,22.4003,0.9964,1.3369,1.6164,2.7852,4.6131,13.5621,0.7481,1.4072,1.9875,3.874,5.8576,12.2904,37.772,38.54,39.308,38.938,40.112,37.764,39.9029,37.8914,38.8971,38.9107,37.9619,39.8595,40.6471,35.5138,38.0805,37.5729,39.9225,35.2232,3.0891,2.9279,2.8143,2.7396,2.8794,3.4288,19.1815,3.4629,0.5915,-0.056,0.5355,40.9784,23.9068,3.1485,49.0879,37.52,2682403.9913,1358113.0
2016-05-05,37.85,581221.0,RACE.MI,38.1567,38.558,38.7757,38.85,38.159,37.6169,38.1217,38.3327,38.5343,38.7103,38.5892,37.9148,37.9605,38.1339,38.3385,38.8071,38.8881,38.5621,38.5312,38.6805,38.7147,38.1222,37.324,37.3006,27.4711,35.4614,40.8847,48.7452,49.971,46.8526,36.2566,27.4812,28.3739,20.2995,14.0419,14.6301,-1.15,-1.9,-0.85,-0.85,1.65,1.85,-36.3638,-62.5525,-86.1052,-95.8814,6.9225,45.1423,-0.3493,-0.3493,-0.3493,-0.3493,-0.3493,-0.3493,-45.0578,-29.0772,-18.2306,-2.5097,-0.058,-6.2949,0.9705,0.9522,0.978,0.978,1.0456,1.0514,33.3333,0.0,40.0,60.0,57.1429,71.4286,0.0,78.5714,0.0,85.7143,50.0,92.8571,33.1898,10.8397,0.3493,10.4546,8.302,6.1463,25.8767,23.4186,21.5212,19.2071,20.0229,24.662,12.9802,18.8381,21.3714,23.692,23.6486,21.8059,0.9943,1.3995,1.7155,2.9163,4.7234,13.5692,0.4987,1.1258,1.7036,3.5973,5.5787,11.9978,37.5611,38.1567,38.7523,38.558,39.6626,37.4534,40.0235,37.528,38.7757,38.85,37.7572,39.9428,40.5879,35.7302,38.159,37.6169,39.9157,35.3181,3.3838,3.1578,3.0086,2.8671,2.9774,3.5018,19.3682,3.5424,0.5603,-0.1248,0.4355,25.6841,17.784,2.7623,41.2776,37.52,2220609.6571,776892.0
2016-05-06,38.0,648156.0,RACE.MI,38.1367,38.294,38.6486,38.7764,38.2757,37.6483,38.0433,38.1467,38.3404,38.597,38.5748,37.9326,37.9265,37.9985,38.1599,38.6487,38.7899,38.5484,38.5268,38.5884,38.6857,38.1191,37.3515,37.3077,35.3042,39.371,43.396,49.788,50.5991,47.1181,40.3921,26.4585,25.6923,19.2235,13.6156,14.4546,-0.06,-1.32,-0.89,-1.03,2.45,1.32,-100.0,-82.9103,-89.2023,-122.2547,-25.0,20.3404,0.3617,0.3617,0.3617,0.3617,0.3617,0.3617,-29.3916,-21.2579,-13.2079,-0.424,1.1982,-5.7639,0.9984,0.9664,0.9771,0.9736,1.0689,1.036,100.0,66.6667,20.0,100.0,42.8571,100.0,100.0,71.4286,9.5238,80.9524,47.619,90.4762,48.6629,22.3679,9.6029,5.2349,5.0888,7.2611,27.4977,24.8146,22.7782,20.0014,20.5005,24.7868,9.4957,15.7428,18.7868,22.2112,22.6989,21.4309,0.9628,1.4196,1.7704,3.008,4.7985,13.5461,0.3325,0.9006,1.4602,3.3403,5.3131,11.7121,37.5256,38.1367,38.7478,38.294,39.1461,37.4419,40.0008,37.2963,38.6486,38.7764,37.606,39.9468,40.4096,36.1419,38.2757,37.6483,39.9311,35.3656,3.0715,3.011,2.922,2.8285,2.9422,3.4638,19.5545,3.6224,0.5211,-0.1569,0.3642,19.9507,18.1614,2.2661,41.6289,41.1,2399885.851,1425048.0
2016-05-09,37.71,425406.0,RACE.MI,37.8533,38.036,38.3571,38.6629,38.3424,37.6464,37.83,37.952,38.1057,38.4548,38.5233,37.9355,37.7188,37.7774,37.9225,38.446,38.6518,38.5085,38.3147,38.4718,38.5034,38.1012,37.3592,37.3094,26.8842,34.3433,39.6014,47.7646,49.3417,46.6565,43.149,25.6404,23.3938,18.2243,13.2095,14.2833,-0.85,-1.29,-2.04,-1.59,1.4,-0.08,-80.738,-107.7858,-86.3303,-122.0048,-49.0563,7.9776,-0.4561,-0.4561,-0.4561,-0.4561,-0.4561,-0.4561,-46.2316,-31.3134,-20.7971,-4.4708,-1.3167,-6.6871,0.978,0.9669,0.9487,0.9595,1.0386,0.9979,66.6667,33.3333,0.0,80.0,28.5714,85.7143,92.8571,64.2857,4.7619,76.1905,45.2381,88.0952,48.6629,22.3679,9.6029,5.2349,5.0888,7.2611,22.1011,22.0664,20.983,19.217,19.9894,24.5247,7.6321,13.9992,17.3061,21.3401,22.1329,21.2043,0.6419,1.1357,1.5175,2.7931,4.57,13.2236,0.2217,0.7205,1.2516,3.1017,5.0601,11.4333,37.6165,37.8533,38.0902,38.036,38.6138,37.4582,39.4969,37.2174,38.3571,38.6629,37.4119,39.9138,40.3072,36.3776,38.3424,37.6464,39.9289,35.364,2.5673,2.7296,2.7398,2.7547,2.8956,3.4433,19.736,3.703,0.4731,-0.1921,0.281,16.7649,14.3492,1.757,34.2026,41.063,2317789.0659,999642.0
2016-05-10,38.33,520569.0,RACE.MI,38.0133,38.09,38.2157,38.5764,38.4362,37.6519,38.0683,38.05,38.0989,38.4104,38.5222,37.9673,38.1297,38.0161,38.047,38.435,38.6375,38.5268,38.3164,38.4691,38.4939,38.1077,37.3885,37.3146,58.5709,51.0489,50.4158,52.2341,52.0183,47.777,31.2811,20.7069,20.6922,17.7033,12.989,14.0795,0.48,0.27,-0.99,-1.21,1.97,0.23,100.0,19.851,-26.5201,-60.0358,-23.4261,38.197,0.8814,0.8814,0.8814,0.8814,0.8814,0.8814,17.1418,2.0978,0.8316,4.4681,4.0367,-4.4461,1.0127,1.0071,0.9748,0.9694,1.0542,1.006,33.3333,0.0,40.0,60.0,14.2857,71.4286,85.7143,57.1429,0.0,71.4286,42.8571,85.7143,7.5452,0.9729,4.4822,10.9301,8.5777,5.7237,16.2944,18.8991,18.8813,18.2823,19.3754,24.2074,18.954,19.2705,20.6533,22.7694,23.0112,21.5863,0.4279,0.9085,1.3007,2.5936,4.3524,12.9088,0.4978,0.9264,1.4228,3.2302,5.1691,11.511,37.5068,38.0133,38.5199,38.09,38.7152,37.4648,39.0462,37.3852,38.2157,38.5764,37.4159,39.7369,40.1903,36.6821,38.4362,37.6519,39.9398,35.3641,2.2839,2.5084,2.5675,2.6451,2.7989,3.3498,19.922,3.7841,0.4309,-0.1688,0.2621,20.4669,28.8902,1.4874,39.0424,41.0264,2714833.4278,1520211.0
2016-05-11,38.15,482483.0,RACE.MI,38.0633,38.008,38.0943,38.5036,38.5376,37.6838,38.1367,38.07,38.0825,38.3535,38.4962,37.9905,38.1475,38.0571,38.0559,38.3801,38.5919,38.5266,38.3128,38.4575,38.4779,38.1087,37.4145,37.3235,49.2719,46.7337,47.5331,50.8731,51.1938,47.4803,28.6742,19.3097,18.5397,16.8694,12.6402,13.9039,0.15,-0.41,-0.85,-1.02,2.13,1.34,-3.0299,-21.6909,-49.8958,-81.9112,-64.3184,21.2366,0.339,0.339,0.339,0.339,0.339,0.339,-1.4561,-6.5326,-4.9338,1.7462,2.3875,-5.0393,1.0039,0.9894,0.9782,0.974,1.0591,1.0364,0.0,66.6667,20.0,40.0,0.0,57.1429,78.5714,50.0,0.0,66.6667,40.4762,83.3333,23.4605,13.7208,5.6246,6.0285,5.6646,6.7022,21.2346,21.1626,20.4486,19.0657,19.8302,24.3278,13.1644,16.0559,18.2708,21.5119,22.2117,21.2717,0.5353,0.9768,1.3649,2.6584,4.3951,12.8514,0.3319,0.7411,1.2195,2.9994,4.923,11.237,37.5425,38.0633,38.5842,38.008,38.4441,37.5719,38.625,37.5635,38.0943,38.5036,37.3736,39.6335,39.9302,37.1451,38.5376,37.6838,39.9612,35.4065,2.2026,2.4199,2.4995,2.6119,2.7743,3.3336,20.1042,3.8657,0.3907,-0.1608,0.2299,26.9763,37.6894,1.2087,48.2836,40.9901,3197316.4278,1037728.0
2016-05-12,38.04,339630.0,RACE.MI,38.1733,38.046,38.0914,38.4636,38.5871,37.6874,38.125,38.0807,38.0689,38.2917,38.451,38.007,38.0701,38.0245,38.0187,38.3073,38.5315,38.5156,38.291,38.4482,38.4758,38.1077,37.4248,37.3269,43.0121,43.899,45.6713,50.0155,50.6783,47.2965,20.6478,15.6883,16.163,16.3054,12.3924,13.7142,0.33,0.19,-0.02,-0.56,1.04,0.15,-19.4697,38.7962,-16.7735,-62.6999,-67.8247,26.2856,0.3559,0.3559,0.3559,0.3559,0.3559,0.3559,-13.9757,-12.202,-8.6574,0.031,1.3566,-5.4069,1.0088,1.005,0.9995,0.9855,1.0281,1.004,0.0,33.3333,0.0,20.0,28.5714,42.8571,71.4286,42.8571,0.0,61.9048,38.0952,80.9524,4.5949,1.2028,1.9034,8.9739,7.4377,5.9363,15.7168,18.2471,18.537,18.2348,19.291,24.0526,17.2307,17.8134,19.2563,21.8301,22.3912,21.357,0.3569,0.7815,1.1699,2.4685,4.1858,12.5454,0.3912,0.7629,1.2153,2.9552,4.8585,11.1394,37.9343,38.1733,38.4124,38.046,38.4525,37.6395,38.6231,37.5598,38.0914,38.4636,37.3107,39.6165,39.8225,37.3517,38.5871,37.6874,39.9665,35.4083,1.9896,2.2517,2.3702,2.5432,2.7237,3.3005,20.2836,3.9478,0.3512,-0.1579,0.1933,39.9104,53.1515,0.8767,50.3911,40.9542,3214586.9011,698098.0
2016-05-13,39.02,581106.0,RACE.MI,38.4033,38.25,38.1571,38.5271,38.6595,37.7076,38.5483,38.4053,38.3011,38.3659,38.4903,38.069,38.7782,38.5562,38.4279,38.4919,38.6476,38.5937,38.4028,38.5167,38.489,38.1263,37.4623,37.3405,78.876,66.5165,61.3901,56.9745,54.924,49.0951,33.8675,19.6304,17.7002,16.5752,12.4878,13.4549,0.69,1.02,0.46,0.89,1.52,0.85,100.0,136.6705,147.675,0.2625,-12.5797,59.5594,0.947,0.947,0.947,0.947,0.947,0.947,57.752,33.0329,22.7803,13.9491,9.8481,-1.8098,1.018,1.0268,1.0119,1.0233,1.0405,1.0223,100.0,100.0,100.0,0.0,14.2857,28.5714,64.2857,35.7143,0.0,57.1429,35.7143,78.5714,60.307,35.3987,26.9235,20.0819,14.3946,2.8233,7.868,12.6652,14.4919,16.2792,17.9774,23.3598,31.7763,26.5452,25.1703,24.4605,24.0232,22.077,0.2379,0.6252,1.0028,2.2922,3.9865,12.2467,0.9608,1.3103,1.7417,3.4441,5.3272,11.5742,37.5266,38.4033,39.28,38.25,39.1195,37.3805,38.9525,37.3617,38.1571,38.5271,37.3568,39.6975,39.8066,37.5124,38.6595,37.7076,40.0184,35.3969,2.583,2.5301,2.5334,2.5786,2.7131,3.2332,20.471,4.0304,0.3291,-0.0885,0.2406,53.2374,68.8712,0.5532,58.471,40.9187,3795692.9011,1279204.0
