date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Down 5,Aroon Up 5,Aroon Down 7,Aroon Up 7,Aroon Up 14,Aroon Down 14,Aroon Up 21,Aroon Down 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Middle Band 3,Real Lower Band 3,Real Upper Band 3,Real Upper Band 5,Real Lower Band 5,Real Middle Band 5,Real Lower Band 7,Real Middle Band 7,Real Upper Band 7,Real Upper Band 14,Real Middle Band 14,Real Lower Band 14,Real Lower Band 21,Real Upper Band 21,Real Middle Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD,MACD_Hist,MACD_Signal,SlowK,SlowD,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2004-10-18,1.92,6672416.0,TRN.MI,1.94,1.943,1.9479,1.9368,1.9312,1.905,1.9342,1.9393,1.9429,1.9422,1.9368,1.9225,1.9267,1.9341,1.9395,1.9481,1.9522,1.9568,1.9406,1.9374,1.9383,1.9079,1.9028,1.913,15.3835,28.5434,36.7019,49.3618,53.5607,56.4426,58.7666,50.5765,43.3626,36.9066,36.3942,35.5526,-0.03,-0.04,-0.025,0.005,-0.015,0.06,-100.0,-166.6667,-233.3333,-77.1654,-55.1382,32.5724,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,-69.233,-42.9133,-26.5963,-1.2764,7.1214,12.8851,0.9846,0.9796,0.9871,1.0026,0.9922,1.0323,66.6667,100.0,100.0,20.0,100.0,42.8571,71.4286,14.2857,80.9524,23.8095,23.8095,90.4762,84.5181,54.6081,33.0653,2.467,15.0959,25.1476,50.6416,36.2787,28.9873,19.6798,16.9364,14.8161,4.2491,10.6512,14.5812,20.6753,22.9589,24.7714,0.0344,0.037,0.0404,0.0568,0.0757,0.1353,0.0029,0.0109,0.0203,0.0596,0.1026,0.2263,1.94,1.9106,1.9694,1.9672,1.9188,1.943,1.9223,1.9479,1.9734,1.9709,1.9368,1.9026,1.8974,1.965,1.9312,1.905,1.8349,1.9751,1.1784,1.0634,1.0369,1.0737,1.1106,1.1428,0.1703,0.9635,0.0149,-0.0031,0.0179,29.3939,43.193,0.6431,47.4615,1.965,163938270.6646,173168443.0
2004-10-19,1.92,6633191.0,TRN.MI,1.9283,1.938,1.9421,1.9379,1.9302,1.9065,1.9242,1.9317,1.9359,1.94,1.9358,1.9232,1.9197,1.9252,1.9309,1.9424,1.9485,1.9558,1.9315,1.9346,1.9343,1.9081,1.9031,1.9131,15.3835,28.5434,36.7019,49.3618,53.5607,56.4426,57.0436,47.8145,40.2253,34.7546,35.4956,35.3297,-0.035,-0.025,-0.04,0.015,-0.02,0.065,-41.1765,-75.7576,-108.2474,-68.8705,-36.6684,37.8972,0.0,0.0,0.0,0.0,0.0,0.0,-69.233,-42.9133,-26.5963,-1.2764,7.1214,12.8851,0.9821,0.9871,0.9796,1.0079,0.9897,1.035,33.3333,66.6667,80.0,0.0,85.7143,28.5714,64.2857,7.1429,76.1905,19.0476,21.4286,88.0952,53.5978,36.7665,21.4016,6.7785,17.5249,26.1931,38.0336,30.6495,25.7533,18.6363,16.3597,14.571,11.49,14.1707,16.6733,21.3465,23.3121,24.9131,0.0229,0.0296,0.0346,0.0527,0.0721,0.1321,0.0069,0.0137,0.0224,0.0604,0.1027,0.2259,1.9283,1.9048,1.9519,1.9681,1.9079,1.938,1.9125,1.9421,1.9718,1.9687,1.9379,1.907,1.8964,1.9641,1.9302,1.9065,1.8381,1.975,1.046,1.007,1.0004,1.0528,1.0949,1.1342,0.1743,0.9731,0.0123,-0.0045,0.0168,19.3939,30.9848,0.6747,43.8448,1.9645,161727206.9979,173168443.0
2004-10-20,1.895,23690660.0,TRN.MI,1.9117,1.927,1.9329,1.9364,1.9288,1.9074,1.9075,1.9173,1.9241,1.9343,1.9326,1.9226,1.8993,1.9067,1.9144,1.9316,1.9409,1.9525,1.9153,1.9216,1.9235,1.9078,1.9029,1.9129,6.5088,17.0503,25.3408,41.4295,47.9654,53.597,63.6497,50.2321,40.7958,33.008,34.0396,34.9495,-0.05,-0.055,-0.065,-0.02,-0.03,0.035,-100.0,-98.9583,-119.3384,-144.9735,-109.7971,-7.4288,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-86.9824,-65.8993,-49.3183,-17.1409,-4.0692,7.1939,0.9743,0.9718,0.9668,0.9896,0.9844,1.0188,0.0,100.0,100.0,40.0,100.0,14.2857,57.1429,100.0,71.4286,100.0,19.0476,85.7143,76.8618,59.9025,44.2189,10.3022,4.9183,19.3618,54.1334,42.7054,35.4234,23.9688,19.9385,16.3684,7.0821,10.7089,13.7011,19.4915,22.0012,24.2287,0.0353,0.0437,0.0497,0.069,0.0886,0.149,0.0046,0.011,0.0192,0.0561,0.0978,0.2205,1.9117,1.8881,1.9352,1.9692,1.8848,1.927,1.8926,1.9329,1.9732,1.9728,1.9364,1.9001,1.8918,1.9658,1.9288,1.9074,1.8404,1.9744,1.1463,1.0801,1.0572,1.0848,1.1194,1.1532,0.1784,0.9823,0.0082,-0.0069,0.0151,12.7273,20.5051,0.5219,36.0714,1.9639,138036546.9979,149477783.0
2004-10-21,1.915,7481052.0,TRN.MI,1.91,1.919,1.9286,1.9364,1.9288,1.9089,1.9092,1.9133,1.9196,1.9314,1.9314,1.923,1.9081,1.9084,1.9126,1.9277,1.9377,1.9513,1.9153,1.9207,1.9229,1.9078,1.903,1.9129,44.7542,40.8622,42.0758,48.5523,52.1632,55.4381,68.0537,52.1662,41.2848,31.3861,32.6528,34.5784,-0.005,-0.04,-0.03,0.0,0.0,0.065,-26.3158,-64.8148,-74.9077,-116.9231,-83.5821,1.4403,0.75,0.75,0.75,0.75,0.75,0.75,-10.4916,-18.2755,-15.8483,-2.8954,4.3263,10.8762,0.9974,0.9795,0.9846,1.0,1.0,1.0351,33.3333,100.0,100.0,20.0,100.0,0.0,50.0,100.0,66.6667,100.0,16.6667,83.3333,76.8618,59.9025,44.2189,10.3022,4.9183,19.3618,37.0685,34.3211,30.3704,22.2993,19.0391,16.008,4.8495,8.6064,11.7467,18.1338,21.0088,23.6953,0.0235,0.035,0.0426,0.064,0.0844,0.1454,0.0031,0.0088,0.0165,0.0521,0.0932,0.2152,1.91,1.8884,1.9316,1.9509,1.8871,1.919,1.888,1.9286,1.9692,1.9728,1.9364,1.9001,1.8918,1.9658,1.9288,1.9089,1.8443,1.9735,1.1043,1.0639,1.0459,1.0714,1.1047,1.1388,0.1824,0.9916,0.0065,-0.0069,0.0134,16.9231,16.3481,0.4355,44.999,1.9625,145517598.9979,156958835.0
2004-10-22,1.925,13169068.0,TRN.MI,1.9117,1.915,1.925,1.9357,1.9295,1.9105,1.9167,1.9153,1.9188,1.9299,1.931,1.9237,1.9196,1.9154,1.9162,1.9271,1.9366,1.951,1.9154,1.9209,1.923,1.908,1.9032,1.9132,57.7247,49.8584,48.7739,51.7141,54.1069,56.3257,46.7671,44.1162,36.9941,29.3707,31.701,34.2946,0.005,-0.02,-0.025,-0.01,0.015,0.065,100.0,66.0377,-14.3082,-55.7214,-31.1968,33.6695,0.5,0.5,0.5,0.5,0.5,0.5,15.4494,-0.2832,-2.4522,3.4283,8.2138,12.6513,1.0026,0.9897,0.9872,0.9948,1.0079,1.0349,100.0,66.6667,80.0,0.0,85.7143,28.5714,42.8571,92.8571,61.9048,95.2381,14.2857,80.9524,4.1939,11.9164,11.25,3.1707,12.6646,22.657,25.1677,27.558,26.0373,20.7433,18.1782,15.6549,27.3712,21.6895,20.7714,22.1018,23.4503,24.8269,0.0157,0.028,0.0365,0.0595,0.0804,0.142,0.0171,0.022,0.0291,0.0633,0.1037,0.2251,1.9117,1.8867,1.9366,1.936,1.894,1.915,1.8884,1.925,1.9616,1.9725,1.9357,1.8989,1.8934,1.9656,1.9295,1.9105,1.8475,1.9734,1.0787,1.0545,1.0403,1.0639,1.0961,1.1307,0.1865,1.0009,0.0058,-0.006,0.0119,38.8278,22.8261,0.3939,47.8952,1.9612,152102132.9979,170127903.0
2004-10-25,1.925,18468053.0,TRN.MI,1.9217,1.916,1.9207,1.935,1.9298,1.9121,1.9233,1.9187,1.9188,1.9285,1.9306,1.9244,1.9238,1.9196,1.9187,1.9266,1.9356,1.9506,1.9197,1.9209,1.9231,1.9082,1.9034,1.9134,57.7247,49.8584,48.7739,51.7141,54.1069,56.3257,38.5297,35.3974,32.0189,27.7898,30.9098,34.0428,0.03,0.005,-0.03,-0.01,0.005,0.07,66.6667,73.7705,28.744,-38.6473,-19.4745,40.5597,0.0,0.0,0.0,0.0,0.0,0.0,15.4494,-0.2832,-2.4522,3.4283,8.2138,12.6513,1.0158,1.0026,0.9847,0.9948,1.0026,1.0377,100.0,33.3333,60.0,100.0,71.4286,14.2857,35.7143,85.7143,57.1429,90.4762,11.9048,78.5714,22.055,0.5223,2.1672,7.238,15.0859,23.7214,16.9872,22.1116,22.3218,19.2935,17.3542,15.309,26.6004,22.3438,21.3748,22.3044,23.5205,24.8307,0.0105,0.0224,0.0313,0.0552,0.0766,0.1386,0.0164,0.0226,0.03,0.0638,0.1038,0.2248,1.9217,1.9122,1.9311,1.9383,1.8937,1.916,1.8932,1.9207,1.9482,1.9722,1.935,1.8978,1.8938,1.9657,1.9298,1.9121,1.8515,1.9728,1.0655,1.0514,1.0401,1.0621,1.0934,1.1285,0.1906,1.0102,0.0053,-0.0053,0.0105,63.8278,39.8596,0.3274,45.7813,1.9599,152102132.9979,170127903.0
2004-10-26,1.92,3942595.0,TRN.MI,1.9233,1.916,1.9171,1.9343,1.93,1.9135,1.9225,1.92,1.9186,1.9265,1.9297,1.9248,1.9214,1.9192,1.9184,1.925,1.9338,1.9498,1.9197,1.9209,1.923,1.9083,1.9035,1.9135,45.6638,44.5624,45.2156,49.9346,52.9215,55.7431,33.0381,28.4224,27.7543,26.3218,30.1563,33.7971,0.005,0.0,-0.025,-0.01,0.005,0.055,0.0,55.5556,60.1375,-43.026,-28.968,33.173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-8.6725,-10.8753,-9.5688,-0.1309,5.843,11.4862,1.0026,1.0,0.9871,0.9948,1.0026,1.0295,66.6667,0.0,40.0,80.0,57.1429,0.0,28.5714,78.5714,52.381,85.7143,9.5238,76.1905,22.055,0.5223,2.1672,7.238,15.0859,23.7214,13.6577,19.6806,20.6065,18.5937,16.9508,15.1377,21.3868,19.8872,19.7322,21.4954,22.9738,24.5528,0.007,0.0179,0.0268,0.0513,0.0729,0.1353,0.0109,0.0181,0.0257,0.0593,0.0988,0.2194,1.9233,1.9186,1.928,1.9383,1.8937,1.916,1.898,1.9171,1.9363,1.9722,1.9343,1.8963,1.8944,1.9656,1.93,1.9135,1.8546,1.9723,0.8858,0.9475,0.9682,1.026,1.0688,1.1169,0.1948,1.0193,0.0044,-0.0049,0.0093,74.4048,59.0201,0.1946,44.9521,1.9586,148159537.9979,166185308.0
2004-10-27,1.91,10219292.0,TRN.MI,1.9183,1.919,1.9157,1.9318,1.9298,1.9142,1.9158,1.918,1.9168,1.9232,1.9279,1.9246,1.9129,1.9136,1.9139,1.9212,1.9305,1.9481,1.9154,1.9202,1.9227,1.9084,1.9035,1.9135,28.0694,35.2118,38.6383,46.4889,50.5939,54.5865,37.3438,29.5198,27.5934,24.9014,28.9783,33.4348,-0.015,0.015,-0.01,-0.035,-0.005,0.03,-100.0,-55.5556,-31.1111,-71.7602,-73.8182,-0.5154,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-43.8612,-29.5765,-22.7234,-7.0222,1.1878,9.1729,0.9922,1.0079,0.9948,0.982,0.9974,1.016,33.3333,100.0,20.0,60.0,42.8571,71.4286,21.4286,71.4286,47.619,80.9524,7.1429,73.8095,45.9551,33.9096,26.6277,6.4362,5.4193,18.5839,36.3713,31.6073,28.8767,22.6809,19.6525,16.4794,13.4677,15.5996,16.7321,19.9379,21.9046,24.0025,0.0196,0.0293,0.038,0.0626,0.0845,0.1471,0.0073,0.0145,0.022,0.055,0.0941,0.2142,1.9183,1.9059,1.9308,1.9307,1.9073,1.919,1.8961,1.9157,1.9353,1.9712,1.9318,1.8924,1.8937,1.9658,1.9298,1.9142,1.8562,1.9721,0.9426,0.9714,0.9839,1.0325,1.0731,1.121,0.1989,1.0282,0.0028,-0.0052,0.008,58.3333,65.522,0.0083,43.6146,1.9573,143049891.9979,155966016.0
2004-10-28,1.915,7959423.0,TRN.MI,1.915,1.919,1.915,1.9286,1.9302,1.9158,1.9142,1.9167,1.9166,1.921,1.9266,1.9247,1.9138,1.9135,1.9133,1.9193,1.9284,1.9469,1.9153,1.9202,1.9226,1.9089,1.9036,1.9135,44.1956,42.7233,43.4379,48.4059,51.709,55.064,40.2142,30.3978,27.4554,23.5825,27.8565,33.0813,-0.01,0.0,-0.005,-0.045,0.01,0.07,-50.0,-83.3333,-21.2121,-64.6006,-74.4914,-5.1419,0.0,0.0,0.0,0.0,0.0,0.0,-11.6088,-14.5534,-13.1243,-3.1882,3.4179,10.1281,0.9948,1.0,0.9974,0.977,1.0052,1.0379,0.0,100.0,0.0,40.0,28.5714,57.1429,14.2857,64.2857,42.8571,76.1905,4.7619,71.4286,45.9551,33.9096,26.6277,6.4362,5.4193,18.5839,25.6758,26.2929,25.486,21.4269,18.9577,16.2004,9.5073,12.9767,14.7674,18.8355,21.1301,23.5962,0.0131,0.0235,0.0326,0.0581,0.0804,0.1436,0.0048,0.0116,0.0189,0.0511,0.0896,0.2091,1.915,1.9068,1.9232,1.9307,1.9073,1.919,1.8957,1.915,1.9343,1.9655,1.9286,1.8916,1.8953,1.9652,1.9302,1.9158,1.8621,1.9696,0.8879,0.9317,0.953,1.0122,1.0566,1.1101,0.2031,1.0371,0.002,-0.0048,0.0068,44.4444,59.0608,-0.1214,45.1923,1.956,145703032.9979,163925439.0
2004-10-29,1.91,6552967.0,TRN.MI,1.9117,1.916,1.9171,1.925,1.93,1.9176,1.9117,1.9137,1.9154,1.9185,1.9247,1.9244,1.9106,1.9108,1.9109,1.9167,1.9258,1.9453,1.9146,1.9183,1.9219,1.909,1.9037,1.9135,33.0734,37.3154,39.8055,46.6078,50.5119,54.4772,42.1279,31.1002,27.3372,22.3578,26.788,32.7361,-0.01,-0.015,0.015,-0.05,-0.005,0.075,0.0,-55.5556,-43.2099,-60.016,-75.1702,-12.8954,0.0,0.0,0.0,0.0,0.0,0.0,-33.8531,-25.3693,-20.3891,-6.7845,1.0238,8.9543,0.9948,0.9922,1.0079,0.9745,0.9974,1.0409,0.0,66.6667,80.0,20.0,14.2857,42.8571,7.1429,57.1429,38.0952,71.4286,2.381,69.0476,45.9551,33.9096,26.6277,6.4362,5.4193,18.5839,19.8412,23.0616,23.3533,20.6088,18.4998,16.0153,7.3469,11.382,13.5317,18.1164,20.6198,23.3265,0.0087,0.0188,0.0279,0.054,0.0766,0.1401,0.0032,0.0093,0.0162,0.0475,0.0854,0.2041,1.9117,1.907,1.9164,1.9277,1.9043,1.916,1.9054,1.9171,1.9289,1.9586,1.925,1.8914,1.8945,1.9655,1.93,1.9176,1.8701,1.9651,0.768,0.852,0.8938,0.9798,1.0339,1.0989,0.2074,1.0458,0.0009,-0.0047,0.0056,29.1667,43.9815,-0.2944,47.6715,1.9548,139150065.9979,157372472.0
