date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Down 3,Aroon Up 3,Aroon Down 5,Aroon Up 5,Aroon Down 7,Aroon Up 7,Aroon Down 14,Aroon Up 14,Aroon Up 21,Aroon Down 21,Aroon Up 42,Aroon Down 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Middle Band 3,Real Lower Band 3,Real Upper Band 3,Real Middle Band 5,Real Lower Band 5,Real Upper Band 5,Real Lower Band 7,Real Upper Band 7,Real Middle Band 7,Real Upper Band 14,Real Lower Band 14,Real Middle Band 14,Real Middle Band 21,Real Lower Band 21,Real Upper Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2010-10-26,21.36,660900.0,TSLA,20.9767,20.866,20.6586,20.5557,20.7017,20.6081,21.0833,20.9673,20.8393,20.664,20.6409,20.6467,21.2531,21.1338,21.0247,20.8108,20.7722,20.8094,20.892,20.8713,20.5179,20.5515,20.5828,20.1142,90.2552,78.1284,69.7842,58.1517,54.1166,48.9538,62.5255,35.5007,22.946,12.3436,9.9766,6.9694,0.61,1.31,0.82,0.9,0.83,1.61,100.0,149.4176,145.26,217.054,126.5905,108.553,0.4118,0.4118,0.4118,0.4118,0.4118,0.4118,80.5103,56.2568,39.5683,16.3035,8.2332,-2.0924,1.0294,1.0653,1.0399,1.044,1.0404,1.0815,0.0,100.0,0.0,100.0,28.5714,100.0,64.2857,100.0,14.2857,76.1905,33.3333,7.1429,91.517,74.0259,58.7148,32.5124,22.7749,12.2561,2.2042,6.2169,9.6314,15.6733,18.2123,21.415,49.7629,41.6529,37.0267,30.7747,28.9545,27.3975,0.0479,0.1998,0.4267,1.5342,3.0372,9.27,1.0809,1.3386,1.6405,3.0124,4.8286,11.8597,20.9767,20.4243,21.5291,20.866,20.3555,21.3765,19.8676,21.4496,20.6586,21.1967,19.9147,20.5557,20.7017,19.7995,21.6038,20.6081,19.5232,21.693,3.3896,3.009,2.9633,3.2786,3.7406,4.8887,1.8814,10.4909,0.1077,0.0566,0.0511,77.1085,78.2184,-0.1067,50.6417,19.7612,-7192925.8552,-11583800.0
2010-10-27,21.0,356500.0,TSLA,21.07,20.936,20.7686,20.5964,20.6826,20.639,21.095,21.012,20.9246,20.7232,20.668,20.6649,21.1124,21.11,21.0528,20.8716,20.8226,20.8398,20.8978,20.8794,20.5634,20.5652,20.587,20.1244,55.0643,58.3653,57.3675,53.8487,51.8262,48.1509,72.1893,43.2057,28.0558,13.7842,10.586,7.0953,0.28,0.35,0.77,0.57,-0.4,1.3,-12.6984,37.7504,70.8132,114.0486,75.6175,64.0551,-0.3425,-0.3425,-0.3425,-0.3425,-0.3425,-0.3425,10.1286,16.7307,14.735,7.6974,3.6523,-3.6982,1.0135,1.0169,1.0381,1.0279,0.9813,1.066,66.6667,66.6667,0.0,80.0,14.2857,85.7143,57.1429,92.8571,9.5238,71.4286,30.9524,4.7619,91.517,74.0259,58.7148,32.5124,22.7749,12.2561,1.4654,4.842,8.0786,14.5081,17.412,21.0514,33.0842,32.4412,31.0569,28.4868,27.6821,26.9323,0.0319,0.1598,0.3658,1.4246,2.8925,9.0493,0.7206,1.0708,1.4062,2.7972,4.5986,11.5773,21.07,20.642,21.498,20.936,20.4691,21.4029,20.0345,21.5027,20.7686,21.2718,19.921,20.5964,20.6826,19.8244,21.5408,20.639,19.5858,21.6923,3.4572,3.1437,3.0801,3.3449,3.7891,4.9369,1.925,10.596,0.1226,0.0572,0.0654,74.8583,65.8661,0.1577,53.3665,19.8632,-7207576.5402,-11940300.0
2010-10-28,21.19,224200.0,TSLA,21.1833,21.024,20.9314,20.6507,20.645,20.6705,21.155,21.0967,21.03,20.8024,20.7141,20.6905,21.1916,21.1927,21.1484,20.9668,20.8987,20.885,20.9172,20.9041,20.675,20.5907,20.5988,20.1369,65.6632,64.3197,61.5771,55.7114,52.9302,48.6066,79.1777,49.9341,32.8675,15.2651,11.2273,7.2305,0.34,0.44,1.14,0.76,-0.79,1.32,39.8496,77.6429,94.9435,136.201,145.5465,98.601,-0.3704,-0.3704,-0.3704,-0.3704,-0.3704,-0.3704,31.3264,28.6394,23.1541,11.4228,5.8603,-2.7868,1.0163,1.0212,1.0569,1.0372,0.9641,1.0664,33.3333,33.3333,0.0,60.0,0.0,71.4286,50.0,85.7143,4.7619,66.6667,28.5714,2.381,93.1545,76.8478,61.7378,34.5169,24.0523,12.7759,1.0682,4.0199,7.0918,13.697,16.8373,20.7839,30.1397,30.7063,29.9778,28.1366,27.5019,26.8724,0.0213,0.1279,0.3135,1.3228,2.7548,8.8339,0.6004,0.9767,1.3253,2.7174,4.4997,11.4217,21.1833,20.8892,21.4774,21.024,20.5647,21.4833,20.4423,21.4206,20.9314,21.3836,19.9178,20.6507,20.645,19.9673,21.3227,20.6705,19.6322,21.7087,3.1336,3.0021,2.9805,3.2602,3.6977,4.8368,1.9689,10.7019,0.1481,0.0661,0.0819,65.9019,53.6212,0.2948,54.865,19.9621,-7240791.355,-11716100.0
2010-10-29,21.84,280600.0,TSLA,21.3433,21.248,21.1014,20.765,20.7133,20.7267,21.4833,21.3687,21.2571,20.961,20.8228,20.7449,21.6985,21.5903,21.4892,21.2041,21.0768,20.9858,21.0033,21.078,20.8886,20.7182,20.6618,20.171,84.4656,77.86,72.4388,61.4444,56.5103,50.1424,84.8814,56.6306,38.0821,17.0394,12.0124,7.3987,0.48,1.12,1.19,1.6,1.435,2.36,100.0,133.1732,138.7178,178.1461,207.5376,161.2652,0.8772,0.8772,0.8772,0.8772,0.8772,0.8772,68.9312,55.7199,44.8776,22.8889,13.0206,0.2848,1.0225,1.0541,1.0576,1.0791,1.0703,1.1211,0.0,0.0,40.0,40.0,0.0,57.1429,42.8571,78.5714,0.0,61.9048,26.1905,0.0,96.2887,83.4164,69.3697,40.1046,27.7142,14.293,0.6672,3.0602,5.8582,12.5778,16.017,20.3917,35.2895,33.8465,32.3926,29.4213,28.2988,27.193,0.0142,0.1023,0.2687,1.2284,2.6236,8.6235,0.7503,1.1313,1.486,2.8733,4.6354,11.4997,21.3433,20.624,22.0627,21.248,20.5631,21.9329,20.3597,21.8431,21.1014,21.6819,19.8481,20.765,20.7133,19.8757,21.551,20.7267,19.6968,21.7565,3.2448,3.061,3.0006,3.1982,3.5908,4.6681,2.0131,10.8133,0.2181,0.109,0.1092,60.5543,62.1755,0.393,58.3903,20.058,-6967223.9364,-11435500.0
2010-11-01,21.41,455800.0,TSLA,21.48,21.36,21.1957,20.8486,20.7519,20.7495,21.5167,21.4227,21.3343,21.047,20.8861,20.7767,21.5381,21.5559,21.5147,21.2866,21.1557,21.0403,21.0306,21.0943,20.918,20.7554,20.679,20.1826,54.7278,59.2628,59.4649,56.2564,53.6745,49.1471,89.4737,63.5697,44.19,19.5046,13.1566,7.6522,0.41,0.56,0.66,1.17,0.81,0.96,87.5,114.2984,139.0342,174.3066,209.3316,192.0428,-0.3681,-0.3681,-0.3681,-0.3681,-0.3681,-0.3681,9.4557,18.5256,18.9298,12.5128,7.3491,-1.7057,1.0195,1.0269,1.0318,1.0578,1.0393,1.0469,0.0,100.0,20.0,100.0,0.0,100.0,35.7143,100.0,100.0,57.1429,23.8095,35.7143,98.6582,91.3263,80.8368,51.5528,36.0406,18.0476,0.331,1.9891,4.2878,10.8542,14.6635,19.7044,49.0026,43.8758,40.4631,33.9542,31.189,28.383,0.0095,0.0818,0.2303,1.1406,2.4987,8.4182,1.4002,1.8051,2.1737,3.5681,5.3147,12.1259,21.48,20.9401,22.0199,21.36,20.8004,21.9196,20.4898,21.9017,21.1957,21.7721,19.925,20.8486,20.7519,19.8655,21.6383,20.7495,19.7028,21.7963,4.4486,3.8431,3.5845,3.5098,3.8088,4.8086,2.0576,10.9193,0.2363,0.1017,0.1346,59.4847,62.6576,0.4143,47.8322,20.1511,-7359718.3809,-11891300.0
2010-11-02,21.25,322500.0,TSLA,21.5,21.338,21.2714,20.8993,20.7643,20.754,21.4017,21.386,21.3479,21.1005,20.9314,20.8,21.346,21.4355,21.4525,21.311,21.1952,21.0761,21.0325,21.0959,20.9307,20.7696,20.684,20.188,45.7398,53.3373,55.175,54.4153,52.6425,48.7781,78.1847,63.4986,46.5308,21.1862,14.0276,7.8637,0.06,-0.11,0.53,0.71,0.26,0.19,-91.8169,-3.2744,23.5929,80.2505,107.4721,106.6802,-0.5186,-0.5186,-0.5186,-0.5186,-0.5186,-0.5186,-8.5204,6.6746,10.3501,8.8305,5.2849,-2.4438,1.0028,0.9949,1.0256,1.0346,1.0124,1.009,0.0,66.6667,0.0,80.0,28.5714,85.7143,28.5714,92.8571,95.2381,52.381,21.4286,33.3333,55.6068,63.2143,60.5759,43.0466,31.4478,16.5368,9.7401,7.8988,8.4184,12.4599,15.4749,19.9315,34.141,35.0462,34.2884,31.2948,29.6729,27.8297,0.2663,0.3255,0.4574,1.3191,2.6397,8.4778,0.9334,1.4441,1.8632,3.3132,5.0616,11.8372,21.5,21.0017,21.9983,21.338,20.7716,21.9044,20.6817,21.8612,21.2714,21.8275,19.9711,20.8993,20.7643,19.8579,21.6707,20.754,19.7004,21.8077,4.2888,3.8781,3.653,3.5624,3.8405,4.8224,2.1025,11.0226,0.235,0.0803,0.1547,60.1159,55.5147,0.5649,45.4946,20.2413,-7526646.7456,-12213800.0
2010-11-03,21.77,372600.0,TSLA,21.4767,21.492,21.4029,20.9721,20.7952,20.7712,21.5367,21.53,21.4725,21.2166,21.0228,20.8472,21.664,21.6502,21.6323,21.4576,21.3186,21.1562,21.0402,21.1575,20.9879,20.8115,20.703,20.2005,69.866,66.8164,64.8027,59.1001,55.5586,50.0274,77.1251,65.6846,49.8769,23.2607,15.1119,8.1306,-0.07,0.77,0.92,1.02,0.65,0.72,47.6393,78.6431,96.5733,122.0142,159.8255,168.3382,0.3657,0.3657,0.3657,0.3657,0.3657,0.3657,39.732,33.6328,29.6054,18.2003,11.1172,0.0547,0.9968,1.0367,1.0441,1.0492,1.0308,1.0342,66.6667,33.3333,0.0,60.0,14.2857,71.4286,21.4286,85.7143,90.4762,47.619,19.0476,30.9524,75.0061,74.4284,69.9535,50.2296,36.7973,19.0702,5.6134,5.6159,6.5375,10.9653,14.2957,19.3084,39.3046,38.307,36.9784,33.0982,30.942,28.408,0.1775,0.2604,0.3921,1.2249,2.514,8.2759,1.2431,1.776,2.2178,3.6974,5.4414,12.1762,21.4767,21.0417,21.9116,21.492,20.9592,22.0248,20.8378,21.9679,21.4029,21.9971,19.9472,20.9721,20.7952,19.8021,21.7883,20.7712,19.6762,21.8662,4.8426,4.2594,3.9357,3.6686,3.8634,4.7417,2.1476,11.1301,0.2729,0.0945,0.1783,52.0576,38.0005,1.112,45.1133,20.3289,-7560013.9098,-11841200.0
2010-11-04,24.9,1874000.0,TSLA,22.64,22.234,21.9086,21.2836,21.0067,20.875,23.2483,22.666,22.3468,21.7403,21.396,21.0393,24.1175,23.4979,23.1115,22.3523,21.9675,21.5148,22.5053,22.1748,21.8026,21.5471,21.338,20.3739,93.9907,89.5432,85.9677,75.4532,68.0089,56.5601,82.6611,70.6792,55.1423,26.5465,16.963,8.6303,3.49,3.71,3.54,4.36,4.44,4.36,100.0,166.6667,233.3333,299.1873,350.7962,443.7306,0.7235,0.7235,0.7235,0.7235,0.7235,0.7235,87.9814,79.0864,71.9354,50.9064,36.0177,13.1203,1.163,1.1751,1.1657,1.2123,1.217,1.2123,33.3333,100.0,0.0,100.0,0.0,100.0,14.2857,100.0,100.0,42.8571,100.0,28.5714,93.7329,90.6575,86.7348,69.2617,53.9849,29.1176,2.088,2.8655,3.8626,8.1635,11.7897,17.7944,64.5451,58.4783,54.3743,44.9528,39.4532,32.4138,0.1184,0.2083,0.3361,1.1374,2.3943,8.0789,3.6587,4.2508,4.731,6.2633,8.0122,14.7163,22.64,19.4158,25.8642,22.234,19.5321,24.9359,19.4018,24.4153,21.9086,23.5235,19.0437,21.2836,21.0067,19.0078,23.0055,20.875,19.2093,22.5407,7.5883,5.8386,4.9918,3.9995,3.8977,4.3873,2.1932,11.2678,0.5491,0.2966,0.2525,49.3691,54.592,2.4992,57.2735,20.4138,-6192978.364,-9967200.0
2010-11-05,24.44,1011000.0,TSLA,23.7033,22.754,22.4,21.5843,21.1976,20.9593,24.1483,23.4013,22.9796,22.1611,21.7081,21.2051,24.5815,24.2193,23.854,22.9551,22.4482,21.8063,23.0526,22.5329,22.3096,22.0211,21.703,20.4881,79.8911,79.5362,77.9326,70.9626,65.1906,55.4685,86.3517,74.6748,59.6555,29.5976,18.7259,9.1181,3.19,2.6,3.44,4.21,4.01,3.54,57.6684,90.063,124.2546,219.5283,275.2154,386.5682,-0.344,-0.344,-0.344,-0.344,-0.344,-0.344,59.7821,59.0724,55.8653,41.9252,30.3812,10.937,1.1501,1.119,1.1638,1.2081,1.1963,1.1694,0.0,66.6667,40.0,80.0,0.0,85.7143,7.1429,92.8571,95.2381,38.0952,97.619,26.1905,93.7329,90.6575,86.7348,69.2617,53.9849,29.1176,1.569,2.3586,3.3081,7.4443,11.074,17.3063,48.5019,48.1322,46.5688,40.9923,37.0581,31.5247,0.0789,0.1666,0.2881,1.0562,2.2803,7.8865,2.4392,3.4007,4.0551,5.8159,7.6307,14.3659,23.7033,20.9435,26.4632,22.754,19.5937,25.9143,19.4832,25.3168,22.4,24.2648,18.9038,21.5843,21.1976,18.7417,23.6535,20.9593,18.9702,22.9483,6.859,5.7817,5.0899,4.1491,4.0255,4.4852,2.2392,11.3995,0.7225,0.376,0.3465,54.6875,71.4701,3.2419,57.9542,20.6105,-6039306.364,-10978200.0
2010-11-08,24.98,509500.0,TSLA,24.7733,23.468,22.9414,21.9364,21.4143,21.061,24.7867,24.1433,23.6246,22.6139,22.0519,21.3921,25.0671,24.8644,24.5446,23.5687,22.9556,22.1261,23.5992,23.173,22.8551,22.606,22.1324,20.6448,84.0929,82.4193,80.4369,72.9945,66.8822,56.4786,88.8487,77.8908,63.5391,32.441,20.4119,9.5966,3.21,3.57,3.79,4.93,4.55,4.27,100.0,69.4349,91.629,172.6768,227.329,345.8212,0.4948,0.4948,0.4948,0.4948,0.4948,0.4948,68.1858,64.8386,60.8737,45.989,33.7645,12.9573,1.1475,1.1667,1.1789,1.2459,1.2227,1.2062,0.0,33.3333,20.0,60.0,0.0,71.4286,0.0,85.7143,90.4762,33.3333,95.2381,23.8095,93.8429,90.7547,86.8408,69.4055,54.1307,29.2154,1.2169,2.0131,2.9277,6.9338,10.5521,16.937,38.3121,41.535,41.5685,38.3932,35.4573,30.918,0.0526,0.1333,0.2469,0.9807,2.1717,7.6987,1.6561,2.7505,3.5058,5.4305,7.2973,14.0538,24.7733,24.2974,25.2492,23.468,20.2327,26.7033,19.7317,26.1512,22.9414,24.9878,18.8851,21.9364,21.4143,18.5063,24.3223,21.061,18.7267,23.3952,5.7682,5.302,4.8232,4.0468,3.9359,4.3763,2.2857,11.5353,0.8933,0.4374,0.4558,71.0186,86.9938,4.0813,61.7169,20.7993,-5550816.6733,-10468700.0
