date,close,volume,ticker,SMA 3,SMA 5,SMA 7,SMA 14,SMA 21,SMA 42,WMA 3,WMA 5,WMA 7,WMA 14,WMA 21,WMA 42,DEMA 3,DEMA 5,DEMA 7,DEMA 14,DEMA 21,DEMA 42,KAMA 3,KAMA 5,KAMA 7,KAMA 14,KAMA 21,KAMA 42,RSI 3,RSI 5,RSI 7,RSI 14,RSI 21,RSI 42,ADX 3,ADX 5,ADX 7,ADX 14,ADX 21,ADX 42,MOM 3,MOM 5,MOM 7,MOM 14,MOM 21,MOM 42,CCI 3,CCI 5,CCI 7,CCI 14,CCI 21,CCI 42,BOP 3,BOP 5,BOP 7,BOP 14,BOP 21,BOP 42,CMO 3,CMO 5,CMO 7,CMO 14,CMO 21,CMO 42,ROCR 3,ROCR 5,ROCR 7,ROCR 14,ROCR 21,ROCR 42,Aroon Up 3,Aroon Down 3,Aroon Down 5,Aroon Up 5,Aroon Up 7,Aroon Down 7,Aroon Up 14,Aroon Down 14,Aroon Up 21,Aroon Down 21,Aroon Down 42,Aroon Up 42,DX 3,DX 5,DX 7,DX 14,DX 21,DX 42,MINUS_DI 3,MINUS_DI 5,MINUS_DI 7,MINUS_DI 14,MINUS_DI 21,MINUS_DI 42,PLUS_DI 3,PLUS_DI 5,PLUS_DI 7,PLUS_DI 14,PLUS_DI 21,PLUS_DI 42,MINUS_DM 3,MINUS_DM 5,MINUS_DM 7,MINUS_DM 14,MINUS_DM 21,MINUS_DM 42,PLUS_DM 3,PLUS_DM 5,PLUS_DM 7,PLUS_DM 14,PLUS_DM 21,PLUS_DM 42,Real Middle Band 3,Real Lower Band 3,Real Upper Band 3,Real Upper Band 5,Real Lower Band 5,Real Middle Band 5,Real Lower Band 7,Real Middle Band 7,Real Upper Band 7,Real Upper Band 14,Real Lower Band 14,Real Middle Band 14,Real Middle Band 21,Real Lower Band 21,Real Upper Band 21,Real Middle Band 42,Real Lower Band 42,Real Upper Band 42,NATR 3,NATR 5,NATR 7,NATR 14,NATR 21,NATR 42,FAMA,MAMA,MACD_Hist,MACD,MACD_Signal,SlowD,SlowK,PPO,ULTOSC,SAR,Chaikin A/D,OBV
2007-03-20,7.97,442604.0,WDI.DE,7.9733,7.962,8.0729,7.9679,8.231,8.3569,7.9767,7.978,8.0068,8.0347,8.0806,8.2613,7.9645,7.9687,7.9758,7.9666,8.0168,8.2328,8.0553,8.0407,7.9321,8.2733,8.246,8.4631,42.1839,44.7026,45.2414,46.0399,47.679,53.038,27.6682,20.8468,20.3903,19.0529,16.6624,13.8004,-0.11,-0.23,-0.62,0.02,-0.73,-0.52,-12.5,11.2693,-41.1862,-2.5908,-39.7423,-83.1786,-0.381,-0.381,-0.381,-0.381,-0.381,-0.381,-15.6321,-10.5948,-9.5172,-7.9202,-4.642,6.076,0.9864,0.972,0.9278,1.0025,0.9161,0.9388,0.0,100.0,20.0,0.0,14.2857,42.8571,57.1429,21.4286,14.2857,47.619,73.8095,57.1429,30.0874,19.4831,17.1738,15.9338,13.8131,4.246,27.2494,30.8288,32.1195,32.5246,31.3907,27.6448,14.6446,20.7748,22.7042,23.5843,23.7711,25.3928,0.2426,0.5879,0.9481,1.9977,2.772,4.3945,0.1304,0.3962,0.6702,1.4486,2.0991,4.0365,7.9733,7.9322,8.0144,8.1379,7.7861,7.962,7.6597,8.0729,8.486,8.6874,7.2483,7.9679,8.231,7.1724,9.2895,8.3569,7.5456,9.1682,3.7231,4.7856,5.2909,5.5066,5.2856,4.7816,0.7661,4.2609,-0.0131,-0.1092,-0.0961,41.3102,46.332,-3.5674,43.145,8.5512,4133114.3197,3704372.0
2007-03-21,8.18,280748.0,WDI.DE,8.05,8.036,8.0271,7.9843,8.2114,8.3507,8.08,8.0507,8.0336,8.063,8.076,8.2531,8.1205,8.0769,8.0552,8.0047,8.0335,8.2305,8.0919,8.0616,7.9424,8.2723,8.2452,8.4611,68.19,57.1099,53.2689,49.8791,50.2804,54.3358,21.7167,17.6445,18.7009,18.5549,16.4012,13.5402,0.23,0.37,-0.32,0.23,-0.41,-0.26,100.0,90.0,48.6436,34.1358,-14.4883,-48.1677,0.75,0.75,0.75,0.75,0.75,0.75,36.3799,14.2198,6.5379,-0.2417,0.5608,8.6716,1.0289,1.0474,0.9624,1.0289,0.9523,0.9692,100.0,66.6667,0.0,20.0,0.0,28.5714,50.0,14.2857,9.5238,42.8571,71.4286,54.7619,9.8136,4.8356,8.5644,12.0811,11.177,2.8711,19.6385,26.79,29.443,31.2638,30.555,27.241,23.9124,24.3186,24.7976,24.524,24.4115,25.7204,0.1617,0.4703,0.8127,1.855,2.64,4.2899,0.1969,0.427,0.6844,1.4551,2.1092,4.0504,8.05,7.8645,8.2355,8.205,7.867,8.036,7.7729,8.0271,8.2814,8.7119,7.2567,7.9843,8.2114,7.165,9.2578,8.3507,7.5381,9.1633,3.3556,4.2926,4.8203,5.1829,5.0386,4.6149,0.7838,4.3001,0.0026,-0.0928,-0.0954,49.2618,59.8762,-2.5282,47.6543,8.5017,4357712.7197,3985120.0
2007-03-22,8.04,603125.0,WDI.DE,8.0633,8.028,8.0043,8.0086,8.1667,8.3493,8.075,8.052,8.0368,8.0704,8.0604,8.2386,8.0693,8.0586,8.0464,8.0016,8.0242,8.2156,8.0911,8.0613,7.9444,8.2687,8.2392,8.4591,47.0338,48.1137,47.8168,47.4551,48.5893,53.3293,33.41,18.7235,17.4188,17.4681,15.8646,13.2253,0.04,-0.04,-0.16,0.34,-0.94,-0.06,68.0,100.1119,98.4622,37.8277,-2.7425,-40.34,-0.5217,-0.5217,-0.5217,-0.5217,-0.5217,-0.5217,-5.9323,-3.7726,-4.3664,-5.0899,-2.8214,6.6587,1.005,0.995,0.9805,1.0442,0.8953,0.9926,100.0,33.3333,60.0,100.0,0.0,14.2857,42.8571,7.1429,4.7619,38.0952,69.0476,52.381,56.7965,23.0395,9.7262,3.3397,5.1335,0.3124,10.6852,20.1806,24.6501,28.8547,28.9374,26.4496,38.7792,32.2635,29.9618,26.9897,26.1115,26.6153,0.1078,0.3763,0.6966,1.7225,2.5143,4.1877,0.3913,0.6016,0.8467,1.6112,2.2688,4.214,8.0633,7.8887,8.2379,8.1917,7.8643,8.028,7.7908,8.0043,8.2178,8.7191,7.298,8.0086,8.1667,7.1767,9.1566,8.3493,7.5347,9.1638,4.1832,4.6381,5.021,5.3051,5.1546,4.7197,0.8016,4.3375,0.0043,-0.0901,-0.0944,53.797,55.1827,-1.7151,46.043,6.9,3859479.024,3381995.0
2007-03-23,8.0,715654.0,WDI.DE,8.0733,8.038,8.0314,8.0621,8.1081,8.3364,8.0433,8.0427,8.0357,8.0692,8.0453,8.2224,8.0192,8.0262,8.0235,7.99,8.0097,8.198,8.0899,8.0603,7.9465,8.2562,8.2286,8.4539,41.5139,45.551,46.2393,46.7559,48.1039,53.0418,25.7641,16.3306,16.0326,16.9748,15.5886,12.9736,0.03,0.05,0.19,0.75,-1.23,-0.54,-100.0,-67.4342,-69.7552,-38.5292,-32.4352,-79.8587,-0.0513,-0.0513,-0.0513,-0.0513,-0.0513,-0.0513,-16.9721,-8.8979,-7.5215,-6.4882,-3.7922,6.0836,1.0038,1.0063,1.0243,1.1034,0.8667,0.9368,66.6667,100.0,100.0,80.0,85.7143,0.0,35.7143,0.0,0.0,33.3333,66.6667,50.0,10.4723,6.7588,7.7153,10.5627,10.0691,2.6549,30.2897,29.2842,30.1216,31.1716,30.5201,27.3763,24.547,25.5763,25.8066,25.2156,24.9362,25.9603,0.3219,0.551,0.8471,1.8495,2.6446,4.338,0.2608,0.4813,0.7257,1.4961,2.1607,4.1136,8.0733,7.919,8.2277,8.1868,7.8892,8.038,7.8862,8.0314,8.1766,8.6357,7.4886,8.0621,8.1081,7.2385,8.9777,8.3364,7.5173,9.1556,4.4277,4.7041,5.0217,5.299,5.1659,4.7464,0.8194,4.3741,0.0034,-0.0901,-0.0935,53.8775,46.5735,-1.2375,48.6926,6.9156,4061330.1523,2666341.0
2007-03-26,7.93,255107.0,WDI.DE,7.99,8.024,8.01,8.0964,8.0571,8.3176,7.9717,8.0067,8.0104,8.0516,8.0291,8.2035,7.9494,7.97,7.9786,7.964,7.9855,8.1752,8.0189,8.0574,7.9459,8.2473,8.2171,8.4454,31.7367,40.7977,43.3212,45.4927,47.2369,52.534,20.6668,14.4162,14.8444,16.5168,15.3258,12.7279,-0.25,-0.07,-0.15,0.48,-1.07,-0.79,-57.0313,-69.7791,-71.3208,-55.979,-29.7539,-79.1913,-0.3333,-0.3333,-0.3333,-0.3333,-0.3333,-0.3333,-36.5265,-18.4047,-13.3575,-9.0146,-5.5262,5.0679,0.9694,0.9912,0.9814,1.0644,0.8811,0.9094,33.3333,66.6667,80.0,60.0,71.4286,85.7143,28.5714,0.0,0.0,28.5714,64.2857,47.619,10.4723,6.7588,7.7153,10.5627,10.0691,2.6549,24.1529,26.1565,28.0285,30.1854,29.8686,27.0614,19.5737,22.8446,24.0133,24.4178,24.4039,25.6616,0.2146,0.4408,0.7261,1.7174,2.5186,4.2347,0.1739,0.385,0.622,1.3892,2.0578,4.0157,7.99,7.8991,8.0809,8.1959,7.8521,8.024,7.8558,8.01,8.1642,8.5678,7.625,8.0964,8.0571,7.2823,8.832,8.3176,7.4983,9.137,3.7345,4.2504,4.6665,5.1261,5.0714,4.7283,0.8374,4.4097,-0.001,-0.0947,-0.0938,43.7132,29.3832,-1.3999,47.924,6.931,4004639.7078,2411234.0
2007-03-27,7.94,184411.0,WDI.DE,7.9567,8.018,8.0086,8.11,8.0043,8.3019,7.9467,7.9787,7.9929,8.0308,8.0184,8.1859,7.9346,7.9462,7.9546,7.9464,7.9668,8.1548,7.9936,8.0561,7.9458,8.2436,8.2059,8.4384,35.0163,41.8807,43.9112,45.7183,47.3791,52.6004,17.2687,12.8848,13.8259,16.0915,15.0755,12.4881,-0.1,-0.03,-0.01,0.19,-1.11,-0.66,-36.3636,-58.7121,-62.8205,-63.8418,-19.9376,-74.1874,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,-29.9674,-16.2387,-12.1777,-8.5633,-5.2417,5.2007,0.9876,0.9962,0.9987,1.0245,0.8773,0.9233,0.0,33.3333,60.0,40.0,57.1429,71.4286,21.4286,35.7143,0.0,23.8095,61.9048,45.2381,10.4723,6.7588,7.7153,10.5627,10.0691,2.6549,19.5353,23.6959,26.366,29.4061,29.3569,26.8156,15.8316,20.6956,22.589,23.7874,23.9858,25.4286,0.1431,0.3527,0.6223,1.5947,2.3987,4.1339,0.1159,0.308,0.5332,1.29,1.9598,3.9201,7.9567,7.8948,8.0185,8.1988,7.8372,8.018,7.852,8.0086,8.1651,8.5506,7.6694,8.11,8.0043,7.3687,8.6399,8.3019,7.4795,9.1243,3.0743,3.7487,4.2467,4.8799,4.9078,4.6519,0.8554,4.445,-0.0021,-0.0964,-0.0943,35.0216,29.108,-1.7094,48.2824,6.9463,3978295.2792,2595645.0
2007-03-28,7.83,1026026.0,WDI.DE,7.9,7.948,7.9843,8.0729,7.9724,8.2871,7.8833,7.916,7.9482,7.9934,8.0026,8.164,7.8497,7.8738,7.8921,7.9057,7.932,8.1259,7.934,7.9652,7.9396,8.2245,8.1968,8.4303,19.5326,33.4634,38.7369,43.5814,45.9482,51.784,33.4629,18.1177,15.8586,16.3012,15.1077,12.3336,-0.17,-0.35,-0.17,-0.52,-0.67,-0.62,-100.0,-122.3345,-128.5862,-96.5363,-50.4176,-93.6569,-0.1591,-0.1591,-0.1591,-0.1591,-0.1591,-0.1591,-60.9348,-33.0732,-22.5261,-12.8372,-8.1036,3.568,0.9788,0.9572,0.9788,0.9377,0.9212,0.9266,0.0,100.0,100.0,20.0,42.8571,100.0,14.2857,28.5714,0.0,19.0476,59.5238,42.8571,65.8512,39.0493,28.0546,19.0269,15.7519,6.0024,40.4409,34.4735,33.0238,32.1567,31.1914,27.8616,8.3268,15.1111,18.5539,21.876,22.7021,24.7062,0.3754,0.5621,0.8134,1.7608,2.5645,4.3155,0.0773,0.2464,0.457,1.1978,1.8665,3.8267,7.9,7.8007,7.9993,8.0908,7.8052,7.948,7.7835,7.9843,8.1851,8.514,7.6317,8.0729,7.9724,7.3733,8.5715,8.2871,7.4537,9.1205,3.9514,4.165,4.494,4.9964,5.0073,4.7388,0.8735,4.4788,-0.0089,-0.1055,-0.0965,28.2589,26.2856,-2.0415,46.8155,6.9615,4024932.8247,1569619.0
2007-03-29,8.22,445721.0,WDI.DE,7.9967,7.984,8.02,8.0464,7.9852,8.2864,8.0433,8.0067,8.0071,8.013,8.0251,8.1608,8.1161,8.0534,8.0237,7.9708,7.9701,8.1343,7.9814,7.9798,7.9531,8.2244,8.197,8.4294,75.9915,64.8088,58.8121,52.1254,51.4113,54.3569,23.0432,15.488,14.6434,15.8922,14.8771,12.1179,0.29,0.18,0.25,-0.37,0.27,-0.03,100.0,163.3333,68.1416,30.1761,41.2224,-32.2131,0.9143,0.9143,0.9143,0.9143,0.9143,0.9143,51.983,29.6176,17.6242,4.2508,2.8225,8.7138,1.0366,1.0224,1.0314,0.9569,1.034,0.9964,100.0,66.6667,80.0,0.0,28.5714,85.7143,7.1429,21.4286,38.0952,14.2857,57.1429,40.4762,2.2039,4.9693,7.352,10.5747,10.2648,3.2739,24.0901,26.0774,27.5443,29.7032,29.6035,27.1086,25.1759,23.6084,23.7715,24.0219,24.0918,25.3899,0.2502,0.4497,0.6972,1.635,2.4424,4.2127,0.2615,0.4071,0.6017,1.3223,1.9876,3.9456,7.9967,7.6683,8.325,8.244,7.724,7.984,7.7614,8.02,8.2786,8.3951,7.6977,8.0464,7.9852,7.3771,8.5934,8.2864,7.4528,9.12,4.2125,4.1958,4.3992,4.7843,4.7859,4.5281,0.8918,4.5162,0.0131,-0.0802,-0.0933,35.0078,49.6298,-1.6689,51.9484,6.9765,4394244.5104,2015340.0
2007-03-30,8.29,344683.0,WDI.DE,8.1133,8.042,8.0357,8.0314,8.0014,8.2819,8.19,8.1087,8.0746,8.0455,8.0528,8.161,8.2612,8.1906,8.1406,8.0416,8.0158,8.1486,8.0396,8.0142,7.9601,8.2254,8.1982,8.4285,79.8062,68.1728,61.4569,53.487,52.3195,54.8004,25.5814,14.9572,13.2142,15.1292,14.4888,11.8649,0.35,0.29,0.11,-0.21,0.34,-0.19,80.531,119.3609,122.0735,126.1599,83.0492,-1.2057,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,59.6123,36.3456,22.9137,6.9739,4.639,9.6007,1.0441,1.0362,1.0134,0.9753,1.0428,0.9776,100.0,33.3333,60.0,100.0,14.2857,71.4286,0.0,14.2857,33.3333,9.5238,54.7619,38.0952,30.6577,12.8339,4.639,5.2109,6.7234,1.4898,17.8902,22.2131,24.8009,28.371,28.7261,26.6864,33.7094,28.7542,27.2139,25.5607,25.1067,25.9029,0.1668,0.3598,0.5976,1.5182,2.3261,4.1124,0.3144,0.4657,0.6558,1.3678,2.033,3.9917,8.1133,7.7086,8.5181,8.401,7.683,8.042,7.7309,8.0357,8.3405,8.3122,7.7506,8.0314,8.0014,7.3799,8.6229,8.2819,7.4505,9.1133,3.7496,3.9073,4.1524,4.6119,4.6574,4.4519,0.9101,4.554,0.0315,-0.0539,-0.0854,48.5796,69.8235,-0.7356,50.7134,6.9913,4451691.6771,2360023.0
2007-04-02,8.48,333381.0,WDI.DE,8.33,8.152,8.0986,8.0514,8.0386,8.2819,8.3733,8.2547,8.1857,8.1053,8.0963,8.1702,8.4471,8.3682,8.2988,8.1465,8.0888,8.1791,8.2353,8.1282,8.0296,8.2307,8.2067,8.4287,87.7383,75.9673,67.9698,57.0569,54.7311,55.9893,33.1756,17.0218,13.2545,14.1245,13.9878,11.5847,0.65,0.55,0.44,0.28,0.78,0.0,92.1875,103.4063,129.297,174.6472,106.6016,23.4159,0.4483,0.4483,0.4483,0.4483,0.4483,0.4483,75.4766,51.9346,35.9397,14.1138,9.4621,11.9787,1.083,1.0694,1.0547,1.0341,1.1013,1.0,100.0,0.0,40.0,100.0,100.0,57.1429,0.0,7.1429,28.5714,4.7619,52.381,35.7143,48.364,25.2803,13.4961,1.0626,3.9686,0.098,12.1994,18.1505,21.7474,26.8066,27.685,26.1817,35.0523,30.4325,28.5334,26.2428,25.5715,26.1304,0.1112,0.2878,0.5122,1.4098,2.2153,4.0145,0.3196,0.4826,0.6721,1.3801,2.0462,4.0066,8.33,8.1103,8.5497,8.6252,7.6788,8.152,7.6628,8.0986,8.5343,8.4073,7.6956,8.0514,8.0386,7.4006,8.6766,8.2819,7.4505,9.1133,3.5837,3.7398,3.968,4.4308,4.4991,4.3299,0.9285,4.5932,0.0543,-0.0176,-0.0718,70.9849,93.5014,-0.077,61.1066,7.006,4739089.0909,2693404.0
