ticker,company,sector_gics,sector_icb,stock_index,country
SBBC,Scorpio Tankers Inc. 8.25% SR NT 19,Financials,Financials,,nan
ELC,"Entergy Louisiana, LLC COLLATERAL TR MT",Financials,Financials,,nan
BRK-A,Berkshire Hathaway Inc.,Financials,Financials,,United States
PRS,"Prudential Financial, Inc. 5.62",Financials,Financials,,nan
JNJ,Johnson &amp; Johnson,Healthcare,Healthcare,,United States
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare,Dow Jones Industrial Average,United States
PFE,Pfizer Inc.,Healthcare,Healthcare,Dow Jones Industrial Average,United States
NVS,Novartis AG,Healthcare,Healthcare,,Switzerland
MRK,"Merck &amp; Co., Inc.",Healthcare,Healthcare,,United States
AMGN,Amgen Inc.,Healthcare,Healthcare,NASDAQ 100,United States
ABT,Abbott Laboratories,Healthcare,Healthcare,,United States
ABBV,AbbVie Inc.,Healthcare,Healthcare,,United States
MDT,Medtronic plc,Healthcare,Healthcare,,Ireland
LLY,Eli Lilly and Company,Healthcare,Healthcare,,United States
NVO,Novo Nordisk A/S,Healthcare,Healthcare,,Denmark
SNY,Sanofi,Healthcare,Healthcare,,France
TMO,Thermo Fisher Scientific Inc.,Healthcare,Healthcare,,United States
GSK,GlaxoSmithKline plc,Healthcare,Healthcare,,Kingdom
AZN,AstraZeneca PLC,Healthcare,Healthcare,,Kingdom
GILD,"Gilead Sciences, Inc.",Healthcare,Healthcare,,United States
CVS,CVS Health Corporation,Healthcare,Healthcare,,United States
BMY,Bristol-Myers Squibb Company,Healthcare,Healthcare,,United States
DHR,Danaher Corporation,Healthcare,Healthcare,,United States
CI,Cigna Corporation,Healthcare,Healthcare,,United States
ANTM,"Anthem, Inc.",Healthcare,Healthcare,,United States
BIIB,Biogen Inc.,Healthcare,Healthcare,,United States
BDX,"Becton, Dickinson and Company",Healthcare,Healthcare,,United States
BDXA,"Becton, Dickinson and Company",Healthcare,Healthcare,,United States
TAK,Takeda Pharmaceutical Company Limited,Healthcare,Healthcare,,Japan
SYK,Stryker Corporation,Healthcare,Healthcare,,United States
CELG,Celgene Corporation,Healthcare,Healthcare,NASDAQ 100,United States
ISRG,"Intuitive Surgical, Inc.",Healthcare,Healthcare,,United States
AGN,Allergan plc,Healthcare,Healthcare,,Ireland
BSX,Boston Scientific Corporation,Healthcare,Healthcare,,United States
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Healthcare,,United States
HCA,"HCA Healthcare, Inc.",Healthcare,Healthcare,,United States
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
ILMN,"Illumina, Inc.",Healthcare,Healthcare,NASDAQ 100,United States
HUM,Humana Inc.,Healthcare,Healthcare,,United States
ZTS,Zoetis Inc.,Healthcare,Healthcare,,United States
BAX,Baxter International Inc.,Healthcare,Healthcare,,United States
EW,Edwards Lifesciences Corporation,Healthcare,Healthcare,,United States
PHG,Koninklijke Philips N.V.,Healthcare,Healthcare,,Netherland
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
